latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
50.672947	6.610489	4925	1501	887.1	479	551.2	0	0	187	0	1590479458
50.649719	6.614809	5975	1821	476	257	295.8	0	0	172	0	1590479469
50.629284	6.621193	6775	2065	598.2	323	371.7	0	0	164	0	1590479482
50.605915	6.623494	7450	2271	572.3	309	355.6	0	0	176	0	1590479498
50.604534	6.620739	7525	2294	766.7	414	476.4	3584	18.2	172	1241	1590479869
49.553833	6.836243	33925	10340	766.7	414	476.4	0	0	172	2433	1590480174
49.534885	6.708415	34900	10638	424.1	229	263.5	0	0	267	2433	1590480218
49.55537	6.639082	35250	10744	683.4	369	424.6	0	0	305	2433	1590480246
49.584835	6.684958	35600	10851	670.4	362	416.6	0	0	45	2433	1590480271
49.569939	6.762679	37200	11339	670.4	362	416.6	0	0	147	2433	1590480295
49.56403	6.791629	37825	11529	866.7	468	538.6	0	0	106	2433	1590480305
49.559418	6.810558	38100	11613	874.1	472	543.2	0	0	110	2433	1590480311
49.549831	6.842404	38375	11697	707.5	382	439.6	0	0	114	2433	1590480320
49.543125	6.859403	38225	11651	737.1	398	458	0	0	121	2433	1590480326
49.523155	6.906095	38275	11666	638.9	345	397	0	0	128	2433	1590480340
49.495831	6.955385	39175	11941	976	527	606.5	0	0	142	2433	1590480357
49.46003	6.978917	38800	11826	1039	561	645.6	0	0	156	2433	1590480371
49.433727	6.989161	38550	11750	1000.1	540	621.4	0	0	163	2433	1590480382
49.386711	7.026118	38525	11742	1144.5	618	711.2	0	0	141	2433	1590480401
49.374283	7.055391	38150	11628	935.3	505	581.1	0	0	122	2433	1590480412
49.363575	7.089579	38500	11735	894.5	483	555.8	0	0	112	2433	1590480420
49.358826	7.111696	38525	11742	866.7	468	538.6	0	0	108	2433	1590480427
49.35524	7.148269	38650	11781	874.1	472	543.2	0	0	95	2433	1590480438
49.358269	7.169085	38450	11720	874.1	472	543.2	0	0	77	2433	1590480444
49.361061	7.19684	38450	11720	731.5	395	454.6	0	0	82	2433	1590480450
49.364132	7.214693	37900	11552	687.1	371	426.9	0	0	75	2433	1590480457
49.368416	7.243893	37800	11521	474.1	256	294.6	0	0	80	2433	1590480465
49.38578	7.270492	36900	11247	818.6	442	508.6	0	0	44	2433	1590480478
49.399048	7.25741	34450	10500	844.5	456	524.8	0	0	308	2433	1590480487
49.4044	7.23016	33650	10257	894.5	483	555.8	0	0	290	2433	1590480498
49.409801	7.204718	33825	10310	746.4	403	463.8	0	0	289	2433	1590480508
49.416039	7.180794	34050	10378	413	223	256.6	0	0	296	2433	1590480516
49.443226	7.097613	36000	10973	729.7	394	453.4	0	0	318	2433	1590480544
49.449741	7.089151	36350	11079	377.8	204	234.8	0	0	320	2433	1590480552
49.474415	7.139555	36575	11148	707.5	382	439.6	0	0	57	2433	1590480578
49.45314	7.192408	36700	11186	646.3	349	401.6	0	0	121	2433	1590480601
49.445877	7.207477	37075	11300	698.2	377	433.8	0	0	126	2433	1590480608
49.42968	7.237615	37350	11384	416.7	225	258.9	0	0	137	2433	1590480621
49.418877	7.256036	37725	11499	922.3	498	573.1	0	0	132	2433	1590480628
49.412033	7.283502	37975	11575	670.4	362	416.6	0	0	115	2433	1590480637
49.408497	7.310317	38050	11598	553.7	299	344.1	0	0	96	2433	1590480645
49.405331	7.332218	38150	11628	729.7	394	453.4	0	0	102	2433	1590480653
49.401466	7.369586	37975	11575	387.1	209	240.5	0	0	92	2433	1590480666
49.386757	7.445117	37950	11567	1014.9	548	630.6	0	0	110	2433	1590480688
49.379356	7.475184	38075	11605	837.1	452	520.2	0	0	110	2433	1590480697
49.364086	7.507926	38050	11598	850.1	459	528.2	0	0	129	2433	1590480708
49.33783	7.531634	37650	11476	1033.4	558	642.1	0	0	152	2433	1590480719
49.314323	7.551944	37700	11491	1235.3	667	767.6	0	0	152	2433	1590480729
49.287971	7.562425	38025	11590	1090.8	589	677.8	0	0	165	2433	1590480738
49.266747	7.514721	36850	11232	646.3	349	401.6	0	0	242	2433	1590480762
49.265118	7.499325	36900	11247	581.5	314	361.3	0	0	261	2433	1590480769
49.267632	7.439912	37325	11377	622.3	336	386.7	0	0	274	2433	1590480793
49.271259	7.409411	37625	11468	744.5	402	462.6	0	0	284	2433	1590480804
49.275497	7.385415	37875	11544	635.2	343	394.7	0	0	286	2433	1590480814
49.280197	7.360551	37975	11575	876	473	544.3	0	0	286	2433	1590480824
49.293095	7.316967	38425	11712	576	311	357.9	0	0	300	2433	1590480842
49.302032	7.290658	38900	11857	640.8	346	398.2	0	0	299	2433	1590480854
49.364365	7.12514	40000	12192	498.2	269	309.6	0	0	300	2433	1590480916
49.439827	6.933932	38825	11834	738.9	399	459.2	0	0	302	2433	1590480985
49.448578	6.910252	39000	11887	476	257	295.8	0	0	286	2433	1590480992
49.486053	6.830675	40575	12367	605.6	327	376.3	0	0	330	2433	1590481024
49.498482	6.823771	40750	12421	881.6	476	547.8	0	0	341	2433	1590481030
49.545406	6.844779	40975	12489	551.9	298	342.9	0	0	65	2433	1590481056
49.556812	6.862743	41350	12603	726	392	451.1	0	0	45	2433	1590481064
49.564167	6.908025	41325	12596	785.2	424	487.9	0	0	79	2433	1590481079
49.562584	6.998068	41500	12649	931.6	503	578.8	0	0	92	2433	1590481106
49.557652	7.094124	42025	12809	516.7	279	321.1	0	0	106	2433	1590481133
49.557602	7.135175	42300	12893	833.4	450	517.9	0	0	87	2433	1590481145
49.544102	7.411169	42750	13030	913	493	567.3	0	0	104	2433	1590481228
49.539215	7.432993	42750	13030	390.8	211	242.8	0	0	118	2433	1590481238
49.534748	7.490077	42775	13038	507.4	274	315.3	0	0	80	2433	1590481254
49.539635	7.506557	42425	12931	785.2	424	487.9	0	0	65	2433	1590481260
49.549316	7.525709	42125	12840	568.6	307	353.3	0	0	46	2433	1590481270
49.56007	7.544341	42075	12824	570.4	308	354.4	0	0	47	2433	1590481276
49.566589	7.552135	42075	12824	366.7	198	227.9	0	0	37	2433	1590481283
49.578972	7.567056	42100	12832	785.2	424	487.9	0	0	38	2433	1590481290
49.592239	7.569357	41400	12619	592.6	320	368.2	0	0	4	2433	1590481300
49.604996	7.564235	40850	12451	879.7	475	546.6	0	0	346	2433	1590481306
49.615376	7.55555	40000	12192	472.3	255	293.4	0	0	332	2433	1590481315
49.624546	7.544935	39275	11971	764.9	413	475.3	0	0	324	2433	1590481321
49.632832	7.521626	38200	11643	616.7	333	383.2	0	0	298	2433	1590481330
49.639534	7.50923	37600	11460	698.2	377	433.8	0	0	310	2433	1590481337
49.654293	7.486292	36525	11133	1044.5	564	649	0	0	317	2433	1590481347
49.67622	7.432177	34325	10462	379.7	205	235.9	0	0	297	2433	1590481368
49.67836	7.413916	33650	10257	533.4	288	331.4	0	0	281	2433	1590481376
49.690556	7.382738	32575	9929	600	324	372.9	0	0	292	2433	1590481384
49.704895	7.337086	29800	9083	977.9	528	607.6	0	0	299	2433	1590481402
49.721188	7.250977	23650	7209	270.4	146	168	0	0	277	2433	1590481428
49.72924	7.217943	21925	6683	1014.9	548	630.6	0	0	291	2433	1590481438
49.751122	7.122555	17700	5395	1000.1	540	621.4	0	0	293	2433	1590481463
49.758709	7.067995	17075	5204	811.2	438	504	0	0	280	2433	1590481476
49.765926	7.027464	17025	5189	340.8	184	211.7	0	0	273	2433	1590481493
49.783291	6.935936	17100	5212	740.8	400	460.3	0	0	293	2433	1590481523
49.809406	6.87128	16975	5174	420.4	227	261.2	0	0	327	2433	1590481559
49.902882	6.893401	16975	5174	701.9	379	436.1	0	0	348	2433	1590481588
49.916008	6.889987	17075	5204	531.5	287	330.3	0	0	351	2433	1590481597
49.927181	6.885904	16975	5174	764.9	413	475.3	0	0	347	2433	1590481603
49.945339	6.88145	17025	5189	742.7	401	461.5	0	0	352	2433	1590481613
50.016701	6.859774	16600	5060	638.9	345	397	0	0	350	1261	1590481654
50.040909	6.85198	16250	4953	490.8	265	305	0	0	344	1261	1590481667
50.0937	6.839064	15500	4724	707.5	382	439.6	0	0	354	1261	1590481699
50.139973	6.825702	14550	4435	303.7	164	188.7	0	0	347	1261	1590481724
50.195324	6.811894	13200	4023	713	385	443.1	0	0	346	1261	1590481759
50.247742	6.79883	11650	3551	370.4	200	230.2	0	0	359	1261	1590481794
50.280327	6.790144	10775	3284	381.5	206	237.1	0	0	352	1261	1590481812
50.305141	6.784503	9975	3040	355.6	192	220.9	0	0	354	1261	1590481829
50.329067	6.777525	9250	2819	481.5	260	299.2	0	0	351	1261	1590481844
50.370266	6.766836	8150	2484	559.3	302	347.5	0	0	355	1261	1590481869
50.382835	6.758745	7525	2294	363	196	225.6	0	0	338	1261	1590481885
50.411278	6.746867	6375	1943	576	311	357.9	0	0	354	1261	1590481910
50.432041	6.743675	5725	1745	416.7	225	258.9	0	0	355	1261	1590481926
50.510666	6.738405	4100	1250	1129.7	610	702	0	0	355	1261	1590481978
50.539017	6.733951	3475	1059	950.1	513	590.3	0	0	355	1261	1590481988
50.549259	6.683547	2875	876	1026	554	637.5	0	0	284	1261	1590482004
50.577843	6.735733	2250	686	835.3	451	519	0	0	49	1261	1590482025
50.620064	6.739444	2025	617	548.2	296	340.6	0	0	5	33	1590482051
50.652699	6.739593	1950	594	548.2	296	340.6	0	0	1	33	1590482077
50.671551	6.743011	1825	556	613	331	380.9	0	0	8	33	1590482091
50.680489	6.744003	1800	549	598.2	323	371.7	0	0	4	33	1590482097
50.70018	6.752243	1825	556	814.9	440	506.3	0	0	14	33	1590482106
50.708981	6.771698	1850	564	377.8	204	234.8	0	0	54	33	1590482120
50.722855	6.785965	1850	564	427.8	231	265.8	0	0	30	6167	1590482132
50.740498	6.803284	1850	564	451.9	244	280.8	0	0	31	6167	1590482146
50.743988	6.801605	1875	572	144.5	78	89.8	0	0	344	6167	1590482153
50.766518	6.826706	1875	572	459.3	248	285.4	0	0	35	33	1590482173
50.779694	6.840286	1875	572	392.6	212	244	0	0	32	33	1590482185
50.786304	6.846924	1875	572	390.8	211	242.8	0	0	32	33	1590482191
50.798687	6.855774	1875	572	344.5	186	214	0	0	11	33	1590482203
50.809811	6.856689	1875	572	481.5	260	299.2	0	0	358	33	1590482213
50.833183	6.854401	1750	533	426	230	264.7	0	0	357	33	1590482234
50.842587	6.844482	1700	518	313	169	194.5	0	0	330	33	1590482244
50.850777	6.834488	1675	511	344.5	186	214	0	0	323	33	1590482252
50.854782	6.827164	1625	495	272.2	147	169.2	0	0	311	33	1590482259
50.860321	6.818314	1600	488	392.6	212	244	0	0	315	33	1590482265
50.85939	6.798096	1600	488	731.5	395	454.6	0	0	266	33	1590482271
50.866188	6.776581	1575	480	731.5	395	454.6	0	0	69	33	1590482288
50.839512	6.647568	2150	655	650.1	351	403.9	0	0	251	33	1590482418
50.849522	6.67717	2025	617	650.1	351	403.9	0	0	67	33	1590482443
50.854317	6.693878	1875	572	218.5	118	135.8	0	0	63	33	1590482456
50.817215	6.569366	1850	564	496.3	268	308.4	0	0	245	33	1590482578
50.823826	6.604156	1900	579	398.2	215	247.4	0	0	73	33	1590482599
50.826942	6.614532	1875	572	363	196	225.6	0	0	64	33	1590482606
50.834579	6.639709	1900	579	390.8	211	242.8	0	0	67	33	1590482622
