latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-21.334053	55.60725	3250	991	172.2	93	107	192	1	229	0	1590479480
-21.335861	55.604954	3275	998	170.4	92	105.9	256	1.3	232	0	1590479486
-21.337311	55.602417	3275	998	168.5	91	104.7	-128	-0.7	239	0	1590479494
-21.339432	55.59861	3275	998	168.5	91	104.7	64	0.3	239	0	1590479504
-21.34057	55.596313	3275	998	170.4	92	105.9	-64	-0.3	242	0	1590479510
-21.342478	55.592243	3275	998	170.4	92	105.9	-256	-1.3	245	0	1590479520
-21.343597	55.58942	3275	998	170.4	92	105.9	0	0	246	2000	1590479526
-21.344667	55.5867	3275	998	164.8	89	102.4	384	2	248	2000	1590479532
-21.345598	55.584106	3300	1006	159.3	86	99	0	0	249	2000	1590479538
-21.346527	55.581333	3325	1013	155.6	84	96.7	384	2	251	2000	1590479546
-21.347181	55.578918	3375	1029	153.7	83	95.5	384	2	252	2000	1590479552
-21.347971	55.576324	3425	1044	153.7	83	95.5	384	2	251	2000	1590479558
-21.348856	55.57378	3475	1059	163	88	101.3	192	1	249	2000	1590479564
-21.349777	55.571144	3500	1067	164.8	89	102.4	512	2.6	249	2000	1590479570
-21.350601	55.5686	3575	1090	161.1	87	100.1	576	2.9	250	2000	1590479576
-21.351471	55.566051	3625	1105	161.1	87	100.1	640	3.3	248	2000	1590479584
-21.35244	55.56361	3700	1128	155.6	84	96.7	832	4.2	247	2000	1590479590
-21.353558	55.56081	3775	1151	159.3	86	99	448	2.3	246	2000	1590479596
-21.354584	55.558311	3850	1173	159.3	86	99	832	4.2	245	2000	1590479602
-21.355793	55.555676	3925	1196	163	88	101.3	576	2.9	243	2000	1590479610
-21.357056	55.553066	4000	1219	163	88	101.3	704	3.6	242	2000	1590479616
-21.358337	55.550571	4075	1242	168.5	91	104.7	576	2.9	241	2000	1590479622
-21.359665	55.548023	4125	1257	174.1	94	108.2	320	1.6	240	2000	1590479630
-21.361084	55.545326	4150	1265	179.6	97	111.6	384	2	241	2000	1590479636
-21.36232	55.54253	4200	1280	179.6	97	111.6	320	1.6	247	2000	1590479642
-21.363241	55.539654	4225	1288	183.3	99	113.9	128	0.7	252	2000	1590479648
-21.364014	55.536537	4250	1295	179.6	97	111.6	448	2.3	256	2000	1590479654
-21.364746	55.533291	4325	1318	177.8	96	110.5	256	1.3	255	2000	1590479662
-21.365707	55.530445	4350	1326	179.6	97	111.6	256	1.3	246	2000	1590479668
-21.36731	55.527798	4375	1334	185.2	100	115.1	0	0	230	2000	1590479674
-21.369572	55.525463	4400	1341	187.1	101	116.2	384	2	222	2000	1590479682
-21.371338	55.522854	4475	1364	174.1	94	108.2	704	3.6	242	2000	1590479688
-21.37204	55.52002	4525	1379	174.1	94	108.2	320	1.6	259	2000	1590479694
-21.372757	55.517063	4575	1394	172.2	93	107	576	2.9	251	2000	1590479700
-21.373718	55.514366	4650	1417	174.1	94	108.2	448	2.3	246	2000	1590479706
-21.374832	55.511578	4725	1440	174.1	94	108.2	512	2.6	246	2000	1590479714
-21.37595	55.508831	4775	1455	174.1	94	108.2	512	2.6	246	2000	1590479720
-21.376974	55.506134	4850	1478	174.1	94	108.2	768	3.9	251	2000	1590479726
-21.377426	55.50288	4925	1501	172.2	93	107	576	2.9	270	2000	1590479734
-21.376923	55.500034	4950	1509	175.9	95	109.3	128	0.7	285	2000	1590479740
-21.37595	55.496777	4975	1516	179.6	97	111.6	256	1.3	287	2000	1590479746
-21.375065	55.493725	5000	1524	181.5	98	112.8	320	1.6	286	2000	1590479754
-21.374041	55.490826	5025	1532	181.5	98	112.8	64	0.3	295	2000	1590479760
-21.372528	55.488148	5000	1524	185.2	100	115.1	-128	-0.7	303	2000	1590479766
-21.370968	55.485382	4975	1516	190.8	103	118.5	-320	-1.6	298	2000	1590479772
-21.369781	55.482506	4950	1509	192.6	104	119.7	-128	-0.7	290	2000	1590479778
-21.36878	55.479328	4925	1501	190.8	103	118.5	-512	-2.6	288	2000	1590479784
-21.367849	55.476074	4775	1455	187.1	101	116.2	-1152	-5.9	286	2000	1590479792
-21.367081	55.472866	4625	1410	190.8	103	118.5	-1536	-7.8	284	2000	1590479798
-21.365616	55.46809	4350	1326	192.6	104	119.7	-1600	-8.1	294	2000	1590479808
-21.363968	55.465076	4150	1265	194.5	105	120.8	-1664	-8.5	304	2000	1590479814
-21.361984	55.462391	3950	1204	194.5	105	120.8	-1664	-8.5	309	2000	1590479820
-21.360168	55.459747	3825	1166	190.8	103	118.5	-1536	-7.8	303	2000	1590479828
-21.358658	55.456985	3700	1128	188.9	102	117.4	-1408	-7.2	299	2000	1590479834
-21.357101	55.454239	3550	1082	188.9	102	117.4	-1472	-7.5	301	2000	1590479840
-21.355316	55.451344	3425	1044	190.8	103	118.5	-1280	-6.5	303	2000	1590479846
-21.353577	55.448448	3300	1006	196.3	106	122	-1152	-5.9	300	2000	1590479854
-21.352068	55.445354	3150	960	198.2	107	123.1	-1344	-6.8	294	2000	1590479860
-21.350876	55.442055	3025	922	196.3	106	122	-1088	-5.5	290	2000	1590479866
-21.349415	55.438946	2925	892	190.8	103	118.5	-1152	-5.9	302	2000	1590479874
-21.347738	55.436707	2825	861	188.9	102	117.4	-832	-4.2	309	2000	1590479880
-21.345062	55.432816	2675	815	181.5	98	112.8	-704	-3.6	304	2000	1590479888
-21.343178	55.430195	2550	777	175.9	95	109.3	-1600	-8.1	309	2000	1590479896
-21.340347	55.427025	2375	724	170.4	92	105.9	-1088	-5.5	316	2000	1590479904
-21.337404	55.424145	2175	663	163	88	101.3	-1344	-6.8	318	2000	1590479914
-21.335403	55.422428	2025	617	164.8	89	102.4	-1216	-6.2	321	2000	1590479922
-21.332245	55.419434	1875	572	155.6	84	96.7	-640	-3.3	315	2000	1590479932
-21.330282	55.41753	1800	549	155.6	84	96.7	-576	-2.9	319	2000	1590479938
-21.328308	55.415688	1700	518	163	88	101.3	-768	-3.9	319	2000	1590479944
-21.326111	55.413742	1575	480	175.9	95	109.3	-1472	-7.5	320	2000	1590479952
-21.32373	55.411942	1450	442	181.5	98	112.8	-1024	-5.2	329	2000	1590479958
-21.320206	55.409546	1350	411	170.4	92	105.9	-512	-2.6	325	2000	1590479966
-21.318008	55.407948	1300	396	166.7	90	103.6	-640	-3.3	326	2000	1590479974
-21.315857	55.406349	1225	373	168.5	91	104.7	-640	-3.3	319	2000	1590479980
-21.314268	55.404255	1225	373	155.6	84	96.7	64	0.3	306	2000	1590479986
-21.311708	55.401409	1225	373	148.2	80	92.1	-256	-1.3	311	2000	1590479996
-21.309906	55.399158	1225	373	155.6	84	96.7	-128	-0.7	314	2000	1590480002
-21.307938	55.397362	1225	373	163	88	101.3	-64	-0.3	318	2000	1590480008
-21.306028	55.39505	1250	381	164.8	89	102.4	192	1	308	2000	1590480016
-21.304459	55.393066	1200	366	159.3	86	99	-576	-2.9	314	2000	1590480022
-21.302582	55.39127	1150	351	157.4	85	97.8	-576	-2.9	318	2000	1590480028
-21.300861	55.389202	1075	328	155.6	84	96.7	-704	-3.6	307	2000	1590480034
-21.299278	55.387012	1025	312	159.3	86	99	-448	-2.3	307	2000	1590480042
-21.297546	55.384628	950	290	164.8	89	102.4	-704	-3.6	306	2000	1590480048
-21.296112	55.382385	900	274	163	88	101.3	-640	-3.3	300	2000	1590480054
-21.294891	55.380032	900	274	155.6	84	96.7	64	0.3	298	2000	1590480062
-21.29361	55.377438	925	282	150	81	93.2	192	1	296	2000	1590480068
-21.292574	55.375011	1000	305	140.8	76	87.5	512	2.6	294	2000	1590480074
-21.291504	55.37289	1000	305	133.3	72	82.9	-320	-1.6	299	2000	1590480082
-21.290434	55.370941	950	290	127.8	69	79.4	-192	-1	302	2000	1590480088
-21.289124	55.369247	950	290	133.3	72	82.9	-128	-0.7	319	2000	1590480094
-21.287035	55.3685	975	297	138.9	75	86.3	64	0.3	356	2000	1590480100
-21.282715	55.372841	1275	389	137	74	85.2	384	2	66	2000	1590480120
-21.285778	55.380505	1075	328	161.1	87	100.1	-576	-2.9	126	2000	1590480142
-21.287779	55.383251	975	297	157.4	85	97.8	-640	-3.3	128	2000	1590480150
-21.289782	55.385845	850	259	155.6	84	96.7	-832	-4.2	129	2000	1590480158
-21.29439	55.392303	600	183	146.3	79	90.9	-576	-2.9	133	2000	1590480178
-21.295927	55.394135	525	160	140.8	76	87.5	-576	-2.9	130	2000	1590480184
-21.297556	55.395966	475	145	142.6	77	88.6	-576	-2.9	134	2000	1590480190
-21.299103	55.397709	425	130	142.6	77	88.6	-448	-2.3	132	2000	1590480198
-21.300722	55.399628	375	114	138.9	75	86.3	-576	-2.9	130	2000	1590480204
-21.302216	55.401554	300	91	140.8	76	87.5	-640	-3.3	129	2000	1590480210
-21.303635	55.403454	250	76	138.9	75	86.3	-512	-2.6	128	2000	1590480216
-21.30505	55.405323	200	61	135.2	73	84	-384	-2	128	2000	1590480224
-21.306564	55.406849	200	61	133.3	72	82.9	128	0.7	143	2000	1590480230
-21.308304	55.408096	225	69	129.6	70	80.6	384	2	145	2000	1590480236
-21.310043	55.410046	200	61	120.4	65	74.8	-192	-1	134	2000	1590480244
-21.311325	55.412045	175	53	125.9	68	78.3	-448	-2.3	126	2000	1590480252
-21.312592	55.413921	125	38	133.3	72	82.9	-640	-3.3	128	2000	1590480258
-21.313889	55.415688	50	15	131.5	71	81.7	-640	-3.3	127	2000	1590480264
-21.315338	55.41753	25	8	120.4	65	74.8	64	0.3	131	2000	1590480272
-21.316595	55.418957	0	0	107.4	58	66.7	-512	-2.6	133	2000	1590480278
-21.317551	55.420231	0	0	88.9	48	55.2	-128	-0.7	128	2000	1590480284
-21.318411	55.421398	0	0	77.8	42	48.3	-64	-0.3	128	2000	1590480290
-21.318924	55.42223	0	0	48.2	26	29.9	-128	-0.7	112	2000	1590480296
-21.31897	55.422771	0	0	22.2	12	13.8	-64	-0.3	99	2000	1590480304
-21.319107	55.423031	0	0	20.4	11	12.7	-384	-2	120	2000	1590480406
-21.320663	55.425125	0	0	113	61	70.2	576	2.9	128	2000	1590480420
-21.322037	55.426876	125	38	127.8	69	79.4	1216	6.2	128	2000	1590480426
-21.323858	55.429279	375	114	122.2	66	76	1728	8.8	128	2000	1590480436
-21.324928	55.430958	550	168	118.5	64	73.6	1536	7.8	119	2000	1590480442
-21.324928	55.433044	750	229	116.7	63	72.5	1792	9.1	61	2000	1590480448
-21.323227	55.434166	875	267	129.6	70	80.6	960	4.9	16	2000	1590480454
-21.321075	55.434166	1025	312	140.8	76	87.5	1152	5.9	353	2000	1590480462
-21.318737	55.433453	1125	343	148.2	80	92.1	960	4.9	336	2000	1590480468
-21.316315	55.432018	1225	373	164.8	89	102.4	896	4.6	326	2000	1590480474
-21.314484	55.430119	1250	381	170.4	92	105.9	64	0.3	311	2000	1590480480
-21.312778	55.428112	1300	396	151.9	82	94.4	320	1.6	311	2000	1590480486
-21.311234	55.426327	1325	404	131.5	71	81.7	128	0.7	312	2000	1590480494
-21.309769	55.424828	1275	389	129.6	70	80.6	-448	-2.3	317	2000	1590480500
-21.307343	55.42223	1250	381	140.8	76	87.5	-320	-1.6	313	2000	1590480510
-21.305656	55.420429	1175	358	142.6	77	88.6	-640	-3.3	314	2000	1590480516
-21.304047	55.418583	1100	335	144.5	78	89.8	-576	-2.9	310	2000	1590480522
-21.302769	55.416565	1025	312	140.8	76	87.5	-832	-4.2	298	2000	1590480530
-21.302216	55.413891	975	297	138.9	75	86.3	-512	-2.6	269	2000	1590480536
-21.302628	55.411495	925	282	135.2	73	84	-704	-3.6	257	2000	1590480544
-21.303543	55.409447	825	251	131.5	71	81.7	-768	-3.9	230	2000	1590480550
-21.30542	55.408497	775	236	131.5	71	81.7	-640	-3.3	189	2000	1590480556
-21.307564	55.408936	675	206	135.2	73	84	-960	-4.9	157	2000	1590480562
-21.309334	55.410412	550	168	137	74	85.2	-1216	-6.2	136	2000	1590480570
-21.310869	55.412189	425	130	138.9	75	86.3	-1024	-5.2	132	2000	1590480576
-21.312359	55.413921	350	107	124.1	67	77.1	-512	-2.6	132	2000	1590480582
-21.31357	55.415344	300	91	109.3	59	67.9	-448	-2.3	129	2000	1590480588
-21.314667	55.416786	250	76	103.7	56	64.4	-448	-2.3	130	2000	1590480596
-21.315674	55.418087	175	53	92.6	50	57.5	-704	-3.6	129	2000	1590480602
-21.316589	55.419235	125	38	88.9	48	55.2	-576	-2.9	130	2000	1590480608
-21.317505	55.420334	75	23	87	47	54.1	-576	-2.9	130	2000	1590480614
-21.318411	55.421497	0	0	79.6	43	49.5	-576	-2.9	130	2000	1590480621
-21.319748	55.42318	0	0	53.7	29	33.4	-256	-1.3	130	2000	1590480634
-21.320206	55.423779	0	0	37	20	23	-256	-1.3	129	2000	1590480640
-21.320505	55.424145	0	0	20.4	11	12.7	256	1.3	142	2000	1590480646
-21.320925	55.424652	0	0	20.4	11	12.7	384	2	135	2000	1590480680
-21.321762	55.425617	0	0	85.2	46	52.9	384	2	133	2000	1590480686
-21.322815	55.426876	25	8	107.4	58	66.7	704	3.6	130	2000	1590480694
-21.323904	55.428314	125	38	113	61	70.2	1152	5.9	128	2000	1590480700
-21.324783	55.429821	250	76	113	61	70.2	1408	7.2	116	2000	1590480706
-21.324829	55.432667	475	145	120.4	65	74.8	1728	8.8	73	2000	1590480714
-21.324005	55.434566	675	206	122.2	66	76	1600	8.1	61	2000	1590480720
-21.322462	55.436199	900	274	125.9	68	78.3	2176	11.1	29	2000	1590480728
-21.320459	55.436298	1125	343	129.6	70	80.6	2048	10.4	348	2000	1590480734
-21.318644	55.435284	1350	411	137	74	85.2	2240	11.4	325	2000	1590480740
-21.316921	55.433857	1575	480	150	81	93.2	1984	10.1	321	2000	1590480746
-21.31492	55.432129	1775	541	161.1	87	100.1	1728	8.8	319	2000	1590480752
-21.312965	55.430248	2025	617	159.3	86	99	2304	11.7	315	2000	1590480760
-21.311476	55.428467	2325	709	135.2	73	84	2752	14	307	2000	1590480766
-21.31073	55.426586	2600	792	116.7	63	72.5	2688	13.7	283	2000	1590480772
-21.310822	55.424778	2850	869	83.3	45	51.8	1664	8.5	257	2000	1590480778
-21.31115	55.423737	2975	907	59.3	32	36.8	1216	6.2	250	2000	1590480786
-21.311554	55.422729	3100	945	63	34	39.1	1088	5.5	240	2000	1590480792
-21.31222	55.421753	3225	983	61.1	33	38	1152	5.9	231	2000	1590480798
-21.312685	55.418701	3050	930	122.2	66	76	-3200	-16.3	208	2000	1590480820
-21.314896	55.415489	2650	808	164.8	89	102.4	-2048	-10.4	251	2000	1590480830
-21.311848	55.40675	2150	655	159.3	86	99	-1472	-7.5	315	2000	1590480854
-21.309938	55.404816	1975	602	159.3	86	99	-1664	-8.5	314	2000	1590480860
-21.307159	55.401405	1775	541	170.4	92	105.9	-1024	-5.2	310	2000	1590480870
-21.305099	55.399307	1700	518	175.9	95	109.3	-832	-4.2	319	2000	1590480876
-21.30291	55.397442	1650	503	175.9	95	109.3	-704	-3.6	322	2000	1590480884
-21.300722	55.395557	1625	495	164.8	89	102.4	128	0.7	316	2000	1590480890
