latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
61.102936	13.36732	4000	1219	366.7	198	227.9	-192	-1	97	0	1590479547
61.102203	13.378601	3975	1212	366.7	198	227.9	-64	-0.3	97	0	1590479553
61.10144	13.389689	3975	1212	366.7	198	227.9	0	0	98	0	1590479559
61.100697	13.400879	3975	1212	366.7	198	227.9	-64	-0.3	98	0	1590479566
61.099869	13.412247	4000	1219	359.3	194	223.3	512	2.6	98	0	1590479572
61.099045	13.423233	4025	1227	344.5	186	214	-64	-0.3	98	5711	1590479578
61.097488	13.443734	4050	1234	320.4	173	199.1	128	0.7	99	5711	1590479590
61.097065	13.452962	4050	1234	313	169	194.5	-256	-1.3	92	5711	1590479596
61.097534	13.461685	4050	1234	307.4	166	191	-192	-1	81	5711	1590479602
61.099579	13.471782	4025	1227	309.3	167	192.2	0	0	60	5711	1590479608
61.103024	13.477986	4025	1227	305.6	165	189.9	-320	-1.6	33	5711	1590479614
61.107285	13.479833	4000	1219	294.5	159	183	-128	-0.7	5	5711	1590479620
61.110901	13.477773	4000	1219	277.8	150	172.6	-192	-1	339	5711	1590479626
61.113968	13.471102	3950	1204	259.3	140	161.1	-576	-2.9	305	5711	1590479632
61.118408	13.463745	3900	1189	275.9	149	171.5	-128	-0.7	332	5711	1590479640
61.128113	13.487091	3925	1196	270.4	146	168	768	3.9	95	5711	1590479665
61.127743	13.494975	4000	1219	264.8	143	164.6	1024	5.2	95	5711	1590479672
61.127106	13.508769	4125	1257	266.7	144	165.7	448	2.3	95	5711	1590479680
61.126766	13.517964	4150	1265	264.8	143	164.6	-128	-0.7	93	5711	1590479688
61.126579	13.528442	4150	1265	257.4	139	160	192	1	91	5711	1590479696
61.126675	13.536784	4175	1273	227.8	123	141.5	-64	-0.3	88	5711	1590479702
61.126858	13.543803	4175	1273	207.4	112	128.9	-64	-0.3	85	5711	1590479708
61.12709	13.548584	4175	1273	194.5	105	120.8	-192	-1	84	5711	1590479714
61.127419	13.554484	4175	1273	181.5	98	112.8	-256	-1.3	82	5711	1590479720
61.128021	13.560893	4100	1250	224.1	121	139.2	-448	-2.3	78	5711	1590479727
61.129093	13.572083	4125	1257	264.8	143	164.6	256	1.3	78	5711	1590479734
61.129852	13.581456	4125	1257	287.1	155	178.4	-64	-0.3	81	5711	1590479741
61.130447	13.58999	4125	1257	285.2	154	177.2	64	0.3	81	5711	1590479747
61.130951	13.598328	4150	1265	268.5	145	166.9	64	0.3	82	5711	1590479753
61.131454	13.607156	4125	1257	255.6	138	158.8	-64	-0.3	84	5711	1590479759
61.131729	13.613826	4125	1257	248.2	134	154.2	64	0.3	84	5711	1590479766
61.132401	13.629048	4150	1265	220.4	119	136.9	256	1.3	84	5711	1590479778
61.132725	13.635762	4175	1273	205.6	111	127.7	320	1.6	84	5711	1590479784
61.133011	13.641685	4200	1280	194.5	105	120.8	-384	-2	84	5711	1590479790
61.133331	13.647359	4175	1273	190.8	103	118.5	-576	-2.9	83	5711	1590479796
61.133701	13.653564	4100	1250	187.1	101	116.2	-512	-2.6	82	5711	1590479802
61.134167	13.65977	4000	1219	225.9	122	140.4	-1152	-5.9	81	5711	1590479808
61.134727	13.667603	3950	1204	264.8	143	164.6	128	0.7	81	5711	1590479814
61.135254	13.67582	3975	1212	244.5	132	151.9	576	2.9	82	5711	1590479820
61.135658	13.682353	4000	1219	209.3	113	130	128	0.7	81	5711	1590479827
61.136959	13.689982	3975	1212	188.9	102	117.4	-1152	-5.9	61	5711	1590479834
61.138641	13.694654	3875	1181	216.7	117	134.6	-576	-2.9	50	5711	1590479840
61.141289	13.700867	3875	1181	246.3	133	153.1	512	2.6	48	5711	1590479846
61.143711	13.706665	3900	1189	270.4	146	168	320	1.6	48	5711	1590479852
61.147202	13.715108	3975	1212	298.2	161	185.3	1216	6.2	50	5711	1590479860
61.153107	13.730065	4000	1219	316.7	171	196.8	-448	-2.3	51	5711	1590479872
61.156174	13.738305	3975	1212	329.7	178	204.8	384	2	53	5711	1590479878
