latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.398609	79.995567	30026	9152	781.5	422	485.6	0	0	5	0	1590479750
38.418957	79.997681	30351	9251	779.7	421	484.5	0	0	5	0	1590479761
38.498791	80.005798	31099	9479	783.4	423	486.8	0	0	5	0	1590479802
38.53244	80.009308	31099	9479	781.5	422	485.6	0	0	5	0	1590479820
38.57515	80.013908	31099	9479	781.5	422	485.6	0	0	5	0	1590479842
38.68721	80.025551	31099	9479	787.1	425	489.1	0	0	5	0	1590479898
38.707771	80.027824	31099	9479	789	426	490.2	0	0	5	0	1590479908
38.731407	80.030327	31099	9479	789	426	490.2	0	0	5	0	1590479920
38.766418	80.034119	31099	9479	789	426	490.2	0	0	5	0	1590479938
38.785976	80.036186	31099	9479	789	426	490.2	0	0	5	0	1590479948
38.86591	80.044426	31099	9479	790.8	427	491.4	0	0	5	0	1590479988
38.924747	80.050598	31099	9479	789	426	490.2	0	0	5	0	1590480020
38.987919	80.05719	31099	9479	792.7	428	492.5	0	0	4	0	1590480050
39.027576	80.061096	31099	9479	792.7	428	492.5	0	0	4	0	1590480070
39.165791	80.074768	31099	9479	792.7	428	492.5	0	0	4	0	1590480140
39.220768	80.080322	31099	9479	783.4	423	486.8	0	0	4	0	1590480168
39.37896	80.096069	31099	9479	635.2	343	394.7	0	0	4	0	1590480248
39.417038	80.099976	31099	9479	640.8	346	398.2	0	0	4	0	1590480268
39.431168	80.101379	31099	9479	644.5	348	400.5	0	0	4	0	1590480276
39.501568	80.108475	31099	9479	685.2	370	425.8	0	0	4	0	1590480312
39.544918	80.112839	31099	9479	694.5	375	431.5	0	0	4	0	1590480333
39.572201	80.115585	31099	9479	700.1	378	435	0	0	4	0	1590480348
39.83514	80.14222	31099	9479	746.4	403	463.8	0	0	4	0	1590480480
40.215179	80.350685	31099	9479	733.4	396	455.7	0	0	68	0	1590480710
40.221859	80.377441	31099	9479	738.9	399	459.2	0	0	72	0	1590480720
40.227188	80.399376	31099	9479	737.1	398	458	0	0	72	0	1590480730
40.233189	80.423912	31099	9479	738.9	399	459.2	0	0	72	0	1590480740
