latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.171078	-85.739288	0	0	16.7	9	10.4	0	0	292	0	1590479748
38.171162	-85.739586	0	0	16.7	9	10.4	0	0	289	0	1590479770
38.171219	-85.739792	0	0	3.7	2	2.3	0	0	292	6722	1590479786
38.171299	-85.740036	0	0	20.4	11	12.7	0	0	292	6722	1590479969
38.171379	-85.740311	0	0	29.6	16	18.4	0	0	289	6722	1590479979
38.171459	-85.740562	0	0	31.5	17	19.6	0	0	292	6722	1590479986
38.171543	-85.740799	0	0	29.6	16	18.4	0	0	292	6722	1590479993
38.171684	-85.741035	0	0	29.6	16	18.4	0	0	309	6722	1590480001
38.17202	-85.741249	0	0	38.9	21	24.2	0	0	337	6722	1590480014
38.17223	-85.741333	0	0	42.6	23	26.5	0	0	343	6722	1590480020
38.172813	-85.741531	0	0	48.2	26	29.9	0	0	345	6722	1590480032
38.173164	-85.741646	0	0	50	27	31.1	0	0	345	6722	1590480039
38.173836	-85.741859	0	0	55.6	30	34.5	0	0	345	6722	1590480051
38.174175	-85.741974	0	0	57.4	31	35.7	0	0	343	6722	1590480057
38.174561	-85.742111	0	0	59.3	32	36.8	0	0	345	6722	1590480063
38.17495	-85.742241	0	0	61.1	33	38	0	0	345	6722	1590480069
38.175488	-85.742409	0	0	63	34	39.1	0	0	345	6722	1590480077
38.17598	-85.742577	0	0	27.8	15	17.3	0	0	345	6722	1590480084
38.17638	-85.742714	0	0	27.8	15	17.3	0	0	345	6722	1590480090
38.176735	-85.742828	0	0	27.8	15	17.3	0	0	345	6722	1590480096
38.177223	-85.742989	0	0	27.8	15	17.3	0	0	345	6722	1590480102
38.177593	-85.743118	0	0	50	27	31.1	0	0	343	6722	1590480108
38.177803	-85.743317	0	0	44.4	24	27.6	0	0	320	6722	1590480114
38.17791	-85.743652	0	0	44.4	24	27.6	0	0	292	6722	1590480120
38.178024	-85.743996	0	0	48.2	26	29.9	0	0	295	6722	1590480127
38.1786	-85.744408	0	0	57.4	31	35.7	0	0	345	6722	1590480139
38.179184	-85.744598	0	0	61.1	33	38	0	0	345	6722	1590480148
38.179573	-85.744728	0	0	61.1	33	38	0	0	345	6722	1590480154
38.179985	-85.744858	0	0	27.8	15	17.3	0	0	345	6722	1590480160
38.180634	-85.745064	0	0	29.6	16	18.4	0	0	345	6722	1590480170
38.181519	-85.745369	0	0	31.5	17	19.6	0	0	345	6722	1590480181
38.18203	-85.745529	0	0	31.5	17	19.6	0	0	345	6722	1590480187
38.182449	-85.745682	0	0	31.5	17	19.6	0	0	345	6722	1590480193
38.182995	-85.745857	0	0	31.5	17	19.6	0	0	345	6722	1590480199
38.183453	-85.74601	0	0	31.5	17	19.6	0	0	345	6722	1590480205
38.183899	-85.746155	0	0	27.8	15	17.3	0	0	345	6722	1590480211
38.184288	-85.746292	0	0	53.7	29	33.4	0	0	345	6722	1590480217
38.18454	-85.746376	0	0	46.3	25	28.8	0	0	343	6722	1590480223
38.184826	-85.746758	0	0	42.6	23	26.5	0	0	300	6722	1590480232
38.184837	-85.747078	0	0	42.6	23	26.5	0	0	272	6722	1590480239
38.184711	-85.747589	0	0	46.3	25	28.8	0	0	253	6722	1590480247
38.18446	-85.747955	0	0	33.3	18	20.7	0	0	213	6722	1590480257
38.184227	-85.747856	0	0	31.5	17	19.6	0	0	168	6722	1590480280
38.183334	-85.747574	0	0	79.6	43	49.5	0	0	165	6722	1590480288
38.181725	-85.747047	0	0	133.3	72	82.9	0	0	165	6722	1590480294
38.177071	-85.745483	425	130	218.5	118	135.8	0	0	165	6722	1590480303
38.169937	-85.743149	425	130	298.2	161	185.3	704	3.6	165	6722	1590480314
38.161606	-85.740288	950	290	298.2	161	185.3	3392	17.2	164	6722	1590480326
38.156773	-85.738853	1275	389	296.3	160	184.1	3264	16.6	170	6722	1590480332
38.152542	-85.738594	1625	495	290.8	157	180.7	3712	18.9	179	6722	1590480338
38.148163	-85.738739	2000	610	281.5	152	174.9	3072	15.6	182	6722	1590480344
38.144119	-85.739059	2200	671	285.2	154	177.2	1536	7.8	184	6722	1590480351
38.139267	-85.739586	2325	709	301.9	163	187.6	896	4.6	185	6722	1590480357
38.134754	-85.740112	2425	739	316.7	171	196.8	1088	5.5	185	6722	1590480363
38.128052	-85.741066	2600	792	338.9	183	210.6	1088	5.5	186	6722	1590480371
38.121487	-85.742142	2700	823	363	196	225.6	512	2.6	187	6722	1590480378
38.115738	-85.743149	2750	838	388.9	210	241.7	768	3.9	188	6722	1590480384
38.110081	-85.74411	2875	876	400	216	248.6	1664	8.5	187	6722	1590480390
38.097515	-85.745964	3350	1021	416.7	225	258.9	2496	12.7	186	6722	1590480402
