latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
54.030212	6.045698	300	91	113	61	70.2	1152	5.9	160	0	1590479809
54.026478	6.048135	475	145	138.9	75	86.3	768	3.9	156	0	1590479822
54.022568	6.05174	575	175	159.3	86	99	384	2	148	0	1590479833
54.020473	6.053951	625	191	168.5	91	104.7	704	3.6	148	0	1590479839
54.018051	6.055971	750	229	166.7	90	103.6	1152	5.9	154	0	1590479845
54.015911	6.057587	850	259	163	88	101.3	1088	5.5	156	0	1590479851
54.013184	6.059588	950	290	168.5	91	104.7	576	2.9	156	7745	1590479858
54.010712	6.061393	1025	312	181.5	98	112.8	640	3.3	156	7745	1590479864
54.008091	6.063403	1100	335	190.8	103	118.5	896	4.6	155	7745	1590479870
54.00531	6.06563	1200	366	194.5	105	120.8	1024	5.2	154	7745	1590479876
54.002609	6.067828	1300	396	196.3	106	122	1024	5.2	154	7745	1590479882
53.999943	6.070027	1400	427	198.2	107	123.1	960	4.9	154	7745	1590479888
53.997162	6.072222	1500	457	201.9	109	125.4	960	4.9	154	7745	1590479894
53.985561	6.081579	1925	587	207.4	112	128.9	1024	5.2	154	7745	1590479919
53.982533	6.084002	2025	617	207.4	112	128.9	1024	5.2	154	7745	1590479926
53.980133	6.085955	2125	648	207.4	112	128.9	1024	5.2	154	7745	1590479932
53.97718	6.088284	2225	678	205.6	111	127.7	1024	5.2	154	7745	1590479938
53.971344	6.093018	2350	716	211.1	114	131.2	384	2	154	7745	1590479951
53.965542	6.097654	2350	716	229.6	124	142.7	-128	-0.7	155	7745	1590479962
53.961319	6.101022	2375	724	242.6	131	150.8	320	1.6	154	7745	1590479970
53.954647	6.106379	2425	739	242.6	131	150.8	192	1	154	7745	1590479982
53.951485	6.108964	2425	739	242.6	131	150.8	0	0	154	7745	1590479988
53.944546	6.114457	2425	739	246.3	133	153.1	64	0.3	154	7745	1590480000
53.940964	6.117284	2450	747	246.3	133	153.1	64	0.3	154	7745	1590480007
53.934311	6.122681	2450	747	246.3	133	153.1	0	0	154	7745	1590480018
53.930649	6.125584	2450	747	246.3	133	153.1	-64	-0.3	154	7745	1590480024
53.927231	6.128352	2450	747	246.3	133	153.1	-64	-0.3	154	7745	1590480030
53.923969	6.130937	2450	747	248.2	134	154.2	-64	-0.3	154	7745	1590480036
53.920712	6.133522	2450	747	248.2	134	154.2	0	0	154	7745	1590480042
53.916988	6.13651	2450	747	248.2	134	154.2	0	0	154	7745	1590480048
53.913803	6.139081	2425	739	246.3	133	153.1	0	0	154	7745	1590480054
53.910236	6.141923	2450	747	246.3	133	153.1	0	0	154	7745	1590480060
53.907074	6.144496	2450	747	246.3	133	153.1	0	0	154	7745	1590480066
53.903595	6.147243	2450	747	246.3	133	153.1	0	0	154	7745	1590480072
53.900276	6.14992	2450	747	248.2	134	154.2	0	0	154	7745	1590480078
53.896786	6.152667	2450	747	248.2	134	154.2	0	0	154	7745	1590480084
53.893291	6.155494	2450	747	250	135	155.4	0	0	154	7745	1590480091
53.886475	6.160897	2450	747	250	135	155.4	0	0	154	7745	1590480104
53.879471	6.166547	2450	747	250	135	155.4	0	0	154	7745	1590480116
53.872696	6.171962	2450	747	250	135	155.4	0	0	154	7745	1590480128
53.869263	6.17463	2450	747	250	135	155.4	0	0	154	7745	1590480134
53.865734	6.177467	2425	739	250	135	155.4	0	0	154	7745	1590480140
53.858734	6.183027	2425	739	250	135	155.4	0	0	154	7745	1590480152
53.855438	6.185695	2425	739	250	135	155.4	0	0	154	7745	1590480158
53.85228	6.188211	2425	739	250	135	155.4	0	0	154	7745	1590480164
53.848755	6.191031	2425	739	250	135	155.4	0	0	154	7745	1590480170
53.845531	6.193623	2425	739	250	135	155.4	0	0	154	7745	1590480176
53.842072	6.196289	2425	739	250	135	155.4	64	0.3	154	7745	1590480182
53.838779	6.198955	2425	739	248.2	134	154.2	64	0.3	154	7745	1590480188
53.831863	6.20445	2450	747	246.3	133	153.1	0	0	154	7745	1590480200
53.825745	6.209376	2450	747	248.2	134	154.2	0	0	154	7745	1590480211
53.821838	6.212455	2450	747	248.2	134	154.2	0	0	154	7745	1590480217
53.818588	6.215829	2450	747	248.2	134	154.2	0	0	147	7745	1590480224
53.815659	6.220145	2425	739	248.2	134	154.2	0	0	136	7745	1590480230
53.813232	6.224618	2425	739	248.2	134	154.2	64	0.3	132	7745	1590480236
53.810715	6.229248	2450	747	246.3	133	153.1	64	0.3	132	7745	1590480242
53.808243	6.233772	2450	747	246.3	133	153.1	0	0	132	7745	1590480248
53.805729	6.238377	2450	747	246.3	133	153.1	0	0	132	7745	1590480254
53.802238	6.24492	2425	739	248.2	134	154.2	0	0	131	7745	1590480262
53.799728	6.249651	2450	747	248.2	134	154.2	0	0	131	7745	1590480268
53.794647	6.259225	2425	739	248.2	134	154.2	0	0	131	7745	1590480280
53.789063	6.269801	2450	747	248.2	134	154.2	64	0.3	131	7745	1590480294
53.786453	6.274763	2450	747	248.2	134	154.2	0	0	131	7745	1590480300
53.783989	6.279333	2450	747	248.2	134	154.2	0	0	131	7745	1590480306
53.781101	6.284826	2450	747	248.2	134	154.2	0	0	131	7745	1590480313
53.778587	6.289511	2450	747	248.2	134	154.2	0	0	131	7745	1590480319
53.776119	6.294197	2450	747	248.2	134	154.2	0	0	131	7745	1590480325
53.77356	6.299124	2450	747	250	135	155.4	0	0	131	7745	1590480332
53.770844	6.304191	2450	747	250	135	155.4	0	0	131	7745	1590480338
53.768188	6.309213	2450	747	250	135	155.4	0	0	131	7745	1590480344
53.765671	6.313921	2425	739	250	135	155.4	0	0	131	7745	1590480350
53.763153	6.318708	2450	747	250	135	155.4	0	0	131	7745	1590480357
53.76062	6.323521	2450	747	250	135	155.4	0	0	131	7745	1590480363
53.756058	6.332049	2425	739	250	135	155.4	0	0	131	7745	1590480374
53.75322	6.337463	2425	739	250	135	155.4	0	0	132	7745	1590480380
53.750656	6.342262	2425	739	250	135	155.4	0	0	132	7745	1590480387
53.745575	6.351824	2450	747	250	135	155.4	64	0.3	132	7745	1590480398
53.743114	6.35648	2450	747	250	135	155.4	0	0	132	7745	1590480405
53.738506	6.365123	2450	747	250	135	155.4	0	0	131	7745	1590480415
53.735855	6.370131	2450	747	250	135	155.4	0	0	132	7745	1590480422
53.73106	6.379098	2450	747	250	135	155.4	0	0	132	7745	1590480433
53.728088	6.384705	2450	747	250	135	155.4	0	0	131	7745	1590480441
53.723236	6.393807	2425	739	250	135	155.4	0	0	132	7745	1590480452
53.720398	6.399144	2450	747	250	135	155.4	0	0	132	7745	1590480459
53.715591	6.408168	2450	747	250	135	155.4	0	0	132	7745	1590480469
53.712845	6.413348	2450	747	250	135	155.4	0	0	132	7745	1590480476
53.710342	6.418035	2450	747	251.9	136	156.5	0	0	131	7745	1590480482
53.707855	6.422686	2450	747	251.9	136	156.5	0	0	131	7745	1590480489
53.702755	6.432253	2425	739	251.9	136	156.5	0	0	131	7745	1590480500
53.700211	6.437125	2450	747	251.9	136	156.5	0	0	131	7745	1590480507
53.697327	6.442461	2450	747	250	135	155.4	0	0	132	7745	1590480513
53.694561	6.447601	2450	747	251.9	136	156.5	0	0	131	7745	1590480520
53.692154	6.452192	2425	739	253.7	137	157.7	0	0	132	7745	1590480526
53.68927	6.457528	2450	747	253.7	137	157.7	0	0	132	7745	1590480533
53.686367	6.463031	2425	739	253.7	137	157.7	0	0	132	7745	1590480539
53.684086	6.467312	2450	747	253.7	137	157.7	0	0	132	7745	1590480545
53.681213	6.472674	2450	747	253.7	137	157.7	0	0	132	7745	1590480551
53.678604	6.477618	2425	739	255.6	138	158.8	-64	-0.3	131	7745	1590480557
53.676079	6.482337	2425	739	255.6	138	158.8	-128	-0.7	131	7745	1590480563
53.670914	6.491978	2400	732	255.6	138	158.8	-64	-0.3	132	7745	1590480575
53.6684	6.497201	2400	732	255.6	138	158.8	-64	-0.3	127	7745	1590480582
53.666245	6.5032	2375	724	253.7	137	157.7	-64	-0.3	119	7745	1590480588
53.664303	6.510449	2375	724	253.7	137	157.7	0	0	113	7745	1590480595
53.662766	6.516384	2400	732	251.9	136	156.5	64	0.3	113	7745	1590480601
53.661346	6.521798	2400	732	251.9	136	156.5	0	0	113	7745	1590480607
53.659378	6.529567	2375	724	251.9	136	156.5	-64	-0.3	113	7745	1590480615
53.657692	6.536138	2375	724	251.9	136	156.5	-64	-0.3	112	7745	1590480622
53.65625	6.542035	2375	724	253.7	137	157.7	0	0	112	7745	1590480628
53.653381	6.553737	2375	724	253.7	137	157.7	64	0.3	112	7745	1590480640
53.651917	6.559701	2375	724	251.9	136	156.5	64	0.3	112	7745	1590480646
53.650543	6.565351	2375	724	251.9	136	156.5	0	0	112	7745	1590480652
53.648987	6.571521	2400	732	251.9	136	156.5	0	0	112	7745	1590480658
53.647545	6.577418	2400	732	251.9	136	156.5	0	0	112	7745	1590480664
53.646099	6.583315	2400	732	250	135	155.4	0	0	112	7745	1590480670
53.64473	6.58905	2400	732	250	135	155.4	0	0	112	7745	1590480676
53.643265	6.594857	2400	732	250	135	155.4	0	0	112	7745	1590480682
53.641819	6.600764	2400	732	250	135	155.4	0	0	112	7745	1590480688
53.640423	6.606419	2375	724	250	135	155.4	-64	-0.3	112	7745	1590480695
53.637444	6.618455	2375	724	250	135	155.4	0	0	112	7745	1590480706
53.636093	6.62411	2375	724	250	135	155.4	0	0	112	7745	1590480712
53.634567	6.63017	2375	724	250	135	155.4	0	0	112	7745	1590480718
53.633194	6.635821	2375	724	250	135	155.4	0	0	112	7745	1590480724
53.631763	6.641559	2400	732	250	135	155.4	64	0.3	112	7745	1590480731
53.630264	6.647592	2400	732	248.2	134	154.2	0	0	112	7745	1590480737
53.628799	6.653634	2400	732	248.2	134	154.2	-64	-0.3	112	7745	1590480743
53.627151	6.660383	2375	724	248.2	134	154.2	-64	-0.3	112	7745	1590480749
53.62571	6.666116	2400	732	248.2	134	154.2	0	0	112	7745	1590480755
53.624176	6.672311	2375	724	248.2	134	154.2	0	0	112	7745	1590480762
53.622776	6.677991	2400	732	248.2	134	154.2	0	0	112	7745	1590480768
53.620102	6.688712	2375	724	248.2	134	154.2	0	0	112	7745	1590480779
53.618454	6.695539	2375	724	248.2	134	154.2	0	0	112	7745	1590480787
53.617004	6.701418	2375	724	248.2	134	154.2	0	0	112	7745	1590480793
53.614197	6.712646	2400	732	248.2	134	154.2	64	0.3	112	7745	1590480804
53.61235	6.720078	2400	732	248.2	134	154.2	0	0	112	7745	1590480811
53.611313	6.724418	2375	724	248.2	134	154.2	0	0	112	7745	1590480817
53.609463	6.731873	2375	724	248.2	134	154.2	0	0	112	7745	1590480823
53.608063	6.737601	2375	724	248.2	134	154.2	0	0	112	7745	1590480830
53.606579	6.743505	2400	732	248.2	134	154.2	0	0	112	7745	1590480836
53.603367	6.75643	2375	724	250	135	155.4	0	0	112	7745	1590480849
53.602158	6.761379	2375	724	250	135	155.4	0	0	112	7745	1590480855
