latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
60.226772	5.200922	3300	1006	222.2	120	138.1	1472	7.5	242	0	1590479848
60.223297	5.187111	3600	1097	237.1	128	147.3	1344	6.8	245	0	1590479862
60.220894	5.180274	3800	1158	237.1	128	147.3	1920	9.8	240	0	1590479872
60.216671	5.167394	4100	1250	237.1	128	147.3	1216	6.2	240	0	1590479884
60.211544	5.151909	4500	1372	237.1	128	147.3	1472	7.5	237	5211	1590479896
60.210186	5.147614	4600	1402	237.1	128	147.3	1408	7.2	237	5211	1590479902
60.207851	5.140494	4800	1463	237.1	128	147.3	2176	11.1	237	5211	1590479909
60.205021	5.131385	5000	1524	237.1	128	147.3	1472	7.5	238	5211	1590479916
60.200974	5.117107	5300	1615	244.5	132	151.9	1280	6.5	240	5211	1590479928
60.197186	5.104211	5599	1707	250	135	155.4	1536	7.8	240	5211	1590479942
60.191879	5.086099	6000	1829	255.6	138	158.8	1280	6.5	240	5211	1590479956
60.187756	5.072654	6300	1920	255.6	138	158.8	1152	5.9	238	5211	1590479968
60.183754	5.059104	6600	2012	263	142	163.4	1600	8.1	239	5211	1590479980
60.179432	5.044794	7000	2134	264.8	143	164.6	2048	10.4	239	5211	1590479994
60.174168	5.02718	7400	2256	264.8	143	164.6	1408	7.2	239	5211	1590480008
60.168289	5.008652	7900	2408	259.3	140	161.1	1344	6.8	237	5211	1590480024
60.164246	4.996628	8200	2499	259.3	140	161.1	1536	7.8	237	5211	1590480036
60.159874	4.983788	8581	2615	251.9	136	156.5	2176	11.1	235	5211	1590480048
60.155876	4.971829	8800	2682	253.7	137	157.7	512	2.6	236	5211	1590480064
60.150417	4.955161	9300	2835	248.2	134	154.2	1536	7.8	236	5211	1590480077
60.146702	4.94365	9600	2926	244.5	132	151.9	2240	11.4	236	5211	1590480097
60.139614	4.922443	10100	3078	235.2	127	146.1	1216	6.2	236	5211	1590480109
60.135746	4.910889	10400	3170	237.1	128	147.3	1280	6.5	236	5211	1590480124
60.130665	4.894705	10841	3304	237.1	128	147.3	1152	5.9	238	5211	1590480136
60.126644	4.882225	11165	3403	237.1	128	147.3	2176	11.1	238	5211	1590480149
60.122829	4.869995	11500	3505	237.1	128	147.3	2112	10.7	238	5211	1590480161
60.120377	4.862123	11700	3566	237.1	128	147.3	1792	9.1	238	5211	1590480172
60.115116	4.845561	12099	3688	237.1	128	147.3	1344	6.8	238	5211	1590480184
60.104988	4.815243	12900	3932	224.1	121	139.2	1664	8.5	234	5211	1590480217
60.094913	4.783829	13600	4145	225.9	122	140.4	1600	8.1	237	5211	1590480248
60.084579	4.751456	14200	4328	237.1	128	147.3	1024	5.2	237	5211	1590480281
60.071915	4.711468	15000	4572	255.6	138	158.8	1216	6.2	237	5211	1590480316
60.060322	4.675424	15848	4830	274.1	148	170.3	1472	7.5	237	5211	1590480349
60.04863	4.639527	16700	5090	263	142	163.4	1536	7.8	237	5211	1590480381
60.037148	4.605211	17500	5334	259.3	140	161.1	1856	9.4	236	5211	1590480412
60.025326	4.569506	18325	5585	240.8	130	149.6	704	3.6	236	5211	1590480448
60.006405	4.512538	19400	5913	233.4	126	145	384	2	236	5211	1590480509
59.984394	4.444775	19900	6066	250	135	155.4	0	0	237	5211	1590480573
59.955467	4.352367	19900	6066	353.7	191	219.8	0	0	237	5211	1590480645
59.926239	4.267462	19900	6066	392.6	212	244	0	0	236	5211	1590480704
59.885117	4.145601	19900	6066	392.6	212	244	0	0	236	5211	1590480777
59.854668	4.056206	19900	6066	390.8	211	242.8	0	0	236	5211	1590480825
59.849606	4.041489	19900	6066	388.9	210	241.7	0	0	236	5211	1590481077
59.673805	3.525731	19900	6066	396.3	214	246.3	0	0	238	5211	1590481174
59.660786	3.487273	19900	6066	396.3	214	246.3	0	0	238	5211	1590481182
59.656464	3.474653	19900	6066	392.6	212	244	0	0	236	5211	1590481348
58.107971	-0.499477	20000	6096	277.8	150	172.6	0	0	199	0	1590483862
58.095646	-0.528396	19900	6066	277.8	150	172.6	-256	-1.3	199	0	1590483889
58.080318	-0.575621	19900	6066	277.8	150	172.6	0	0	199	5211	1590484010
58.003201	-0.749034	19300	5883	277.8	150	172.6	-256	-1.3	199	5211	1590484056
57.971489	-0.819386	18400	5608	277.8	150	172.6	-1088	-5.5	199	5211	1590484101
57.936386	-0.897951	17400	5304	277.8	150	172.6	-1536	-7.8	199	5211	1590484129
57.899818	-0.977662	16400	4999	277.8	150	172.6	-1216	-6.2	199	5211	1590484170
57.85994	-1.069627	15300	4663	277.8	150	172.6	-1088	-5.5	199	5211	1590484237
57.826057	-1.145977	14300	4359	359.3	194	223.3	-768	-3.9	222	5211	1590484262
57.822449	-1.153727	14200	4328	359.3	194	223.3	-1280	-6.5	222	5211	1590484294
57.781059	-1.245679	12900	3932	359.3	194	223.3	-1472	-7.5	222	5211	1590484324
57.768879	-1.274583	12600	3840	400	216	248.6	-704	-3.6	228	5211	1590484352
57.712219	-1.38583	11000	3353	400	216	248.6	-1088	-5.5	228	5211	1590484416
57.700893	-1.399956	10700	3261	400	216	248.6	-1472	-7.5	228	5211	1590484480
57.636414	-1.476588	9700	2957	400	216	248.6	-1728	-8.8	228	5211	1590484504
