latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
34.921734	32.644718	4963	1513	0	0	0	0	0	0	0	1590479966
34.921658	32.646286	5050	1539	74.1	40	46	704	3.6	93	0	1590479974
34.921753	32.647873	5069	1545	74.1	40	46	192	1	93	0	1590479995
34.921413	32.661343	5125	1562	111.1	60	69	320	1.6	97	0	1590480007
34.920067	32.667683	5175	1577	140.8	76	87.5	256	1.3	101	3	1590480022
34.919296	32.671955	5175	1577	140.8	76	87.5	0	0	101	3	1590480078
34.913086	32.705994	5150	1570	140.8	76	87.5	0	0	101	3	1590480254
34.890804	32.858311	6450	1966	209.3	113	130	640	3.3	98	3	1590480291
34.890953	32.861359	6475	1974	209.3	113	130	320	1.6	98	3	1590480304
34.89053	32.870842	6600	2012	209.3	113	130	512	2.6	98	3	1590480314
34.890846	32.87822	6692	2040	209.3	113	130	512	2.6	98	3	1590480334
34.895599	32.89706	6649	2027	227.8	123	141.5	-128	-0.7	64	3	1590480346
34.90057	32.901299	6700	2042	261.1	141	162.3	704	3.6	41	3	1590480378
34.913254	32.922318	7050	2149	266.7	144	165.7	448	2.3	35	3	1590480390
34.920437	32.928249	7124	2171	266.7	144	165.7	448	2.3	35	3	1590480402
34.922359	32.929348	7125	2172	266.7	144	165.7	0	0	35	3	1590480414
34.929131	32.941952	7150	2179	255.6	138	158.8	0	0	51	3	1590480435
34.932041	32.948814	7149	2179	255.6	138	158.8	0	0	51	3	1590480442
34.934849	32.957439	7098	2163	248.2	134	154.2	-320	-1.6	62	3	1590480523
34.953003	33.016857	6550	1996	274.1	148	170.3	-576	-2.9	74	3	1590480543
34.955616	33.025589	6437	1962	274.1	148	170.3	-512	-2.6	74	3	1590480578
