latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
53.30114	-6.523113	1400	427	0	0	0	1280	6.5	264	0	1590480039
53.299957	-6.536801	1800	549	0	0	0	1664	8.5	262	0	1590480076
53.296478	-6.572776	2500	762	0	0	0	1088	5.5	261	3702	1590480106
53.293221	-6.605429	3199	975	0	0	0	0	0	253	3702	1590480122
53.291534	-6.62032	3600	1097	0	0	0	1600	8.1	259	3702	1590480134
53.290195	-6.632599	3800	1158	0	0	0	128	0.7	260	3702	1590480143
53.289616	-6.639421	3999	1219	222.2	120	138.1	1472	7.5	261	3702	1590480158
53.28767	-6.657799	4500	1372	222.2	120	138.1	2624	13.3	258	3702	1590480171
53.287163	-6.662264	4600	1402	222.2	120	138.1	1216	6.2	258	3702	1590480190
53.284878	-6.684038	5100	1554	222.2	120	138.1	2112	10.7	258	3702	1590480199
53.284443	-6.688076	5200	1585	222.2	120	138.1	1344	6.8	259	3702	1590480218
53.289124	-6.726168	6000	1829	222.2	120	138.1	0	0	277	3702	1590480247
53.292198	-6.732403	6200	1890	237.1	128	147.3	1472	7.5	304	3702	1590480254
53.298965	-6.745358	6500	1981	237.1	128	147.3	1408	7.2	310	3702	1590480271
53.304562	-6.753186	6699	2042	257.4	139	160	1536	7.8	321	3702	1590480282
53.308422	-6.759276	6900	2103	257.4	139	160	1600	8.1	318	3702	1590480291
53.313835	-6.768838	7099	2164	257.4	139	160	704	3.6	318	3702	1590480304
53.318325	-6.775175	7300	2225	264.8	143	164.6	1600	8.1	319	3702	1590480314
53.325577	-6.786743	7700	2347	266.7	144	165.7	2048	10.4	318	3702	1590480326
53.329197	-6.792507	7800	2377	263	142	163.4	0	0	317	3702	1590480338
53.336365	-6.805817	8100	2469	255.6	138	158.8	1280	6.5	313	3702	1590480350
53.341099	-6.814842	8264	2519	248.2	134	154.2	768	3.9	312	3702	1590480362
53.347164	-6.827161	8500	2591	250	135	155.4	640	3.3	309	3702	1590480380
53.351669	-6.836725	8800	2682	242.6	131	150.8	1728	8.8	309	3702	1590480390
53.356152	-6.846226	9000	2743	240.8	130	149.6	1728	8.8	309	3702	1590480402
53.360786	-6.856107	9200	2804	248.2	134	154.2	1664	8.5	308	3702	1590480414
53.365482	-6.866436	9400	2865	251.9	136	156.5	1344	6.8	308	3702	1590480426
53.370213	-6.876763	9678	2950	255.6	138	158.8	1216	6.2	308	3702	1590480440
53.374958	-6.887228	9900	3018	255.6	138	158.8	832	4.2	308	3702	1590480452
53.379208	-6.896913	10100	3078	255.6	138	158.8	640	3.3	307	3702	1590480463
53.383545	-6.907113	10378	3163	248.2	134	154.2	1152	5.9	306	3702	1590480478
53.389206	-6.920306	10700	3261	242.6	131	150.8	1600	8.1	306	3702	1590480490
53.39357	-6.930745	10852	3308	240.8	130	149.6	704	3.6	305	3702	1590480503
53.39769	-6.940123	11049	3368	240.8	130	149.6	1088	5.5	306	3702	1590480515
53.40181	-6.949864	11285	3440	240.8	130	149.6	1408	7.2	305	3702	1590480526
53.406582	-6.959279	11560	3523	240.8	130	149.6	896	4.6	310	3702	1590480538
53.412277	-6.97184	11900	3627	240.8	130	149.6	1344	6.8	307	3702	1590480554
53.416302	-6.980528	12100	3688	240.8	130	149.6	1536	7.8	307	3702	1590480567
53.428913	-7.009282	12600	3840	233.4	126	145	1600	8.1	305	3702	1590480603
53.439663	-7.034372	13100	3993	229.6	124	142.7	640	3.3	306	3702	1590480634
53.452644	-7.063156	13700	4176	237.1	128	147.3	1408	7.2	307	3702	1590480671
53.463509	-7.087293	14138	4309	224.1	121	139.2	640	3.3	307	3702	1590480703
53.474716	-7.112726	14500	4420	235.2	127	146.1	0	0	306	3702	1590480743
53.489841	-7.14693	15200	4633	235.2	127	146.1	1408	7.2	306	3702	1590480778
53.500587	-7.171721	15600	4755	229.6	124	142.7	0	0	305	3702	1590480812
