latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
46.45615	6.379536	2900	884	0	0	0	512	2.6	79	7000	1590480139
46.45723	6.3859	2999	914	0	0	0	256	1.3	76	7000	1590480146
46.457752	6.388233	3000	914	92.6	50	57.5	0	0	71	7000	1590480155
46.45842	6.390583	3000	914	92.6	50	57.5	0	0	68	7000	1590480172
46.4604	6.39802	2900	884	92.6	50	57.5	0	0	68	7000	1590480183
46.461227	6.401079	2800	853	92.6	50	57.5	-704	-3.6	68	7000	1590480206
46.464573	6.412518	2900	884	92.6	50	57.5	0	0	68	7000	1590480218
46.465343	6.415711	2900	884	92.6	50	57.5	0	0	68	7000	1590480228
46.466263	6.419472	2999	914	107.4	58	66.7	640	3.3	69	7000	1590480266
46.470413	6.435256	2900	884	107.4	58	66.7	-128	-0.7	69	7000	1590480275
46.471695	6.439414	3000	914	122.2	66	76	640	3.3	66	7000	1590480292
46.473663	6.445916	3100	945	122.2	66	76	320	1.6	66	7000	1590480299
46.474659	6.449044	3100	945	116.7	63	72.5	0	0	65	7000	1590480306
46.475792	6.452915	3100	945	113	61	70.2	0	0	66	7000	1590480315
46.476734	6.456417	3199	975	111.1	60	69	0	0	67	7000	1590480332
46.478024	6.460669	3200	975	111.1	60	69	0	0	67	7000	1590480356
46.48027	6.469486	3300	1006	111.1	60	69	0	0	67	7000	1590480402
46.48436	6.485656	3500	1067	88.9	48	55.2	0	0	73	7000	1590480423
46.48513	6.488667	3500	1067	88.9	48	55.2	0	0	73	7000	1590480430
46.485764	6.491122	3600	1097	88.9	48	55.2	704	3.6	70	7000	1590480439
46.486324	6.493402	3600	1097	88.9	48	55.2	0	0	70	7000	1590480451
46.487579	6.498607	3699	1127	88.9	48	55.2	0	0	70	7000	1590480475
46.489567	6.50595	3800	1158	88.9	48	55.2	0	0	70	7000	1590480487
46.490448	6.509472	3900	1189	88.9	48	55.2	0	0	70	7000	1590480499
46.491474	6.512927	3899	1188	88.9	48	55.2	0	0	70	7000	1590480510
46.492695	6.517342	4000	1219	88.9	48	55.2	0	0	70	7000	1590480523
46.493793	6.521027	4100	1250	88.9	48	55.2	0	0	70	7000	1590480550
46.495785	6.528566	4200	1280	88.9	48	55.2	256	1.3	70	7000	1590480564
46.497398	6.533909	4300	1311	88.9	48	55.2	0	0	70	7000	1590480598
46.500195	6.544553	4500	1372	88.9	48	55.2	320	1.6	70	7000	1590480630
46.502754	6.555427	4700	1433	88.9	48	55.2	320	1.6	70	7000	1590480651
46.504189	6.564004	4800	1463	88.9	48	55.2	0	0	70	7000	1590480664
46.504826	6.566945	4800	1463	88.9	48	55.2	0	0	70	7000	1590480675
46.505566	6.571189	4900	1494	88.9	48	55.2	448	2.3	70	7000	1590480696
46.50631	6.578469	5000	1524	88.9	48	55.2	256	1.3	70	7000	1590480703
46.506203	6.581128	5000	1524	96.3	52	59.8	0	0	87	7000	1590480723
46.50737	6.588303	5100	1554	96.3	52	59.8	256	1.3	87	7000	1590480742
46.509338	6.59794	5200	1585	94.5	51	58.7	0	0	74	7000	1590480767
46.510529	6.603252	5300	1615	94.5	51	58.7	384	2	74	7000	1590480786
46.513599	6.613303	5400	1646	100	54	62.1	0	0	62	7000	1590480806
46.51479	6.617115	5500	1676	100	54	62.1	512	2.6	62	7000	1590480835
46.517704	6.626586	5600	1707	100	54	62.1	192	1	62	7000	1590480859
46.521828	6.637377	5799	1768	103.7	56	64.4	1600	8.1	53	7000	1590480870
46.523201	6.640149	5800	1768	105.6	57	65.6	0	0	53	7000	1590480886
46.525379	6.645514	5900	1798	105.6	57	65.6	0	0	53	7000	1590480903
46.528248	6.652547	6000	1829	107.4	58	66.7	128	0.7	56	7000	1590480915
46.530376	6.657157	6100	1859	114.8	62	71.3	0	0	55	7000	1590480926
46.532246	6.661755	6100	1859	116.7	63	72.5	0	0	58	7000	1590480938
46.532898	6.663046	6200	1890	116.7	63	72.5	1664	8.5	58	7000	1590480951
46.535931	6.670711	6200	1890	127.8	69	79.4	0	0	60	7000	1590480962
46.537769	6.676151	6300	1920	127.8	69	79.4	0	0	60	7000	1590480978
46.539974	6.682818	6300	1920	127.8	69	79.4	0	0	65	7000	1590480990
46.541325	6.68876	6399	1950	127.8	69	79.4	640	3.3	65	7000	1590481004
46.541927	6.692856	6400	1951	135.2	73	84	0	0	74	7000	1590481014
46.542709	6.696489	6500	1981	131.5	71	81.7	768	3.9	72	7000	1590481038
46.546253	6.712724	6400	1951	144.5	78	89.8	0	0	75	7000	1590481056
46.548237	6.718887	6300	1920	144.5	78	89.8	-1472	-7.5	66	7000	1590481074
46.551979	6.732228	6199	1889	159.3	86	99	0	0	66	7000	1590481088
46.552826	6.734725	6200	1890	159.3	86	99	0	0	66	7000	1590481099
46.554852	6.739474	6200	1890	159.3	86	99	0	0	66	7000	1590481112
46.558929	6.750464	6200	1890	168.5	91	104.7	0	0	60	7000	1590481123
46.561409	6.754024	6199	1889	166.7	90	103.6	0	0	48	7000	1590481132
46.562481	6.756304	6200	1890	166.7	90	103.6	0	0	48	7000	1590481144
46.565178	6.761623	6200	1890	166.7	90	103.6	0	0	48	7000	1590481167
46.570168	6.772762	6200	1890	166.7	90	103.6	0	0	48	7000	1590481178
46.572906	6.778203	6200	1890	166.7	90	103.6	0	0	48	7000	1590481191
46.575832	6.784258	6200	1890	166.7	90	103.6	0	0	48	7000	1590481239
46.587807	6.810509	6200	1890	159.3	86	99	0	0	51	7000	1590481262
46.599117	6.830818	6300	1920	207.4	112	128.9	0	0	50	7000	1590481290
46.602699	6.839676	6150	1875	96.3	52	59.8	0	0	61	7000	1590481312
46.606098	6.850388	6200	1890	98.2	53	61	0	0	63	7000	1590481332
46.608612	6.859177	6275	1913	163	88	101.3	0	0	67	7000	1590481351
46.610195	6.864532	6300	1920	87	47	54.1	0	0	66	7000	1590481363
46.612289	6.869408	6400	1951	94.5	51	58.7	0	0	46	7000	1590481375
46.613594	6.872292	6425	1958	135.2	73	84	0	0	56	7000	1590481382
46.61578	6.879433	6425	1958	131.5	71	81.7	0	0	70	7000	1590481395
46.627701	6.918983	6475	1974	194.5	105	120.8	0	0	65	7000	1590481481
46.629189	6.926468	6425	1958	96.3	52	59.8	0	0	76	7000	1590481498
46.63068	6.934021	6400	1951	105.6	57	65.6	0	0	70	7000	1590481514
46.632492	6.940201	6425	1958	100	54	62.1	0	0	69	7000	1590481526
46.633797	6.946518	6500	1981	107.4	58	66.7	0	0	73	7000	1590481540
46.635612	6.95359	6525	1989	120.4	65	74.8	0	0	68	7000	1590481553
46.636497	6.956612	6575	2004	68.5	37	42.6	0	0	66	7000	1590481562
46.639011	6.965126	6650	2027	103.7	56	64.4	0	0	64	7000	1590481581
46.640316	6.968971	6700	2042	105.6	57	65.6	0	0	63	7000	1590481588
46.642502	6.977692	6825	2080	109.3	59	67.9	0	0	71	7000	1590481606
46.643993	6.985725	6900	2103	166.7	90	103.6	0	0	75	7000	1590481622
