latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
29.909439	121.324005	4475	1364	446.3	241	277.3	0	0	326	0	1590480213
29.944201	121.311302	4951	1509	453.7	245	281.9	0	0	346	0	1590480242
29.963528	121.305756	5000	1524	463	250	287.7	0	0	346	0	1590480259
29.98704	121.299011	5000	1524	466.7	252	290	0	0	346	0	1590480278
30.041508	121.283348	5299	1615	472.3	255	293.4	0	0	346	0	1590480326
30.07782	121.272957	6624	2019	477.8	258	296.9	0	0	346	0	1590480356
30.097927	121.267197	6926	2111	479.7	259	298.1	0	0	347	142	1590480372
30.161453	121.248993	7250	2210	500	270	310.7	1728	8.8	346	142	1590480425
30.183105	121.242798	7975	2431	509.3	275	316.5	2816	14.3	346	142	1590480442
30.191828	121.240341	8225	2507	501.9	271	311.9	0	0	346	142	1590480448
30.240829	121.226265	10125	3086	522.3	282	324.5	3200	16.3	346	142	1590480486
30.261143	121.222923	10725	3269	544.5	294	338.3	1472	7.5	357	142	1590480502
30.289398	121.225731	11125	3391	577.8	312	359	1088	5.5	6	142	1590480522
30.310394	121.228531	11400	3475	607.5	328	377.5	1024	5.2	6	142	1590480536
30.339249	121.232246	11700	3566	640.8	346	398.2	896	4.6	6	142	1590480554
30.359648	121.234848	11950	3642	663	358	412	1536	7.8	6	142	1590480568
30.379292	121.237373	12300	3749	674.1	364	418.9	1856	9.4	6	142	1590480580
30.436249	121.244904	13425	4092	692.6	374	430.4	2432	12.4	6	142	1590480612
30.489529	121.252037	14500	4420	705.6	381	438.4	1984	10.1	6	142	1590480642
30.551628	121.260941	15725	4793	714.9	386	444.2	1536	7.8	7	142	1590480678
30.581543	121.265099	16225	4945	722.3	390	448.8	1920	9.8	6	142	1590480694
30.624619	121.271126	16926	5159	661.2	357	410.8	0	0	7	142	1590480718
30.680277	121.278938	17726	5403	677.8	366	421.2	0	0	7	142	1590480748
30.737839	121.28714	18799	5730	698.2	377	433.8	0	0	7	142	1590480779
30.905548	121.310768	20675	6302	792.7	428	492.5	1280	6.5	7	142	1590480868
31.033768	121.328918	21975	6698	820.4	443	509.8	1152	5.9	6	142	1590480930
31.163544	121.338554	23275	7094	822.3	444	510.9	1344	6.8	356	142	1590480994
31.261414	121.326546	23600	7193	796.4	430	494.8	-64	-0.3	345	142	1590481042
31.27235	121.322021	23600	7193	787.1	425	489.1	0	0	339	142	1590481048
31.28801	121.313133	23575	7186	774.1	418	481	-64	-0.3	331	142	1590481057
31.300653	121.303345	23600	7193	755.6	408	469.5	64	0.3	324	142	1590481065
31.309799	121.294395	23600	7193	740.8	400	460.3	64	0.3	318	142	1590481071
31.31839	121.284225	23625	7201	733.4	396	455.7	64	0.3	313	142	1590481078
31.325912	121.274902	23625	7201	731.5	395	454.6	-64	-0.3	312	142	1590481084
31.333054	121.265907	23600	7193	731.5	395	454.6	-64	-0.3	312	142	1590481090
31.419083	121.156509	23600	7193	738.9	399	459.2	0	0	312	142	1590481158
31.455812	121.117073	23600	7193	757.5	409	470.7	0	0	323	142	1590481186
31.466125	121.109619	23600	7193	763	412	474.1	0	0	326	142	1590481192
31.477066	121.10305	23600	7193	768.6	415	477.6	0	0	331	142	1590481198
31.508324	121.086143	23600	7193	761.2	411	473	0	0	335	142	1590481216
31.617096	121.02771	23600	7193	796.4	430	494.8	0	0	335	142	1590481278
31.739548	120.962006	23600	7193	790.8	427	491.4	0	0	335	142	1590481344
31.846991	120.904762	23600	7193	789	426	490.2	0	0	335	142	1590481405
31.961416	120.843666	24600	7498	783.4	423	486.8	1984	10.1	335	142	1590481468
32.073746	120.783524	25625	7811	770.4	416	478.7	0	0	335	142	1590481531
32.124298	120.752213	25600	7803	755.6	408	469.5	0	0	324	142	1590481562
32.133041	120.743866	25600	7803	748.2	404	464.9	0	0	320	142	1590481568
32.141201	120.734535	25600	7803	742.7	401	461.5	0	0	314	142	1590481575
