latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
59.657753	17.954201	0	0	61.1	33	38	0	0	343	0	1590480251
59.658146	17.954004	0	0	29.6	16	18.4	0	0	343	0	1590480257
59.658623	17.953194	0	0	61.1	33	38	0	0	292	0	1590480265
59.658627	17.952442	0	0	59.3	32	36.8	0	0	258	0	1590480272
59.658497	17.951235	0	0	63	34	39.1	0	0	253	0	1590480281
59.658405	17.950523	0	0	27.8	15	17.3	0	0	253	0	1590480287
59.658245	17.949257	0	0	27.8	15	17.3	0	0	255	224	1590480296
59.658085	17.947975	0	0	29.6	16	18.4	0	0	255	224	1590480305
59.657822	17.945984	0	0	35.2	19	21.9	0	0	255	224	1590480317
59.657681	17.944889	0	0	38.9	21	24.2	0	0	255	224	1590480323
59.657532	17.943682	0	0	42.6	23	26.5	0	0	255	224	1590480329
59.657181	17.940926	0	0	51.9	28	32.2	0	0	255	224	1590480341
59.656437	17.93511	0	0	61.1	33	38	0	0	255	224	1590480362
59.656185	17.933189	0	0	63	34	39.1	0	0	255	224	1590480370
59.65575	17.929802	0	0	51.9	28	32.2	0	0	255	224	1590480381
59.659012	17.921059	0	0	55.6	30	34.5	0	0	202	224	1590480468
59.657684	17.920578	0	0	94.5	51	58.7	0	0	188	224	1590480479
59.651199	17.918228	0	0	242.6	131	150.8	1216	6.2	190	224	1590480493
59.647202	17.91687	0	0	268.5	145	166.9	1856	9.4	189	224	1590480499
59.643005	17.915291	0	0	287.1	155	178.4	2688	13.7	190	224	1590480505
59.639053	17.913849	275	84	296.3	160	184.1	3328	16.9	190	224	1590480512
59.634396	17.912167	675	206	305.6	165	189.9	3456	17.6	190	224	1590480518
59.629669	17.910461	975	297	320.4	173	199.1	3072	15.6	189	224	1590480524
59.624496	17.908722	1325	404	333.4	180	207.1	3584	18.2	189	224	1590480530
59.619267	17.905821	1675	511	350	189	217.5	3136	15.9	201	224	1590480536
59.615158	17.900665	2000	610	361.1	195	224.4	3392	17.2	217	224	1590480542
59.611038	17.892975	2375	724	366.7	198	227.9	4032	20.5	225	224	1590480548
59.607578	17.885269	2750	838	366.7	198	227.9	3584	18.2	230	224	1590480554
59.603996	17.876366	3050	930	377.8	204	234.8	2368	12	232	224	1590480560
59.597717	17.858185	3525	1074	396.3	214	246.3	2496	12.7	237	224	1590480572
59.594513	17.848206	3800	1158	400	216	248.6	2880	14.6	237	224	1590480578
59.591381	17.838293	4100	1250	403.7	218	250.9	2816	14.3	238	224	1590480584
59.58783	17.826691	4400	1341	413	223	256.6	3008	15.3	239	224	1590480590
59.585175	17.817444	4650	1417	416.7	225	258.9	2752	14	241	224	1590480596
59.582016	17.805817	4950	1509	422.3	228	262.4	2624	13.3	242	224	1590480602
59.579136	17.794252	5200	1585	431.5	233	268.1	2432	12.4	244	224	1590480608
59.573551	17.771711	5650	1722	448.2	242	278.5	2240	11.4	243	224	1590480619
59.56815	17.751444	6050	1844	463	250	287.7	2304	11.7	238	224	1590480630
59.563774	17.740646	6250	1905	476	257	295.8	1792	9.1	225	224	1590480636
59.557709	17.731567	6450	1966	490.8	265	305	2048	10.4	210	224	1590480642
59.55088	17.725399	6675	2035	498.2	269	309.6	2176	11.1	199	224	1590480648
59.544159	17.722137	6850	2088	505.6	273	314.2	2112	10.7	190	224	1590480654
59.536774	17.719999	7100	2164	509.3	275	316.5	2624	13.3	187	224	1590480660
59.528675	17.717916	7425	2263	511.2	276	317.6	3264	16.6	187	224	1590480666
59.514011	17.715265	8000	2438	507.4	274	315.3	2624	13.3	181	224	1590480677
59.507584	17.716003	8225	2507	503.7	272	313	2880	14.6	173	224	1590480683
59.500092	17.718485	8550	2606	498.2	269	309.6	3392	17.2	168	224	1590480689
59.49321	17.72168	8875	2705	494.5	267	307.3	3136	15.9	165	224	1590480695
59.474808	17.731476	9475	2888	501.9	271	311.9	2112	10.7	164	224	1590480710
59.461716	17.738617	9875	3010	505.6	273	314.2	2112	10.7	164	224	1590480720
59.447674	17.746235	10325	3147	511.2	276	317.6	2368	12	165	224	1590480732
59.434731	17.752865	10700	3261	520.4	281	323.4	2048	10.4	165	224	1590480742
59.420067	17.760157	11150	3399	526	284	326.8	2624	13.3	166	224	1590480753
59.405731	17.766787	11625	3543	529.7	286	329.1	2176	11.1	166	224	1590480765
59.39167	17.773228	11950	3642	542.6	293	337.2	1856	9.4	166	224	1590480776
59.376865	17.78014	12425	3787	546.3	295	339.5	2944	15	166	224	1590480787
59.335762	17.799366	13525	4122	566.7	306	352.1	2432	12.4	166	224	1590480818
59.290421	17.820374	14775	4503	579.7	313	360.2	2688	13.7	166	224	1590480850
59.246109	17.840607	15925	4854	592.6	320	368.2	2304	11.7	166	224	1590480881
59.20166	17.861115	17200	5243	596.3	322	370.6	2240	11.4	166	224	1590480912
59.156208	17.881575	18125	5525	618.6	334	384.4	1984	10.1	166	224	1590480943
59.06218	17.924377	19800	6035	657.5	355	408.5	1792	9.1	167	224	1590481003
58.960602	17.970337	20975	6393	711.2	384	441.9	192	1	166	224	1590481065
58.850037	18.019756	21000	6401	774.1	418	481	-64	-0.3	166	224	1590481126
58.732224	18.072067	21000	6401	759.3	410	471.8	0	0	167	224	1590481188
58.620209	18.121948	21000	6401	726	392	451.1	-64	-0.3	166	224	1590481250
58.51672	18.167267	20275	6180	677.8	366	421.2	-2304	-11.7	166	224	1590481312
58.414444	18.212143	17925	5464	676	365	420	-2112	-10.7	167	224	1590481374
58.36084	18.235178	16700	5090	663	358	412	-2304	-11.7	167	224	1590481406
58.314732	18.255432	15600	4755	650.1	351	403.9	-2304	-11.7	167	224	1590481435
58.264034	18.277405	14375	4382	642.6	347	399.3	-2240	-11.4	167	224	1590481468
58.215775	18.298172	13225	4031	631.5	341	392.4	-2240	-11.4	167	224	1590481499
58.166977	18.316246	12075	3680	624.1	337	387.8	-2112	-10.7	173	224	1590481530
58.118328	18.322998	10925	3330	592.6	320	368.2	-2112	-10.7	174	224	1590481561
58.101242	18.326294	10500	3200	574.1	310	356.7	-2048	-10.4	173	224	1590481573
58.084343	18.329681	10075	3071	561.2	303	348.7	-2112	-10.7	174	224	1590481586
58.067459	18.332815	9650	2941	550	297	341.8	-2176	-11.1	174	224	1590481598
58.051208	18.335739	9200	2804	538.9	291	334.9	-2176	-11.1	174	224	1590481610
58.035233	18.33902	8750	2667	526	284	326.8	-2176	-11.1	173	224	1590481622
58.01973	18.342133	8325	2537	516.7	279	321.1	-2176	-11.1	174	224	1590481635
58.005207	18.344788	7900	2408	511.2	276	317.6	-2176	-11.1	174	224	1590481646
57.99115	18.347523	7475	2278	507.4	274	315.3	-2240	-11.4	173	224	1590481657
57.976593	18.350447	7050	2149	503.7	272	313	-2240	-11.4	173	224	1590481668
57.961395	18.353458	6600	2012	501.9	271	311.9	-2176	-11.1	174	224	1590481680
57.946365	18.35614	6175	1882	498.2	269	309.6	-2176	-11.1	174	224	1590481692
57.931458	18.358952	5700	1737	496.3	268	308.4	-2240	-11.4	174	224	1590481704
57.916801	18.361816	5275	1608	494.5	267	307.3	-2176	-11.1	174	224	1590481716
57.901978	18.36471	4825	1471	492.6	266	306.1	-2176	-11.1	174	224	1590481728
57.894505	18.366119	4600	1402	492.6	266	306.1	-2176	-11.1	174	224	1590481734
57.887009	18.367546	4400	1341	492.6	266	306.1	-2176	-11.1	174	224	1590481740
57.879684	18.368876	4175	1273	492.6	266	306.1	-1920	-9.8	174	224	1590481746
57.872635	18.370203	4025	1227	488.9	264	303.8	-1728	-8.8	174	224	1590481752
57.865356	18.371622	3850	1173	485.2	262	301.5	-1728	-8.8	174	224	1590481758
57.858753	18.372803	3675	1120	483.4	261	300.4	-1728	-8.8	174	224	1590481764
57.850983	18.374369	3500	1067	479.7	259	298.1	-1728	-8.8	174	224	1590481770
57.843529	18.375732	3325	1013	476	257	295.8	-1600	-8.1	174	224	1590481776
57.837433	18.376923	3200	975	472.3	255	293.4	-1536	-7.8	173	224	1590481782
57.829651	18.37871	3025	922	466.7	252	290	-1280	-6.5	172	224	1590481788
57.822906	18.380493	2900	884	459.3	248	285.4	-1088	-5.5	171	224	1590481794
57.815826	18.382519	2775	846	453.7	245	281.9	-1280	-6.5	170	224	1590481801
57.802322	18.387037	2475	754	448.2	242	278.5	-1728	-8.8	169	224	1590481813
57.789597	18.391645	2275	693	431.5	233	268.1	-704	-3.6	169	224	1590481825
57.777378	18.395233	2075	632	416.7	225	258.9	-1088	-5.5	172	224	1590481836
57.771561	18.396429	1975	602	409.3	221	254.3	-1152	-5.9	174	224	1590481843
57.75927	18.397614	1775	541	394.5	213	245.1	-1024	-5.2	178	224	1590481855
57.753525	18.397846	1675	511	388.9	210	241.7	-1088	-5.5	179	224	1590481861
57.744652	18.397339	1550	472	376	203	233.6	-832	-4.2	183	224	1590481870
