latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
25.870468	119.631218	3700	1128	401.9	217	249.7	1536	7.8	200	0	1590480773
25.859907	119.626747	3950	1204	433.4	234	269.3	1472	7.5	200	0	1590480784
25.849319	119.622925	4250	1295	461.1	249	286.5	1664	8.5	199	0	1590480794
25.837608	119.618134	4725	1440	477.8	258	296.9	3648	18.5	198	0	1590480805
25.829041	119.61512	5150	1570	479.7	259	298.1	3648	18.5	198	0	1590480812
25.815353	119.609833	5850	1783	485.2	262	301.5	3712	18.9	199	2711	1590480824
25.802078	119.604439	6475	1974	492.6	266	306.1	3776	19.2	199	2711	1590480835
25.78743	119.5989	7225	2202	498.2	269	309.6	3584	18.2	199	2711	1590480847
25.769735	119.592087	8175	2492	496.3	268	308.4	3840	19.5	199	2711	1590480862
25.755678	119.586594	8875	2705	496.3	268	308.4	3968	20.2	199	2711	1590480874
25.740875	119.580536	9525	2903	498.2	269	309.6	3008	15.3	199	2711	1590480886
25.726639	119.57489	9900	3018	503.7	272	313	1600	8.1	199	2711	1590480899
25.712709	119.569649	10000	3048	505.6	273	314.2	-64	-0.3	199	2711	1590480911
25.698744	119.564056	10000	3048	503.7	272	313	0	0	199	2711	1590480922
25.683426	119.558105	10150	3094	501.9	271	311.9	1536	7.8	198	2711	1590480934
25.670067	119.553017	10400	3170	516.7	279	321.1	1024	5.2	199	2711	1590480945
25.653397	119.546104	10800	3292	540.8	292	336	2816	14.3	202	2711	1590480959
25.638611	119.538017	11325	3452	551.9	298	342.9	2368	12	209	2711	1590480971
25.629593	119.531303	11625	3543	557.5	301	346.4	2816	14.3	213	2711	1590480979
25.622131	119.525658	11925	3635	561.2	303	348.7	3072	15.6	218	2711	1590480985
25.615677	119.519348	12200	3719	564.9	305	351	3200	16.3	222	2711	1590480992
25.609085	119.511505	12525	3818	570.4	308	354.4	3136	15.9	227	2711	1590480998
25.603359	119.504509	12800	3901	574.1	310	356.7	2944	15	226	2711	1590481004
25.596176	119.496254	13175	4016	579.7	313	360.2	3072	15.6	226	2711	1590481011
25.559832	119.455696	14925	4549	594.5	321	369.4	3264	16.6	224	2711	1590481046
25.52861	119.421638	16450	5014	605.6	327	376.3	3520	17.9	225	2711	1590481075
25.491898	119.380798	18125	5525	616.7	333	383.2	2880	14.6	225	2711	1590481109
25.418034	119.300331	19750	6020	694.5	375	431.5	256	1.3	224	2711	1590481172
25.338913	119.217377	20625	6287	731.5	395	454.6	1728	8.8	223	2711	1590481234
25.253815	119.129234	21750	6629	759.3	410	471.8	320	1.6	223	2711	1590481295
25.170143	119.039818	23100	7041	772.3	417	479.9	1408	7.2	223	2711	1590481356
25.08309	118.946335	24625	7506	790.8	427	491.4	3008	15.3	224	2711	1590481418
24.993622	118.853966	25600	7803	807.5	436	501.7	0	0	223	2711	1590481479
24.934542	118.796562	25600	7803	814.9	440	506.3	-256	-1.3	213	2711	1590481518
24.924253	118.78952	25600	7803	818.6	442	508.6	-128	-0.7	210	2711	1590481524
24.913128	118.783302	25600	7803	822.3	444	510.9	-128	-0.7	206	2711	1590481530
24.900192	118.777061	25600	7803	826	446	513.2	-192	-1	202	2711	1590481536
