latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.16016	94.790649	4249	1295	124.1	67	77.1	0	0	265	0	1590483412
40.157959	94.764069	5200	1585	157.4	85	97.8	0	0	265	0	1590483440
40.155308	94.732109	5676	1730	192.6	104	119.7	0	0	265	0	1590483470
40.154018	94.715996	5774	1760	194.5	105	120.8	0	0	265	0	1590483482
40.08762	94.684479	15974	4869	159.3	86	99	0	0	77	0	1590483710
40.09177	94.716492	16900	5151	200	108	124.3	0	0	81	0	1590483730
40.100376	94.793587	18599	5669	242.6	131	150.8	0	0	82	0	1590483771
40.114109	94.904396	20325	6195	364.8	197	226.7	0	0	80	0	1590483830
40.118576	94.966255	21375	6515	418.6	226	260.1	0	0	90	0	1590483860
40.117897	95.002007	21949	6690	455.6	246	283.1	0	0	92	0	1590483878
40.116909	95.077988	23350	7117	490.8	265	305	0	0	91	0	1590483915
40.115299	95.149719	24350	7422	522.3	282	324.5	0	0	96	0	1590483950
40.10759	95.191727	24951	7605	550	297	341.8	0	0	106	0	1590483970
40.103439	95.210075	25276	7704	551.9	298	342.9	0	0	107	0	1590483978
40.092651	95.256706	26076	7948	577.8	312	359	0	0	107	0	1590484000
40.08287	95.299026	26549	8092	596.3	322	370.6	0	0	107	0	1590484020
40.074188	95.365051	27375	8344	614.9	332	382.1	0	0	88	0	1590484050
40.075569	95.378807	27526	8390	613	331	380.9	0	0	80	0	1590484056
40.12109	95.489906	28799	8778	664.9	359	413.1	0	0	59	0	1590484110
40.128941	95.505981	28875	8801	677.8	366	421.2	0	0	57	0	1590484118
40.15324	95.548027	29101	8870	688.9	372	428.1	0	0	50	0	1590484140
40.191471	95.606201	29101	8870	724.1	391	450	0	0	49	0	1590484170
40.217098	95.64502	29075	8862	737.1	398	458	0	0	49	0	1590484190
40.243198	95.685303	29101	8870	737.1	398	458	0	0	294	0	1590484212
40.256748	95.706268	29124	8877	839	453	521.3	0	0	50	0	1590484222
40.280319	95.742676	29101	8870	833.4	450	517.9	0	0	50	0	1590484242
40.29567	95.766388	29101	8870	840.8	454	522.5	0	0	50	0	1590484252
40.308788	95.786667	29101	8870	839	453	521.3	0	0	50	0	1590484262
40.322479	95.807892	29101	8870	839	453	521.3	0	0	50	0	1590484272
40.367397	95.890671	29101	8870	826	446	513.2	0	0	60	0	1590484312
40.377407	95.91394	29101	8870	826	446	513.2	0	0	61	0	1590484322
40.384579	95.930557	29075	8862	833.4	450	517.9	0	0	61	0	1590484328
40.393658	95.951599	29101	8870	824.1	445	512.1	0	0	61	0	1590484338
40.421219	96.015617	29101	8870	831.5	449	516.7	0	0	60	0	1590484364
40.459	96.068031	29101	8870	868.6	469	539.7	0	0	51	0	1590484378
40.541927	96.13031	29124	8877	868.6	469	539.7	0	0	317	0	1590484438
40.84259	96.203247	31325	9548	868.6	469	539.7	0	0	338	0	1590484590
40.86235	96.204025	31650	9647	868.6	469	539.7	0	0	184	0	1590484600
40.940777	96.207016	32949	10043	766.7	414	476.4	0	0	2	0	1590484640
41.00209	96.209396	33901	10333	776	419	482.2	0	0	2	0	1590484671
41.060101	96.211639	34875	10630	776	419	482.2	0	0	2	0	1590484700
41.0793	96.212341	35026	10676	776	419	482.2	0	0	2	0	1590484710
41.11689	96.213699	35098	10698	774.1	418	481	0	0	2	0	1590484730
41.137939	96.214539	35098	10698	777.8	420	483.3	0	0	2	0	1590484740
41.333588	96.221802	35098	10698	796.4	430	494.8	0	0	2	0	1590484838
41.4044	96.229866	35098	10698	796.4	430	494.8	0	0	15	0	1590484874
41.433651	96.244667	35098	10698	798.2	431	496	0	0	26	0	1590484888
41.45435	96.261147	35098	10698	798.2	431	496	0	0	33	0	1590484900
41.501457	96.300919	35098	10698	798.2	431	496	0	0	32	0	1590484928
41.540859	96.327003	35075	10691	798.2	431	496	0	0	21	0	1590484950
41.576607	96.339607	35075	10691	796.4	430	494.8	0	0	9	0	1590484970
41.661179	96.354317	35075	10691	807.5	436	501.7	0	0	16	0	1590485010
41.711376	96.386238	35098	10698	800.1	432	497.1	0	0	33	0	1590485040
41.75885	96.444229	35075	10691	801.9	433	498.3	0	0	51	0	1590485072
41.766129	96.457077	35098	10698	801.9	433	498.3	0	0	54	0	1590485078
41.789429	96.51445	35098	10698	803.8	434	499.4	0	0	68	0	1590485102
41.800457	96.565392	35075	10691	803.8	434	499.4	0	0	79	0	1590485122
41.802521	96.583992	35075	10691	809.3	437	502.9	0	0	83	0	1590485128
41.80545	96.653336	35075	10691	816.7	441	507.5	0	0	87	0	1590485152
41.80759	96.704987	35075	10691	816.7	441	507.5	0	0	87	0	1590485170
41.810848	96.779121	35075	10691	811.2	438	504	0	0	87	0	1590485198
41.81699	96.925476	35098	10698	826	446	513.2	0	0	87	0	1590485250
41.81918	96.980812	35098	10698	826	446	513.2	0	0	87	0	1590485270
41.820251	97.007866	35075	10691	826	446	513.2	0	0	87	0	1590485280
41.828579	97.229767	35098	10698	820.4	443	509.8	0	0	87	0	1590485362
41.8325	97.336868	35098	10698	824.1	445	512.1	0	0	87	0	1590485400
41.833801	97.371056	35098	10698	826	446	513.2	0	0	87	0	1590485412
41.837589	97.477936	35125	10706	824.1	445	512.1	0	0	87	0	1590485450
41.839569	97.535728	35125	10706	826	446	513.2	0	0	87	0	1590485470
41.842548	97.624771	35151	10714	837.1	452	520.2	0	0	87	0	1590485500
41.84343	97.650566	35125	10706	835.3	451	519	0	0	87	0	1590485510
41.84441	97.681297	35125	10706	839	453	521.3	0	0	87	0	1590485520
41.845089	97.701347	35125	10706	833.4	450	517.9	0	0	87	0	1590485528
41.845959	97.727821	35125	10706	831.5	449	516.7	0	0	87	0	1590485538
41.847839	97.783623	35098	10698	837.1	452	520.2	0	0	87	0	1590485556
41.849579	97.837341	35125	10706	835.3	451	519	0	0	88	0	1590485576
41.85651	98.061409	35075	10691	829.7	448	515.5	0	0	88	0	1590485658
41.859257	98.151985	35075	10691	846.4	457	525.9	0	0	88	0	1590485688
41.860939	98.211899	35075	10691	831.5	449	516.7	0	0	88	0	1590485711
41.86171	98.238487	35075	10691	829.7	448	515.5	0	0	88	0	1590485720
41.862427	98.264526	35098	10698	837.1	452	520.2	0	0	88	0	1590485728
41.86496	98.354912	35098	10698	839	453	521.3	0	0	88	0	1590485761
41.865738	98.382942	35125	10706	839	453	521.3	0	0	88	0	1590485770
41.86729	98.439796	35125	10706	839	453	521.3	0	0	88	0	1590485790
41.869579	98.52626	35125	10706	851.9	460	529.4	0	0	88	0	1590485818
41.87067	98.570938	35125	10706	850.1	459	528.2	0	0	88	0	1590485834
41.873108	98.672325	35098	10698	848.2	458	527.1	0	0	88	0	1590485872
41.874439	98.724869	35098	10698	848.2	458	527.1	0	0	88	0	1590485890
41.87714	98.840553	35075	10691	835.3	451	519	0	0	88	0	1590485932
41.877689	98.866028	35075	10691	840.8	454	522.5	0	0	88	0	1590485940
41.878227	98.890305	35075	10691	844.5	456	524.8	0	0	88	0	1590485948
41.87888	98.918396	35075	10691	844.5	456	524.8	0	0	88	0	1590485958
41.88377	99.14624	35125	10706	839	453	521.3	0	0	89	0	1590486038
41.885418	99.23613	35125	10706	839	453	521.3	0	0	89	0	1590486070
41.886929	99.316277	35098	10698	835.3	451	519	0	0	89	0	1590486100
41.887619	99.351921	35075	10691	846.4	457	525.9	0	0	89	0	1590486110
41.887798	99.360657	35075	10691	846.4	457	525.9	0	0	89	0	1590486116
41.888496	99.39695	35075	10691	848.2	458	527.1	0	0	89	0	1590486128
38.22134	103.416275	23799	7254	0	0	0	0	0	155	0	1590488920
38.20615	103.425056	23652	7209	0	0	0	0	0	155	0	1590488930
38.155846	103.454247	23176	7064	1379.7	745	857.3	0	0	155	0	1590488960
38.129501	103.469597	22927	6988	1339	723	832	0	0	155	0	1590488974
38.085548	103.495155	22474	6850	1322.3	714	821.7	0	0	155	0	1590489000
37.936066	103.581787	21700	6614	738.9	399	459.2	64	0.3	155	1160	1590489089
37.830723	103.64257	21700	6614	724.1	391	450	64	0.3	155	1160	1590489152
37.732452	103.698784	21175	6454	713	385	443.1	-896	-4.6	155	1160	1590489213
37.628361	103.756676	20125	6134	720.4	389	447.7	-960	-4.9	156	1160	1590489276
37.525589	103.813148	19150	5837	700.1	378	435	-768	-3.9	156	1160	1590489340
37.429138	103.867493	18700	5700	694.5	375	431.5	-64	-0.3	155	1160	1590489400
37.329941	103.922836	17925	5464	685.2	370	425.8	-1024	-5.2	156	1160	1590489464
37.276936	103.951744	17700	5395	692.6	374	430.4	0	0	156	1160	1590489496
37.224197	103.979691	17700	5395	692.6	374	430.4	64	0.3	156	1160	1590489530
37.171371	104.007744	17525	5342	681.5	368	423.5	-768	-3.9	157	1160	1590489563
37.125412	104.031937	17125	5220	646.3	349	401.6	-704	-3.6	156	1160	1590489593
37.077602	104.057243	16750	5105	603.8	326	375.2	-640	-3.3	157	1160	1590489626
37.032722	104.080414	16400	4999	566.7	306	352.1	-512	-2.6	157	1160	1590489660
37.013443	104.087746	16250	4953	551.9	298	342.9	-832	-4.2	168	1160	1590489674
37.004745	104.089264	16100	4907	550	297	341.8	-1472	-7.5	173	1160	1590489681
36.992176	104.090561	15850	4831	550	297	341.8	-1536	-7.8	175	1160	1590489690
36.980122	104.091576	15700	4785	548.2	296	340.6	-832	-4.2	176	1160	1590489698
36.917358	104.084297	14625	4458	526	284	326.8	-1216	-6.2	210	1160	1590489746
36.910355	104.078453	14525	4427	522.3	282	324.5	-896	-4.6	214	1160	1590489752
36.872635	104.044037	13725	4183	520.4	281	323.4	-1664	-8.5	216	1160	1590489789
36.84082	104.014832	13200	4023	531.5	287	330.3	-1472	-7.5	215	1160	1590489819
36.828506	104.00145	12850	3917	529.7	286	329.1	-1792	-9.1	228	1160	1590489832
36.824295	103.99395	12700	3871	526	284	326.8	-1664	-8.5	236	1160	1590489838
36.82077	103.984566	12550	3825	520.4	281	323.4	-1280	-6.5	247	1160	1590489844
36.817188	103.97052	12350	3764	513	277	318.8	-1280	-6.5	253	1160	1590489852
