latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
43.6609	7.212214	0	0	0	0	0	0	0	218	0	1590480860
43.660755	7.212429	0	0	22.2	12	13.8	0	0	135	1000	1590480910
43.660561	7.212636	0	0	25.9	14	16.1	0	0	146	1000	1590480923
43.660297	7.212508	0	0	35.2	19	21.9	0	0	213	1000	1590480934
43.660019	7.212132	0	0	48.2	26	29.9	0	0	225	1000	1590480942
43.659786	7.211805	0	0	53.7	29	33.4	0	0	225	1000	1590480948
43.659588	7.211527	0	0	57.4	31	35.7	0	0	225	1000	1590480954
43.659222	7.211023	0	0	63	34	39.1	0	0	225	1000	1590480961
43.65884	7.210514	0	0	27.8	15	17.3	0	0	225	1000	1590480968
43.658524	7.210065	0	0	27.8	15	17.3	0	0	225	1000	1590480975
43.657894	7.209203	0	0	27.8	15	17.3	0	0	225	1000	1590480986
43.657608	7.208813	0	0	63	34	39.1	0	0	225	1000	1590480993
43.65704	7.208028	0	0	61.1	33	38	0	0	225	1000	1590481005
43.656513	7.207309	0	0	53.7	29	33.4	0	0	225	1000	1590481017
43.656166	7.206819	0	0	55.6	30	34.5	0	0	225	1000	1590481024
43.655949	7.20652	0	0	51.9	28	32.2	0	0	225	1000	1590481030
43.655708	7.206201	0	0	50	27	31.1	0	0	225	1000	1590481036
43.655457	7.20585	0	0	50	27	31.1	0	0	225	1000	1590481044
43.655003	7.205233	0	0	53.7	29	33.4	0	0	225	1000	1590481056
43.65477	7.204906	0	0	53.7	29	33.4	0	0	225	1000	1590481062
43.654507	7.204556	0	0	55.6	30	34.5	0	0	225	1000	1590481068
43.654045	7.203908	0	0	46.3	25	28.8	0	0	225	1000	1590481080
43.653687	7.203418	0	0	44.4	24	27.6	0	0	225	1000	1590481092
43.653488	7.203151	0	0	44.4	24	27.6	0	0	222	1000	1590481098
43.653179	7.202959	0	0	37	20	23	0	0	196	1000	1590481106
43.652905	7.20296	0	0	29.6	16	18.4	0	0	174	1000	1590481116
43.652699	7.203103	0	0	18.5	10	11.5	0	0	149	1000	1590481128
43.652538	7.20331	0	0	18.5	10	11.5	0	0	137	1000	1590481173
43.652344	7.203566	0	0	33.3	18	20.7	0	0	135	1000	1590481185
43.652218	7.203827	0	0	38.9	21	24.2	0	0	120	1000	1590481191
43.652172	7.204189	0	0	44.4	24	27.6	0	0	95	1000	1590481197
43.652245	7.204563	0	0	44.4	24	27.6	0	0	70	1000	1590481203
43.652405	7.204857	0	0	44.4	24	27.6	0	0	50	1000	1590481209
43.652596	7.205131	0	0	42.6	23	26.5	0	0	48	1000	1590481215
43.652767	7.205364	0	0	24.1	13	15	0	0	43	1000	1590481224
43.652943	7.205609	0	0	29.6	16	18.4	0	0	43	1000	1590481236
43.653488	7.20636	0	0	79.6	43	49.5	0	0	45	1000	1590481242
43.65477	7.20811	0	0	144.5	78	89.8	0	0	44	1000	1590481248
43.656792	7.210889	0	0	203.7	110	126.6	0	0	45	1000	1590481254
43.660412	7.215859	0	0	263	142	163.4	-512	-2.6	44	1000	1590481264
43.666416	7.224164	150	46	285.2	154	177.2	2944	15	45	1000	1590481276
43.66951	7.228621	475	145	285.2	154	177.2	3200	16.3	47	1000	1590481282
43.671936	7.233475	775	236	290.8	157	180.7	2880	14.6	62	1000	1590481288
43.673214	7.239467	1075	328	290.8	157	180.7	2944	15	81	1000	1590481294
43.673077	7.245811	1425	434	287.1	155	178.4	3712	18.9	96	1000	1590481300
43.67247	7.251696	1775	541	285.2	154	177.2	3456	17.6	98	1000	1590481306
43.671818	7.257974	2100	640	287.1	155	178.4	2944	15	98	1000	1590481312
43.670883	7.263624	2425	739	287.1	155	178.4	3328	16.9	106	1000	1590481318
43.669212	7.268895	2750	838	287.1	155	178.4	3392	17.2	118	1000	1590481324
43.666977	7.273472	3050	930	287.1	155	178.4	3328	16.9	126	1000	1590481330
43.664417	7.277854	3325	1013	292.6	158	181.8	2752	14	130	1000	1590481336
43.660877	7.283216	3575	1090	313	169	194.5	1920	9.8	132	1000	1590481343
43.656418	7.28962	3750	1143	344.5	186	214	1344	6.8	134	1000	1590481349
43.652683	7.29466	3900	1189	366.7	198	227.9	1600	8.1	136	1000	1590481356
43.647217	7.301629	4175	1273	388.9	210	241.7	2368	12	137	1000	1590481363
43.64291	7.306889	4450	1356	396.3	214	246.3	3072	15.6	138	1000	1590481369
43.638519	7.312232	4800	1463	401.9	217	249.7	3456	17.6	138	1000	1590481376
43.632751	7.320024	5250	1600	405.6	219	252	3392	17.2	131	1000	1590481384
43.62899	7.3269	5600	1707	409.3	221	254.3	3584	18.2	124	1000	1590481390
43.625546	7.335336	5975	1821	413	223	256.6	3136	15.9	115	1000	1590481396
43.623322	7.343147	6300	1920	420.4	227	261.2	2880	14.6	108	1000	1590481402
43.621719	7.351514	6575	2004	426	230	264.7	2880	14.6	103	1000	1590481409
43.620842	7.361886	6900	2103	437.1	236	271.6	2816	14.3	92	1000	1590481415
43.621262	7.370613	7175	2187	442.6	239	275	2944	15	82	1000	1590481421
43.622799	7.379281	7475	2278	446.3	241	277.3	3072	15.6	73	1000	1590481427
43.625313	7.387848	7800	2377	450	243	279.6	3328	16.9	64	1000	1590481433
43.629131	7.397003	8175	2492	448.2	242	278.5	3584	18.2	58	1000	1590481440
43.632854	7.404785	8500	2591	455.6	246	283.1	2752	14	56	1000	1590481446
43.643326	7.426758	8925	2720	503.7	272	313	1408	7.2	57	1000	1590481462
43.652298	7.44592	9325	2842	529.7	286	329.1	2496	12.7	56	1000	1590481474
43.660767	7.463933	9875	3010	540.8	292	336	2816	14.3	57	1000	1590481486
43.668869	7.481114	10425	3178	546.3	295	339.5	3392	17.2	57	1000	1590481497
43.677063	7.49868	11125	3391	540.8	292	336	4096	20.8	57	1000	1590481508
43.686218	7.518161	11800	3597	546.3	295	339.5	2816	14.3	57	1000	1590481519
43.695236	7.537387	12275	3741	559.3	302	347.5	2368	12	57	1000	1590481532
43.714134	7.571411	13125	4001	579.7	313	360.2	2304	11.7	47	1000	1590481554
43.724533	7.585996	13550	4130	583.4	315	362.5	2560	13	43	1000	1590481564
43.759094	7.632049	14700	4481	616.7	333	383.2	1920	9.8	44	1000	1590481597
43.793564	7.678102	16200	4938	613	331	380.9	2688	13.7	43	1000	1590481628
43.828674	7.724858	17550	5349	620.4	335	385.5	2496	12.7	43	1000	1590481659
43.863148	7.7708	18775	5723	631.5	341	392.4	2112	10.7	43	1000	1590481690
