latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
59.932655	10.986518	200	61	9.3	5	5.8	256	1.3	348	0	1590480958
59.932388	10.986511	225	69	33.3	18	20.7	256	1.3	180	0	1590480970
59.927067	10.98576	550	168	114.8	62	71.3	704	3.6	177	0	1590480996
59.924652	10.989716	625	191	146.3	79	90.9	448	2.3	110	5200	1590481006
59.925346	10.998735	700	213	175.9	95	109.3	448	2.3	76	5200	1590481017
59.926849	11.007477	700	213	198.2	107	123.1	320	1.6	68	5200	1590481027
59.929256	11.017582	750	229	209.3	113	130	256	1.3	63	5200	1590481037
59.931026	11.026201	800	244	209.3	113	130	384	2	75	5200	1590481047
59.931629	11.03283	800	244	209.3	113	130	320	1.6	80	5200	1590481053
59.931976	11.039246	825	251	214.8	116	133.5	0	0	83	5200	1590481059
59.932251	11.045471	775	236	224.1	121	139.2	-448	-2.3	84	5200	1590481065
59.932663	11.054077	775	236	237.1	128	147.3	-192	-1	84	5200	1590481072
59.933029	11.061035	675	206	242.6	131	150.8	-640	-3.3	83	5200	1590481078
59.933533	11.069275	625	191	246.3	133	153.1	-448	-2.3	81	5200	1590481085
59.93486	11.083832	600	183	238.9	129	148.5	0	0	78	5200	1590481097
59.935493	11.090414	550	168	238.9	129	148.5	-320	-1.6	79	5200	1590481103
59.936142	11.097473	525	160	237.1	128	147.3	-448	-2.3	79	5200	1590481109
59.936829	11.104614	500	152	233.4	126	145	-384	-2	80	5200	1590481115
59.93779	11.111572	525	160	235.2	127	146.1	-256	-1.3	68	5200	1590481122
59.941128	11.123657	550	168	231.5	125	143.8	0	0	59	5200	1590481134
59.945206	11.137665	600	183	227.8	123	141.5	320	1.6	60	5200	1590481148
59.947678	11.146179	625	191	231.5	125	143.8	128	0.7	59	5200	1590481157
59.951183	11.158226	650	198	233.4	126	145	192	1	61	5200	1590481168
59.952579	11.164477	675	206	229.6	124	142.7	0	0	68	5200	1590481174
59.953884	11.171296	700	213	231.5	125	143.8	64	0.3	69	5200	1590481180
59.955139	11.177902	675	206	233.4	126	145	64	0.3	70	5200	1590481186
59.956284	11.184366	675	206	233.4	126	145	0	0	70	5200	1590481192
59.957512	11.191537	725	221	233.4	126	145	-64	-0.3	71	5200	1590481198
59.958572	11.198099	700	213	233.4	126	145	128	0.7	71	5200	1590481205
59.960587	11.211453	725	221	231.5	125	143.8	128	0.7	74	5200	1590481216
59.961472	11.218218	725	221	227.8	123	141.5	128	0.7	75	5200	1590481223
59.964123	11.231362	800	244	233.4	126	145	128	0.7	61	5200	1590481235
59.965847	11.237444	800	244	235.2	127	146.1	-64	-0.3	59	5200	1590481241
59.967682	11.24356	775	236	238.9	129	148.5	0	0	58	5200	1590481247
59.969604	11.249526	750	229	240.8	130	149.6	-256	-1.3	56	5200	1590481253
59.972549	11.258534	725	221	240.8	130	149.6	-192	-1	57	5200	1590481263
59.976654	11.271404	625	191	246.3	133	153.1	-256	-1.3	57	5200	1590481275
59.980545	11.28419	625	191	244.5	132	151.9	-128	-0.7	60	5200	1590481286
59.982239	11.290157	650	198	242.6	131	150.8	320	1.6	60	5200	1590481292
59.984142	11.297084	675	206	237.1	128	147.3	64	0.3	61	5200	1590481299
59.986542	11.306068	725	221	229.6	124	142.7	128	0.7	62	5200	1590481307
59.98819	11.31219	725	221	229.6	124	142.7	256	1.3	62	5200	1590481313
59.989792	11.318191	775	236	231.5	125	143.8	320	1.6	62	5200	1590481320
59.991451	11.324452	825	251	231.5	125	143.8	128	0.7	62	5200	1590481326
59.993172	11.330828	825	251	233.4	126	145	384	2	61	5200	1590481332
59.994919	11.337038	875	267	235.2	127	146.1	320	1.6	60	5200	1590481338
59.996658	11.343194	875	267	235.2	127	146.1	128	0.7	60	5200	1590481344
59.998432	11.349465	875	267	237.1	128	147.3	-192	-1	60	5200	1590481350
60.000435	11.356822	875	267	235.2	127	146.1	320	1.6	61	5200	1590481357
60.003525	11.368197	900	274	235.2	127	146.1	64	0.3	61	5200	1590481369
60.006859	11.380659	925	282	235.2	127	146.1	192	1	61	5200	1590481380
60.008488	11.386741	900	274	235.2	127	146.1	64	0.3	62	5200	1590481386
60.010212	11.393214	925	282	237.1	128	147.3	256	1.3	61	5200	1590481392
60.011948	11.399357	925	282	238.9	129	148.5	128	0.7	60	5200	1590481398
60.013779	11.406081	925	282	238.9	129	148.5	64	0.3	60	5200	1590481404
60.015423	11.412147	950	290	238.9	129	148.5	192	1	61	5200	1590481411
60.018867	11.424898	975	297	237.1	128	147.3	64	0.3	61	5200	1590481422
60.020645	11.431274	950	290	237.1	128	147.3	-128	-0.7	61	5200	1590481428
60.022221	11.437062	950	290	235.2	127	146.1	-64	-0.3	62	5200	1590481435
60.025681	11.450406	950	290	237.1	128	147.3	-64	-0.3	62	5200	1590481448
60.029068	11.463002	900	274	238.9	129	148.5	-448	-2.3	62	5200	1590481459
60.030762	11.469727	875	267	240.8	130	149.6	-256	-1.3	63	5200	1590481465
60.032417	11.476201	850	259	240.8	130	149.6	-256	-1.3	63	5200	1590481471
60.034149	11.482228	850	259	235.2	127	146.1	128	0.7	57	5200	1590481477
60.037079	11.491131	825	251	231.5	125	143.8	0	0	57	5200	1590481486
60.038818	11.49653	875	267	227.8	123	141.5	256	1.3	57	5200	1590481493
60.042751	11.508473	950	290	227.8	123	141.5	256	1.3	56	5200	1590481505
60.046646	11.519733	950	290	235.2	127	146.1	-192	-1	55	5200	1590481516
60.04871	11.525737	925	282	237.1	128	147.3	-64	-0.3	55	5200	1590481522
60.050713	11.531721	900	274	240.8	130	149.6	-64	-0.3	56	5200	1590481528
60.052734	11.537728	900	274	240.8	130	149.6	-320	-1.6	55	5200	1590481534
60.05476	11.543688	900	274	240.8	130	149.6	64	0.3	56	5200	1590481541
60.058533	11.555165	900	274	242.6	131	150.8	-128	-0.7	56	5200	1590481551
60.060654	11.561595	875	267	242.6	131	150.8	-64	-0.3	56	5200	1590481558
60.062851	11.568319	875	267	240.8	130	149.6	-128	-0.7	57	5200	1590481565
60.064911	11.574587	900	274	242.6	131	150.8	-64	-0.3	56	5200	1590481571
60.066788	11.580347	850	259	242.6	131	150.8	-320	-1.6	56	5200	1590481577
60.070961	11.593225	850	259	238.9	129	148.5	192	1	57	5200	1590481589
60.072731	11.598718	825	251	238.9	129	148.5	0	0	57	5200	1590481595
60.074825	11.605192	825	251	238.9	129	148.5	0	0	57	5200	1590481601
60.078644	11.617159	875	267	235.2	127	146.1	64	0.3	57	5200	1590481613
60.080521	11.622967	875	267	235.2	127	146.1	64	0.3	56	5200	1590481619
60.082489	11.628839	925	282	235.2	127	146.1	256	1.3	57	5200	1590481625
60.084503	11.63509	925	282	233.4	126	145	384	2	56	5200	1590481631
60.086323	11.6408	950	290	231.5	125	143.8	256	1.3	57	5200	1590481637
60.088303	11.647023	975	297	231.5	125	143.8	256	1.3	57	5200	1590481643
