latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.100143	116.593872	1350	411	283.4	153	176.1	1088	5.5	354	0	1590480984
40.106323	116.59314	1550	472	290.8	157	180.7	1600	8.1	354	0	1590480994
40.166294	116.58535	3775	1151	331.5	179	206	960	4.9	353	20	1590481073
40.176861	116.584045	3925	1196	361.1	195	224.4	640	3.3	354	20	1590481085
40.182541	116.583374	4000	1219	377.8	204	234.8	448	2.3	354	20	1590481091
40.191879	116.582146	4101	1250	316.7	171	196.8	0	0	354	20	1590481100
40.212521	116.579468	4449	1356	340.8	184	211.7	0	0	354	20	1590481118
40.251858	116.574425	5574	1699	376	203	233.6	0	0	355	20	1590481150
40.271759	116.56665	6401	1951	398.2	215	247.4	0	0	332	20	1590481166
40.289288	116.545349	6975	2126	418.6	226	260.1	0	0	304	20	1590481185
40.289841	116.492737	7051	2149	424.1	229	263.5	0	0	242	20	1590481222
40.261871	116.435425	8900	2713	501.9	271	311.9	2944	15	236	20	1590481262
40.253395	116.418373	9475	2888	507.4	274	315.3	2624	13.3	237	20	1590481274
40.24427	116.400024	10025	3056	520.4	281	323.4	2624	13.3	237	20	1590481287
40.235458	116.382385	10525	3208	529.7	286	329.1	1664	8.5	236	20	1590481300
40.224106	116.359619	10825	3299	544.5	294	338.3	1024	5.2	236	20	1590481315
40.205307	116.32206	11850	3612	577.8	312	359	2752	14	236	20	1590481339
40.193062	116.297836	12600	3840	581.5	314	361.3	2624	13.3	236	20	1590481353
40.16597	116.243591	13825	4214	611.2	330	379.8	2624	13.3	236	20	1590481386
40.138641	116.189346	15450	4709	614.9	332	382.1	2432	12.4	236	20	1590481420
40.10939	116.131287	16550	5044	650.1	351	403.9	1664	8.5	236	20	1590481452
40.079681	116.072449	18050	5502	651.9	352	405.1	2560	13	236	20	1590481486
40.025707	115.965439	19675	5997	696.4	376	432.7	128	0.7	236	20	1590481545
39.95993	115.835976	20850	6355	755.6	408	469.5	1984	10.1	236	20	1590481610
39.893639	115.706055	23100	7041	761.2	411	473	1664	8.5	236	20	1590481672
39.826263	115.574379	24925	7597	774.1	418	481	1728	8.8	236	20	1590481737
39.759796	115.442604	26525	8085	783.4	423	486.8	1536	7.8	239	20	1590481798
39.705196	115.306274	28125	8573	779.7	421	484.5	1984	10.1	242	20	1590481860
39.650574	115.169083	30525	9304	740.8	400	460.3	1664	8.5	242	20	1590481923
39.597939	115.037292	32500	9906	720.4	389	447.7	2176	11.1	242	20	1590481985
39.545895	114.907349	34075	10386	718.6	388	446.5	1344	6.8	242	20	1590482048
39.502991	114.800621	35151	10714	776	419	482.2	0	0	243	20	1590482101
39.440453	114.646057	36575	11148	744.5	402	462.6	256	1.3	242	20	1590482174
39.382774	114.504089	37425	11407	766.7	414	476.4	1088	5.5	242	20	1590482239
39.333569	114.383728	38100	11613	768.6	415	477.6	0	0	242	20	1590482294
39.273327	114.240906	38100	11613	766.7	414	476.4	0	0	238	20	1590482360
39.238079	114.186455	38100	11613	764.9	413	475.3	0	0	226	20	1590482388
39.197845	114.144363	38100	11613	813	439	505.2	-64	-0.3	214	20	1590482414
39.188232	114.136536	38100	11613	818.6	442	508.6	0	0	212	20	1590482420
39.178455	114.129272	38100	11613	824.1	445	512.1	64	0.3	209	20	1590482426
39.047058	114.07254	38125	11621	853.8	461	530.5	-64	-0.3	195	20	1590482490
38.922318	114.028236	38100	11613	844.5	456	524.8	0	0	195	20	1590482552
38.79039	113.981422	38100	11613	848.2	458	527.1	0	0	195	20	1590482616
38.712421	113.953979	38100	11613	844.5	456	524.8	0	0	195	20	1590482654
38.534035	113.89093	38100	11613	848.2	458	527.1	0	0	195	20	1590482742
38.389301	113.840271	38100	11613	842.7	455	523.6	0	0	195	20	1590482812
38.354343	113.828331	38100	11613	840.8	454	522.5	0	0	195	20	1590482830
38.21674	113.780975	38100	11613	848.2	458	527.1	0	0	196	20	1590482898
38.052109	113.724266	38100	11613	827.8	447	514.4	0	0	196	20	1590482980
38.012737	113.710762	38100	11613	826	446	513.2	0	0	196	20	1590483000
37.890976	113.669106	38100	11613	824.1	445	512.1	0	0	195	20	1590483064
37.782578	113.632004	38100	11613	820.4	443	509.8	0	0	195	20	1590483120
37.7677	113.626976	38100	11613	698.2	377	433.8	0	0	196	20	1590483138
37.70219	113.604706	38100	11613	740.8	400	460.3	0	0	196	20	1590483168
37.621948	113.577362	38100	11613	777.8	420	483.3	0	0	196	20	1590483198
37.521057	113.543106	38100	11613	783.4	423	486.8	0	0	196	20	1590483250
37.381439	113.495956	38100	11613	805.6	435	500.6	0	0	196	20	1590483320
37.371349	113.492592	38100	11613	800.1	432	497.1	0	0	196	20	1590483326
37.31192	113.492622	38100	11613	779.7	421	484.5	0	0	196	20	1590483372
37.221401	113.442139	38100	11613	870.4	470	540.9	0	0	196	20	1590483404
37.113678	113.405945	38100	11613	820.4	443	509.8	0	0	196	20	1590483462
36.893875	113.332626	38100	11613	774.1	418	481	0	0	195	20	1590483578
36.778271	113.294174	38100	11613	766.7	414	476.4	0	0	194	20	1590483641
36.740189	113.281487	38100	11613	776	419	482.2	0	0	196	20	1590483662
36.68074	113.261795	38100	11613	785.2	424	487.9	0	0	196	20	1590483692
36.662376	113.255707	38100	11613	783.4	423	486.8	0	0	196	20	1590483702
36.625252	113.243385	38100	11613	783.4	423	486.8	0	0	196	20	1590483722
36.36908	113.158997	38100	11613	772.3	417	479.9	0	0	196	20	1590483860
36.247601	113.118378	38100	11613	764.9	413	475.3	0	0	199	20	1590483928
36.21764	113.10495	38100	11613	764.9	413	475.3	0	0	202	20	1590483944
36.000088	112.991699	38100	11613	755.6	408	469.5	0	0	204	20	1590484070
35.342739	112.650024	38100	11613	733.4	396	455.7	0	0	288	0	1590484460
35.24437	112.598991	38100	11613	733.4	396	455.7	0	0	120	0	1590484518
35.147171	112.549042	38100	11613	733.4	396	455.7	0	0	289	0	1590484576
35.069778	112.51519	38100	11613	733.4	396	455.7	0	0	125	0	1590484618
35.055626	112.510025	38100	11613	657.5	355	408.5	0	0	197	0	1590484628
34.91304	112.45768	38100	11613	729.7	394	453.4	0	0	197	0	1590484704
34.779129	112.413307	38100	11613	750.1	405	466.1	0	0	190	0	1590484776
34.716751	112.404037	38100	11613	757.5	409	470.7	0	0	185	0	1590484808
34.655998	112.402779	38100	11613	768.6	415	477.6	0	0	178	0	1590484838
34.585468	112.408562	38100	11613	781.5	422	485.6	0	0	176	0	1590484873
34.427029	112.422203	38100	11613	798.2	431	496	0	0	176	0	1590484950
34.365929	112.427437	38100	11613	801.9	433	498.3	0	0	176	0	1590484980
34.30341	112.432823	38100	11613	809.3	437	502.9	0	0	176	0	1590485010
34.240078	112.438286	38100	11613	816.7	441	507.5	0	0	176	0	1590485040
34.05389	112.454216	38100	11613	818.6	442	508.6	0	0	176	0	1590485132
34.01255	112.457718	38100	11613	822.3	444	510.9	0	0	176	0	1590485152
33.537506	112.497971	38100	11613	833.4	450	517.9	0	0	175	0	1590485381
33.397972	112.509644	38100	11613	844.5	456	524.8	0	0	175	0	1590485447
33.269722	112.520462	38100	11613	848.2	458	527.1	0	0	175	0	1590485507
33.141312	112.531258	38100	11613	850.1	459	528.2	0	0	175	0	1590485569
33.011902	112.551033	38100	11613	887.1	479	551.2	0	0	164	0	1590485629
32.998928	112.555939	38100	11613	898.2	485	558.1	0	0	162	0	1590485636
32.976627	112.5662	38100	11613	914.9	494	568.5	0	0	157	0	1590485645
32.944973	112.584976	38100	11613	935.3	505	581.1	0	0	151	0	1590485660
32.925095	112.599663	38100	11613	950.1	513	590.3	0	0	146	0	1590485671
32.905563	112.616562	38100	11613	963	520	598.4	0	0	142	0	1590485681
32.887341	112.635033	38100	11613	977.9	528	607.6	0	0	138	0	1590485691
32.869324	112.656387	38100	11613	990.8	535	615.7	0	0	133	0	1590485700
32.859833	112.669083	38100	11613	998.2	539	620.3	0	0	131	0	1590485706
32.845551	112.69072	38100	11613	1009.3	545	627.2	0	0	126	0	1590485715
32.830627	112.717308	38100	11613	1018.6	550	632.9	0	0	122	0	1590485726
32.823845	112.730324	38100	11613	1020.5	551	634.1	-64	-0.3	121	0	1590485732
32.736557	112.899574	38100	11613	1016.7	549	631.8	64	0.3	121	0	1590485797
32.65472	113.057388	38100	11613	1014.9	548	630.6	0	0	121	0	1590485858
32.572998	113.215378	38100	11613	1018.6	550	632.9	128	0.7	121	0	1590485921
32.498768	113.358727	38100	11613	1016.7	549	631.8	0	0	121	0	1590485976
32.468277	113.417412	38100	11613	1018.6	550	632.9	0	0	121	0	1590485999
32.440208	113.47139	38100	11613	1001.9	541	622.6	0	0	122	0	1590486020
32.390118	113.56752	38100	11613	1007.5	544	626	0	0	122	0	1590486058
32.345287	113.644371	38100	11613	1009.3	545	627.2	0	0	127	0	1590486088
32.309139	113.696472	38100	11613	1005.6	543	624.9	0	0	131	0	1590486111
32.241989	113.7854	38100	11613	1007.5	544	626	0	0	132	0	1590486152
32.192726	113.850586	38100	11613	1003.8	542	623.7	0	0	132	0	1590486182
32.141991	113.91774	38100	11613	1005.6	543	624.9	0	0	132	0	1590486212
32.092602	113.982758	38100	11613	1001.9	541	622.6	0	0	132	0	1590486242
32.04121	114.050339	38100	11613	1007.5	544	626	0	0	132	0	1590486272
32.002171	114.097137	38100	11613	1000.1	540	621.4	0	0	140	0	1590486294
31.96072	114.129837	38100	11613	989	534	614.5	0	0	151	0	1590486315
31.917238	114.150642	38100	11613	987.1	533	613.4	0	0	162	0	1590486336
31.840809	114.161736	38100	11613	970.4	524	603	0	0	182	0	1590486370
31.799547	114.15535	38100	11613	964.9	521	599.6	0	0	192	0	1590486390
31.734377	114.125549	38100	11613	927.9	501	576.5	0	0	209	0	1590486425
31.666119	114.068573	38100	11613	835.3	451	519	0	0	214	0	1590486470
31.61344	114.033531	38100	11613	829.7	448	515.5	0	0	206	0	1590486500
31.557478	114.006935	38100	11613	820.4	443	509.8	0	0	199	0	1590486532
31.494778	113.987839	38100	11613	818.6	442	508.6	0	0	192	0	1590486564
31.277798	113.933167	38100	11613	809.3	437	502.9	0	0	192	0	1590486672
31.159653	113.903503	38100	11613	805.6	435	500.6	0	0	192	0	1590486732
31.033539	113.871887	38100	11613	807.5	436	501.7	0	0	192	20	1590486795
30.913479	113.841927	38100	11613	811.2	438	504	0	0	192	20	1590486856
30.786758	113.810387	38100	11613	813	439	505.2	0	0	192	20	1590486919
30.660782	113.779099	38100	11613	814.9	440	506.3	0	0	192	20	1590486982
30.540874	113.74942	38100	11613	814.9	440	506.3	64	0.3	192	20	1590487043
30.422195	113.720024	38100	11613	811.2	438	504	0	0	192	20	1590487103
30.297501	113.689323	38100	11613	809.3	437	502.9	0	0	192	20	1590487165
30.171661	113.658356	38100	11613	811.2	438	504	0	0	192	20	1590487228
30.05159	113.628952	38100	11613	814.9	440	506.3	64	0.3	192	20	1590487290
29.912659	113.597015	38100	11613	827.8	447	514.4	0	0	187	20	1590487358
29.8958	113.59481	38100	11613	831.5	449	516.7	64	0.3	186	20	1590487366
29.75798	113.583473	38100	11613	839	453	521.3	0	0	184	20	1590487432
29.718658	113.580299	38100	11613	829.7	448	515.5	0	0	184	20	1590487450
29.650658	113.574776	38100	11613	827.8	447	514.4	0	0	184	20	1590487484
29.42404	113.556679	38100	11613	822.3	444	510.9	0	0	184	20	1590487594
