latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-6.896118	107.563133	2975	907	316.7	171	196.8	1216	6.2	289	0	1590481012
-6.894699	107.558945	3100	945	340.8	184	211.7	2112	10.7	288	0	1590481018
-6.892639	107.553314	3350	1021	366.7	198	227.9	2624	13.3	290	0	1590481024
-6.890625	107.547729	3625	1105	383.4	207	238.2	3328	16.9	289	0	1590481030
-6.888657	107.542137	3950	1204	396.3	214	246.3	3520	17.9	288	0	1590481036
-6.886505	107.536041	4300	1311	407.4	220	253.2	3520	17.9	289	0	1590481042
-6.88385	107.529854	4650	1417	418.6	226	260.1	3456	17.6	295	0	1590481048
-6.881026	107.525558	4925	1501	431.5	233	268.1	3392	17.2	306	0	1590481054
-6.875061	107.520164	5300	1615	450	243	279.6	3520	17.9	322	0	1590481060
-6.868927	107.516167	5675	1730	463	250	287.7	3456	17.6	327	0	1590481068
-6.862498	107.512161	6000	1829	472.3	255	293.4	3456	17.6	328	0	1590481074
-6.855743	107.507973	6375	1943	481.5	260	299.2	3392	17.2	328	0	1590481080
-6.849197	107.503922	6700	2042	494.5	267	307.3	3392	17.2	328	0	1590481086
-6.83551	107.495445	7375	2248	514.9	278	319.9	3328	16.9	328	3344	1590481100
-6.821915	107.489677	7975	2431	535.2	289	332.6	3392	17.2	344	3344	1590481110
-6.811989	107.487816	8375	2553	544.5	294	338.3	3456	17.6	351	3344	1590481118
-6.803796	107.486778	8700	2652	551.9	298	342.9	3456	17.6	352	3344	1590481124
-6.794357	107.48539	9050	2758	559.3	302	347.5	3456	17.6	351	3344	1590481130
-6.772064	107.481949	9900	3018	576	311	357.9	2944	15	351	3344	1590481146
-6.755428	107.479439	10325	3147	592.6	320	368.2	1344	6.8	351	3344	1590481158
-6.738739	107.476875	10450	3185	603.8	326	375.2	192	1	351	3344	1590481168
-6.722763	107.474403	10450	3185	607.5	328	377.5	64	0.3	351	3344	1590481180
-6.705551	107.471802	10475	3193	605.6	327	376.3	0	0	351	3344	1590481192
-6.68937	107.469307	10475	3193	600	324	372.9	0	0	351	3344	1590481202
-6.673737	107.466866	10475	3193	590.8	319	367.1	0	0	351	3344	1590481212
-6.657156	107.464287	10475	3193	581.5	314	361.3	0	0	351	3344	1590481224
-6.641647	107.461838	10425	3178	574.1	310	356.7	-640	-3.3	351	3344	1590481235
-6.626587	107.459465	10275	3132	568.6	307	353.3	-1088	-5.5	351	3344	1590481246
-6.607224	107.456436	10025	3056	563	304	349.8	-1152	-5.9	351	3344	1590481258
-6.592758	107.454201	9850	3002	559.3	302	347.5	-1152	-5.9	350	3344	1590481270
-6.578201	107.450478	9675	2949	550	297	341.8	-1088	-5.5	340	3344	1590481280
-6.570648	107.447083	9550	2911	546.3	295	339.5	-1088	-5.5	334	3344	1590481286
-6.563187	107.442566	9450	2880	542.6	293	337.2	-1088	-5.5	326	3344	1590481293
-6.556778	107.437492	9350	2850	537.1	290	333.7	-1088	-5.5	319	3344	1590481299
-6.550461	107.431297	9225	2812	535.2	289	332.6	-1088	-5.5	314	3344	1590481306
-6.544601	107.425018	9125	2781	533.4	288	331.4	-1088	-5.5	312	3344	1590481312
-6.537323	107.417145	8975	2736	531.5	287	330.3	-1088	-5.5	312	3344	1590481320
-6.522079	107.400711	8700	2652	527.8	285	328	-1088	-5.5	312	3344	1590481336
-6.509537	107.387077	8475	2583	526	284	326.8	-1088	-5.5	312	3344	1590481351
-6.498825	107.375389	8275	2522	522.3	282	324.5	-1024	-5.2	312	3344	1590481362
-6.487289	107.362823	8050	2454	520.4	281	323.4	-1088	-5.5	312	3344	1590481375
-6.476807	107.351273	7850	2393	516.7	279	321.1	-1088	-5.5	312	3344	1590481387
-6.466507	107.340012	7650	2332	514.9	278	319.9	-1088	-5.5	312	3344	1590481399
