latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-35.164246	147.454071	0	0	0	0	0	0	0	270	0	1590481031
-35.164303	147.454285	0	0	27.8	15	17.3	0	0	98	1200	1590481390
-35.16436	147.454697	0	0	42.6	23	26.5	0	0	101	1200	1590481400
-35.164524	147.455444	0	0	48.2	26	29.9	0	0	126	1200	1590481414
-35.1647	147.455734	0	0	44.4	24	27.6	0	0	123	1200	1590481420
-35.164845	147.455978	0	0	42.6	23	26.5	0	0	126	7222	1590481426
-35.165451	147.457047	0	0	42.6	23	26.5	0	0	126	7222	1590481450
-35.165607	147.457306	0	0	42.6	23	26.5	0	0	126	7222	1590481456
-35.165989	147.457962	0	0	50	27	31.1	0	0	120	7222	1590481470
-35.166073	147.458282	0	0	44.4	24	27.6	0	0	87	7222	1590481476
-35.165909	147.458801	0	0	50	27	31.1	0	0	59	7222	1590481486
-35.165749	147.459152	0	0	50	27	31.1	0	0	61	7222	1590481492
-35.165737	147.459442	0	0	38.9	21	24.2	0	0	120	7222	1590481498
-35.166	147.459671	0	0	40.7	22	25.3	0	0	154	7222	1590481506
-35.16626	147.459824	0	0	25.9	14	16.1	0	0	154	7222	1590481514
-35.16679	147.460175	0	0	35.2	19	21.9	0	0	151	7222	1590481638
-35.163326	147.468735	450	137	188.9	102	117.4	64	0.3	61	7222	1590481702
-35.161697	147.472458	550	168	200	108	124.3	768	3.9	62	7222	1590481709
-35.160095	147.476089	650	198	201.9	109	125.4	1024	5.2	61	7222	1590481715
-35.15844	147.479324	750	229	201.9	109	125.4	1088	5.5	55	7222	1590481721
-35.156483	147.482468	950	290	190.8	103	118.5	1664	8.5	51	7222	1590481728
-35.154877	147.484726	1100	335	181.5	98	112.8	1664	8.5	47	7222	1590481734
-35.152954	147.486908	1250	381	172.2	93	107	1600	8.1	38	7222	1590481740
-35.150291	147.488373	1400	427	174.1	94	108.2	1280	6.5	14	7222	1590481746
-35.147919	147.488541	1525	465	177.8	96	110.5	1344	6.8	358	7222	1590481752
-35.145218	147.487808	1650	503	185.2	100	115.1	1088	5.5	342	7222	1590481758
-35.142376	147.48613	1750	533	198.2	107	123.1	896	4.6	330	7222	1590481764
-35.139725	147.484161	1825	556	203.7	110	126.6	768	3.9	329	7222	1590481770
-35.137161	147.482315	1925	587	203.7	110	126.6	1088	5.5	330	7222	1590481776
-35.13446	147.48053	2050	625	205.6	111	127.7	1152	5.9	330	7222	1590481782
-35.130276	147.477844	2225	678	203.7	110	126.6	1152	5.9	337	7222	1590481790
-35.127529	147.477264	2325	709	200	108	124.3	1024	5.2	358	7222	1590481796
-35.11887	147.480927	2750	838	181.5	98	112.8	1856	9.4	26	7222	1590481816
-35.116493	147.482422	2900	884	174.1	94	108.2	1664	8.5	27	7222	1590481822
-35.11171	147.485291	3200	975	172.2	93	107	1280	6.5	25	7222	1590481834
-35.109047	147.486755	3300	1006	183.3	99	113.9	832	4.2	24	7222	1590481840
-35.106533	147.488129	3400	1036	192.6	104	119.7	896	4.6	23	7222	1590481846
-35.103745	147.489548	3500	1067	200	108	124.3	960	4.9	22	7222	1590481852
-35.100769	147.490952	3600	1097	205.6	111	127.7	960	4.9	21	7222	1590481858
-35.097733	147.492371	3725	1135	207.4	112	128.9	1280	6.5	19	7222	1590481864
-35.094818	147.493591	3850	1173	209.3	113	130	1152	5.9	19	7222	1590481870
-35.091728	147.494827	3950	1204	211.1	114	131.2	1024	5.2	18	7222	1590481876
-35.088959	147.495941	4050	1234	214.8	116	133.5	1024	5.2	17	7222	1590481882
-35.085629	147.497284	4175	1273	213	115	132.3	1216	6.2	18	7222	1590481888
-35.082596	147.498459	4300	1311	213	115	132.3	1280	6.5	18	7222	1590481894
-35.079254	147.499756	4425	1349	213	115	132.3	1152	5.9	17	7222	1590481901
-35.076233	147.500931	4525	1379	214.8	116	133.5	1088	5.5	17	7222	1590481907
-35.070034	147.503296	4750	1448	218.5	118	135.8	960	4.9	17	7222	1590481919
-35.06361	147.505768	5025	1532	213	115	132.3	1280	6.5	17	7222	1590481932
-35.057327	147.508209	5275	1608	213	115	132.3	1088	5.5	17	7222	1590481944
-35.051239	147.510574	5475	1669	214.8	116	133.5	1152	5.9	17	7222	1590481955
-35.044712	147.513138	5725	1745	214.8	116	133.5	1088	5.5	17	7222	1590481968
-35.038658	147.515488	5950	1814	213	115	132.3	1216	6.2	17	7222	1590481980
-35.032562	147.517838	6200	1890	211.1	114	131.2	1152	5.9	17	7222	1590481992
-35.026463	147.520172	6425	1958	213	115	132.3	1088	5.5	17	7222	1590482004
-35.019928	147.522736	6650	2027	216.7	117	134.6	1024	5.2	17	7222	1590482016
-35.013615	147.525208	6875	2096	220.4	119	136.9	1024	5.2	17	7222	1590482028
-35.007236	147.527679	7100	2164	220.4	119	136.9	1216	6.2	17	7222	1590482040
-35.000793	147.530136	7325	2233	222.2	120	138.1	1088	5.5	17	7222	1590482052
-34.994247	147.532654	7550	2301	222.2	120	138.1	1024	5.2	17	7222	1590482065
-34.987778	147.535172	7775	2370	222.2	120	138.1	1088	5.5	17	7222	1590482077
-34.981541	147.537567	8000	2438	220.4	119	136.9	1088	5.5	17	7222	1590482090
-34.974976	147.5401	8200	2499	220.4	119	136.9	1024	5.2	17	7222	1590482102
-34.96841	147.542664	8425	2568	222.2	120	138.1	1024	5.2	17	7222	1590482114
-34.96225	147.545044	8650	2637	218.5	118	135.8	1216	6.2	17	7222	1590482126
-34.955566	147.547623	8875	2705	216.7	117	134.6	1024	5.2	17	7222	1590482138
-34.949417	147.549927	9100	2774	214.8	116	133.5	1088	5.5	16	7222	1590482150
-34.942657	147.552551	9125	2781	244.5	132	151.9	-512	-2.6	18	7222	1590482163
-34.935547	147.55542	9025	2751	275.9	149	171.5	-640	-3.3	18	7222	1590482174
-34.926773	147.558945	8875	2705	298.2	161	185.3	-768	-3.9	17	7222	1590482186
-34.917938	147.562363	8800	2682	300	162	186.4	-64	-0.3	17	7222	1590482198
-34.909515	147.565552	8775	2675	298.2	161	185.3	-128	-0.7	17	7222	1590482210
-34.901779	147.568466	8750	2667	303.7	164	188.7	448	2.3	17	7222	1590482221
-34.893219	147.571777	8800	2682	301.9	163	187.6	64	0.3	17	7222	1590482234
-34.885391	147.574753	8800	2682	303.7	164	188.7	0	0	17	7222	1590482244
-34.87619	147.578339	8800	2682	303.7	164	188.7	0	0	17	7222	1590482256
-34.867485	147.581696	8775	2675	307.4	166	191	-128	-0.7	17	7222	1590482268
-34.858364	147.585175	8800	2682	305.6	165	189.9	64	0.3	17	7222	1590482280
-34.85054	147.588211	8775	2675	309.3	167	192.2	-64	-0.3	17	7222	1590482291
-34.840622	147.59201	8800	2682	314.8	170	195.6	-64	-0.3	17	7222	1590482304
-34.832432	147.5952	8800	2682	316.7	171	196.8	0	0	17	7222	1590482316
-34.822239	147.599091	8800	2682	318.5	172	197.9	0	0	17	7222	1590482328
-34.812927	147.602692	8800	2682	320.4	173	199.1	-64	-0.3	17	7222	1590482341
-34.803665	147.606293	8800	2682	318.5	172	197.9	0	0	17	7222	1590482353
-34.794586	147.609787	8775	2675	314.8	170	195.6	0	0	17	7222	1590482365
-34.786514	147.612869	8800	2682	313	169	194.5	0	0	17	7222	1590482376
-34.777817	147.616226	8800	2682	314.8	170	195.6	0	0	17	7222	1590482388
-34.769669	147.61937	8800	2682	316.7	171	196.8	-64	-0.3	17	7222	1590482398
-34.760284	147.622955	8800	2682	316.7	171	196.8	0	0	17	7222	1590482410
-34.751431	147.626373	8800	2682	316.7	171	196.8	0	0	17	7222	1590482422
-34.74202	147.63002	8775	2675	313	169	194.5	0	0	17	7222	1590482435
-34.734467	147.632874	8800	2682	316.7	171	196.8	0	0	17	7222	1590482445
-34.725178	147.636444	8800	2682	316.7	171	196.8	0	0	17	7222	1590482457
-34.716843	147.639664	8800	2682	316.7	171	196.8	0	0	17	7222	1590482468
-34.707813	147.643143	8800	2682	316.7	171	196.8	-128	-0.7	17	7222	1590482480
-34.698807	147.646606	8775	2675	318.5	172	197.9	-64	-0.3	17	7222	1590482492
-34.689743	147.650085	8800	2682	316.7	171	196.8	0	0	17	7222	1590482504
