latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.521198	122.379929	14350	4374	613	331	380.9	0	0	20	0	1590481122
37.56435	122.399879	15725	4793	613	331	380.9	0	0	20	0	1590481152
37.632607	122.431519	17549	5349	629.7	340	391.3	0	0	20	0	1590481196
37.774929	122.497681	20427	6226	659.3	356	409.7	0	0	20	0	1590481285
38.15012	122.580551	25974	7917	700.1	378	435	0	0	319	0	1590481490
38.191738	122.52771	27024	8237	703.8	380	437.3	0	0	315	0	1590481524
38.22646	122.490753	27976	8527	707.5	382	439.6	0	0	329	0	1590481548
38.26841	122.467819	28599	8717	711.2	384	441.9	0	0	345	0	1590481573
38.361828	122.47097	29049	8854	753.8	407	468.4	0	0	8	0	1590481620
38.498451	122.551689	29049	8854	759.3	410	471.8	0	0	7	0	1590481654
38.487568	122.490967	29049	8854	738.9	399	459.2	0	0	7	0	1590481684
38.579048	122.505623	29049	8854	761.2	411	473	0	0	7	0	1590481732
38.71619	122.527466	29026	8847	759.3	410	471.8	0	0	7	0	1590481802
38.783878	122.538269	29049	8854	761.2	411	473	0	0	7	0	1590481836
38.84811	122.548492	29075	8862	772.3	417	479.9	0	0	7	0	1590481868
38.922791	122.560608	29075	8862	768.6	415	477.6	0	0	7	0	1590481908
38.943089	122.563835	29101	8870	770.4	416	478.7	0	0	7	0	1590481918
39.02269	122.576836	29101	8870	777.8	420	483.3	0	0	7	0	1590481960
39.174271	122.601387	29101	8870	781.5	422	485.6	0	0	7	0	1590482038
39.331707	122.690605	29101	8870	805.6	435	500.6	0	0	35	0	1590482120
39.36401	122.72242	29101	8870	805.6	435	500.6	0	0	38	0	1590482140
40.68177	123.952499	29075	8862	807.5	436	501.7	0	0	22	0	1590482944
41.05637	124.145378	29049	8854	805.6	435	500.6	0	0	20	0	1590483144
41.100739	124.167419	29049	8854	809.3	437	502.9	0	0	28	0	1590483166
41.35162	124.350456	29075	8862	814.9	440	506.3	0	0	29	0	1590483306
41.458099	124.431152	29075	8862	814.9	440	506.3	0	0	30	0	1590483366
41.65839	124.583107	29101	8870	820.4	443	509.8	0	0	30	0	1590483478
41.711979	124.624222	29101	8870	820.4	443	509.8	0	0	30	0	1590483508
41.81741	124.704788	29049	8854	814.9	440	506.3	0	0	30	0	1590483568
41.871639	124.746239	28999	8839	818.6	442	508.6	0	0	29	0	1590483598
41.985321	124.804298	28074	8557	814.9	440	506.3	0	0	18	0	1590483658
42.042301	124.829842	27474	8374	813	439	505.2	0	0	19	0	1590483689
42.11879	124.863991	26099	7955	814.9	440	506.3	0	0	18	0	1590483727
