latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.171619	-85.74099	0	0	50	27	31.1	0	0	298	0	1590481173
38.17194	-85.741249	0	0	51.9	28	32.2	0	0	326	0	1590481180
38.172398	-85.741394	0	0	55.6	30	34.5	0	0	343	0	1590481188
38.172832	-85.741539	0	0	61.1	33	38	0	0	345	0	1590481195
38.173359	-85.741699	0	0	27.8	15	17.3	0	0	345	4077	1590481202
38.17379	-85.741859	0	0	29.6	16	18.4	0	0	345	4077	1590481208
38.174572	-85.742111	0	0	33.3	18	20.7	0	0	345	4077	1590481218
38.175175	-85.742302	0	0	31.5	17	19.6	0	0	345	4077	1590481225
38.175579	-85.742447	0	0	29.6	16	18.4	0	0	345	4077	1590481232
38.17614	-85.742638	0	0	31.5	17	19.6	0	0	343	4077	1590481239
38.176701	-85.742828	0	0	33.3	18	20.7	0	0	345	4077	1590481246
38.177593	-85.743126	0	0	27.8	15	17.3	0	0	345	4077	1590481257
38.177994	-85.743248	0	0	57.4	31	35.7	0	0	345	4077	1590481264
38.178795	-85.743515	0	0	27.8	15	17.3	0	0	345	4077	1590481275
38.179226	-85.74366	0	0	27.8	15	17.3	0	0	345	4077	1590481281
38.179619	-85.74379	0	0	61.1	33	38	0	0	345	4077	1590481287
38.179958	-85.743874	0	0	50	27	31.1	0	0	351	4077	1590481293
38.180168	-85.743591	0	0	50	27	31.1	0	0	36	4077	1590481300
38.180107	-85.742989	0	0	48.2	26	29.9	0	0	95	4077	1590481309
38.179996	-85.742447	0	0	53.7	29	33.4	0	0	98	4077	1590481317
38.180248	-85.741829	0	0	57.4	31	35.7	0	0	61	4077	1590481326
38.180458	-85.741394	0	0	61.1	33	38	0	0	59	4077	1590481333
38.180878	-85.740479	0	0	29.6	16	18.4	0	0	59	4077	1590481345
38.181221	-85.739746	0	0	29.6	16	18.4	0	0	59	4077	1590481352
38.181725	-85.738632	0	0	29.6	16	18.4	0	0	61	4077	1590481366
38.184174	-85.734459	0	0	29.6	16	18.4	0	0	16	4077	1590481423
38.185593	-85.734108	0	0	27.8	15	17.3	0	0	11	4077	1590481443
38.186794	-85.732834	0	0	51.9	28	32.2	0	0	61	4077	1590481471
38.186031	-85.730904	0	0	35.2	19	21.9	0	0	165	4077	1590481522
38.182915	-85.729851	0	0	151.9	82	94.4	0	0	163	4077	1590481534
38.169342	-85.725204	450	137	326	176	202.5	832	4.2	164	4077	1590481556
38.164444	-85.723457	725	221	324.1	175	201.4	3392	17.2	164	4077	1590481562
38.160049	-85.721939	1075	328	316.7	171	196.8	3584	18.2	164	4077	1590481568
38.155239	-85.720108	1450	442	313	169	194.5	3904	19.8	163	4077	1590481574
38.150665	-85.718254	1800	549	313	169	194.5	2688	13.7	162	4077	1590481581
38.145973	-85.716347	1975	602	337.1	182	209.4	1088	5.5	162	4077	1590481587
38.140594	-85.714165	2100	640	366.7	198	227.9	1408	7.2	162	4077	1590481593
38.135548	-85.712105	2200	671	388.9	210	241.7	1280	6.5	162	4077	1590481599
38.129215	-85.709663	2350	716	418.6	226	260.1	1344	6.8	163	4077	1590481605
38.122883	-85.707329	2525	770	440.8	238	273.9	1920	9.8	163	4077	1590481612
38.109615	-85.702736	3050	930	468.6	253	291.1	4096	20.8	165	4077	1590481623
38.102554	-85.700432	3500	1067	466.7	252	290	4416	22.4	165	4077	1590481629
38.096024	-85.698196	3925	1196	468.6	253	291.1	4608	23.4	164	4077	1590481635
38.089233	-85.69558	4400	1341	468.6	253	291.1	4544	23.1	162	4077	1590481642
38.079311	-85.690437	5000	1524	474.1	256	294.6	3584	18.2	153	4077	1590481650
38.073029	-85.685478	5375	1638	483.4	261	300.4	3456	17.6	144	4077	1590481656
38.067394	-85.678909	5775	1760	487.1	263	302.7	3776	19.2	132	4077	1590481662
38.062973	-85.671326	6125	1867	492.6	266	306.1	3456	17.6	123	4077	1590481669
38.058701	-85.658356	6675	2035	501.9	271	311.9	3776	19.2	106	4077	1590481678
38.057327	-85.643982	7250	2210	509.3	275	316.5	3712	18.9	91	4077	1590481687
38.058132	-85.634483	7600	2316	514.9	278	319.9	3776	19.2	79	4077	1590481693
38.062042	-85.619919	8200	2499	524.1	283	325.7	3648	18.5	64	4077	1590481702
38.066208	-85.611076	8550	2606	531.5	287	330.3	3456	17.6	56	4077	1590481708
38.071396	-85.603378	8900	2713	537.1	290	333.7	3456	17.6	49	4077	1590481714
38.078064	-85.595421	9250	2819	542.6	293	337.2	2752	14	41	4077	1590481720
38.083969	-85.58905	9500	2896	542.6	293	337.2	2368	12	40	4077	1590481726
38.090607	-85.582207	9700	2957	546.3	295	339.5	1600	8.1	38	4077	1590481733
38.097282	-85.575737	9850	3002	550	297	341.8	1216	6.2	37	4077	1590481740
38.11446	-85.558952	9950	3033	590.8	319	367.1	192	1	37	4077	1590481754
38.12883	-85.54493	9950	3033	627.8	339	390.1	192	1	37	4077	1590481766
38.151077	-85.517815	10375	3162	670.4	362	416.6	2112	10.7	52	4077	1590481784
38.156616	-85.50753	10575	3223	681.5	368	423.5	2176	11.1	56	4077	1590481790
38.170349	-85.479187	11200	3414	705.6	381	438.4	2496	12.7	59	4077	1590481806
38.181198	-85.455399	11675	3559	724.1	391	450	2368	12	60	4077	1590481818
38.192665	-85.429688	12150	3703	746.4	403	463.8	2560	13	60	4077	1590481831
38.225876	-85.360786	13950	4252	770.4	416	478.7	3200	16.3	57	4077	1590481864
38.258514	-85.298203	15575	4747	781.5	422	485.6	3264	16.6	56	4077	1590481894
38.293579	-85.227028	17050	5197	809.3	437	502.9	2112	10.7	58	4077	1590481927
38.32695	-85.158768	18300	5578	833.4	450	517.9	2944	15	57	4077	1590481959
38.396843	-85.01973	20875	6363	866.7	468	538.6	2688	13.7	57	4077	1590482020
38.468948	-84.873741	23250	7087	894.5	483	555.8	1920	9.8	57	4077	1590482082
38.543484	-84.721436	25250	7696	924.1	499	574.2	1472	7.5	58	4077	1590482143
38.619141	-84.56601	27350	8336	939	507	583.4	3072	15.6	58	4077	1590482204
38.693665	-84.411957	29800	9083	933.4	504	580	2560	13	58	4077	1590482264
38.770519	-84.252869	31925	9731	935.3	505	581.1	2112	10.7	58	4077	1590482328
38.844681	-84.09903	34650	10561	898.2	485	558.1	1088	5.5	58	4077	1590482390
38.917694	-83.946655	35000	10668	914.9	494	568.5	0	0	58	4077	1590482451
38.991989	-83.790459	35000	10668	913	493	567.3	64	0.3	58	4077	1590482513
39.063751	-83.639038	35000	10668	903.8	488	561.6	0	0	58	4077	1590482574
39.135361	-83.487259	34975	10660	903.8	488	561.6	0	0	58	4077	1590482635
39.206955	-83.334885	34975	10660	909.3	491	565	-64	-0.3	58	4077	1590482696
39.277451	-83.183823	35000	10668	914.9	494	568.5	0	0	59	4077	1590482756
39.349491	-83.02948	35025	10676	907.5	490	563.9	0	0	58	4077	1590482818
39.420868	-82.875008	35000	10668	898.2	485	558.1	-64	-0.3	59	4077	1590482879
39.49194	-82.719971	34950	10653	894.5	483	555.8	0	0	59	4077	1590482942
39.561996	-82.566971	34950	10653	894.5	483	555.8	64	0.3	59	4077	1590483003
39.631271	-82.415344	34975	10660	900.1	486	559.3	128	0.7	59	4077	1590483063
39.702209	-82.259598	34975	10660	918.6	496	570.8	128	0.7	59	4077	1590483125
39.764191	-82.095993	35025	10676	924.1	499	574.2	0	0	70	4077	1590483186
39.812172	-81.924133	35025	10676	918.6	496	570.8	-64	-0.3	70	4077	1590483248
39.859795	-81.752441	35000	10668	914.9	494	568.5	-128	-0.7	70	4077	1590483310
39.907791	-81.578003	34950	10653	916.7	495	569.6	-64	-0.3	70	4077	1590483372
39.954529	-81.406982	34975	10660	916.7	495	569.6	0	0	70	4077	1590483432
40.001633	-81.23407	34975	10660	916.7	495	569.6	0	0	70	4077	1590483494
40.048233	-81.061707	35000	10668	920.4	497	571.9	-64	-0.3	70	4077	1590483555
40.094559	-80.88916	35025	10676	920.4	497	571.9	0	0	70	4077	1590483616
40.141342	-80.714661	35025	10676	922.3	498	573.1	0	0	70	4077	1590483678
40.187668	-80.539429	35025	10676	922.3	498	573.1	-64	-0.3	71	4077	1590483740
40.234123	-80.362053	35025	10676	922.3	498	573.1	0	0	70	4077	1590483802
40.278904	-80.190018	35025	10676	913	493	567.3	-64	-0.3	71	4077	1590483862
40.323128	-80.018982	34950	10653	911.2	492	566.2	-64	-0.3	71	4077	1590483924
40.368439	-79.843384	34950	10653	909.3	491	565	0	0	71	4077	1590483985
40.412338	-79.671448	34975	10660	903.8	488	561.6	0	0	71	4077	1590484047
40.455414	-79.501282	34950	10653	901.9	487	560.4	-64	-0.3	71	4077	1590484107
40.499374	-79.326782	34950	10653	907.5	490	563.9	0	0	71	4077	1590484170
40.543671	-79.150024	35000	10668	913	493	567.3	64	0.3	71	4077	1590484232
40.588028	-78.970886	35050	10683	916.7	495	569.6	0	0	71	4077	1590484295
40.63084	-78.79657	35025	10676	918.6	496	570.8	0	0	72	4077	1590484355
40.674274	-78.619225	35025	10676	922.3	498	573.1	-64	-0.3	72	4077	1590484417
40.717575	-78.440247	34975	10660	926	500	575.4	-64	-0.3	72	4077	1590484478
40.760834	-78.260742	34975	10660	927.9	501	576.5	64	0.3	72	4077	1590484540
40.803497	-78.082397	35000	10668	927.9	501	576.5	0	0	72	4077	1590484602
40.846283	-77.901558	35025	10676	926	500	575.4	64	0.3	72	4077	1590484664
40.888226	-77.7229	35000	10668	920.4	497	571.9	-64	-0.3	72	4077	1590484725
40.928787	-77.548584	35000	10668	913	493	567.3	64	0.3	73	4077	1590484785
40.969757	-77.371521	34950	10653	911.2	492	566.2	0	0	73	4077	1590484847
41.009636	-77.197929	34950	10653	907.5	490	563.9	0	0	73	4077	1590484908
41.050182	-77.020279	34950	10653	907.5	490	563.9	0	0	73	4077	1590484970
41.089737	-76.845032	34975	10660	911.2	492	566.2	64	0.3	73	4077	1590485030
41.129059	-76.669922	35000	10668	914.9	494	568.5	64	0.3	73	4077	1590485091
41.169205	-76.489685	35025	10676	916.7	495	569.6	0	0	73	4077	1590485153
41.207714	-76.314034	35025	10676	918.6	496	570.8	0	0	73	4077	1590485214
41.247986	-76.130005	35025	10676	920.4	497	571.9	0	0	73	4077	1590485277
41.287079	-75.950012	35000	10668	922.3	498	573.1	-64	-0.3	74	4077	1590485337
41.326172	-75.767822	35000	10668	924.1	499	574.2	64	0.3	74	4077	1590485399
41.364075	-75.589844	35000	10668	926	500	575.4	0	0	74	4077	1590485460
41.403049	-75.405937	35000	10668	924.1	499	574.2	0	0	74	4077	1590485522
41.440895	-75.225815	34775	10599	913	493	567.3	-384	-2	74	4077	1590485583
41.478104	-75.047607	34125	10401	916.7	495	569.6	-1024	-5.2	74	4077	1590485644
41.515331	-74.865952	33150	10104	927.9	501	576.5	-1024	-5.2	74	4077	1590485705
41.552387	-74.683655	32150	9799	939	507	583.4	-960	-4.9	74	4077	1590485766
41.589157	-74.501038	29125	8877	939	507	583.4	-2368	-12	74	4077	1590485827
41.625755	-74.31868	26600	8108	909.3	491	565	-2304	-11.7	75	4077	1590485887
41.662483	-74.135231	24025	7323	877.8	474	545.5	-2560	-13	75	4077	1590485951
41.695351	-73.965004	19875	6058	868.6	469	539.7	-3520	-17.9	76	4077	1590486011
41.727127	-73.800781	16125	4915	781.5	422	485.6	-2496	-12.7	74	4077	1590486072
41.742088	-73.724838	14950	4557	737.1	398	458	-2432	-12.4	75	4077	1590486104
41.757156	-73.650284	13750	4191	726	392	451.1	-2304	-11.7	75	4077	1590486136
41.770981	-73.579498	12575	3833	722.3	390	448.8	-2304	-11.7	75	4077	1590486166
41.785522	-73.503647	11700	3566	698.2	377	433.8	-768	-3.9	75	4077	1590486198
41.790756	-73.475937	11525	3513	676	365	420	-704	-3.6	75	4077	1590486211
41.79744	-73.450058	11375	3467	655.6	354	407.4	-576	-2.9	67	4077	1590486224
41.803535	-73.432167	11275	3437	640.8	346	398.2	-768	-3.9	64	4077	1590486232
41.81337	-73.403152	11100	3383	620.4	335	385.5	-704	-3.6	66	4077	1590486248
41.821106	-73.379936	10950	3338	601.9	325	374	-512	-2.6	65	4077	1590486260
41.828583	-73.358078	10825	3299	588.9	318	365.9	-640	-3.3	65	4077	1590486272
41.837009	-73.333549	10700	3261	566.7	306	352.1	-768	-3.9	65	4077	1590486287
41.843292	-73.315407	10500	3200	559.3	302	347.5	-384	-2	65	4077	1590486296
41.850311	-73.294792	10400	3170	538.9	291	334.9	-640	-3.3	65	4077	1590486309
41.855988	-73.277809	10275	3132	527.8	285	328	-704	-3.6	66	4077	1590486319
41.86171	-73.260643	10175	3101	529.7	286	329.1	-640	-3.3	65	4077	1590486330
41.868664	-73.240227	10025	3056	527.8	285	328	-768	-3.9	65	4077	1590486342
41.875366	-73.220299	9850	3002	527.8	285	328	-768	-3.9	66	4077	1590486356
41.88184	-73.200752	9700	2957	527.8	285	328	-768	-3.9	66	4077	1590486368
41.888397	-73.18074	9525	2903	527.8	285	328	-768	-3.9	66	4077	1590486379
41.894966	-73.160835	9375	2858	524.1	283	325.7	-768	-3.9	65	4077	1590486392
41.901531	-73.141418	9225	2812	524.1	283	325.7	-832	-4.2	65	4077	1590486404
41.908279	-73.121552	9025	2751	522.3	282	324.5	-960	-4.9	65	4077	1590486416
41.914703	-73.102455	8850	2697	524.1	283	325.7	-960	-4.9	65	4077	1590486428
41.921173	-73.083099	8650	2637	520.4	281	323.4	-1088	-5.5	65	4077	1590486440
41.927811	-73.06295	8400	2560	520.4	281	323.4	-1152	-5.9	66	4077	1590486453
41.934357	-73.042915	8175	2492	518.6	280	322.2	-1152	-5.9	66	4077	1590486466
41.940353	-73.02478	7950	2423	514.9	278	319.9	-1216	-6.2	65	4077	1590486477
41.947105	-73.005363	7675	2339	511.2	276	317.6	-1216	-6.2	64	4077	1590486489
41.953716	-72.986649	7450	2271	509.3	275	316.5	-1152	-5.9	64	4077	1590486501
41.960403	-72.967506	7200	2195	509.3	275	316.5	-1152	-5.9	65	4077	1590486514
41.96703	-72.948456	6950	2118	511.2	276	317.6	-1216	-6.2	65	4077	1590486526
41.973587	-72.929802	6700	2042	509.3	275	316.5	-1216	-6.2	64	4077	1590486538
41.980343	-72.910576	6475	1974	501.9	271	311.9	-1088	-5.5	64	4077	1590486550
41.986813	-72.89167	6175	1882	496.3	268	308.4	-1664	-8.5	66	4077	1590486564
41.992859	-72.87294	5850	1783	492.6	266	306.1	-1728	-8.8	66	4077	1590486576
41.99873	-72.854752	5500	1676	492.6	266	306.1	-1664	-8.5	66	4077	1590486587
42.004669	-72.836296	5175	1577	488.9	264	303.8	-1600	-8.1	66	4077	1590486600
42.010208	-72.819008	4850	1478	483.4	261	300.4	-1536	-7.8	66	4077	1590486612
42.013687	-72.809395	4675	1425	481.5	260	299.2	-1728	-8.8	62	4077	1590486618
42.017578	-72.800407	4500	1372	477.8	258	296.9	-1600	-8.1	58	4077	1590486624
42.021561	-72.792099	4325	1318	476	257	295.8	-1664	-8.5	57	4077	1590486630
42.025223	-72.784424	4175	1273	476	257	295.8	-1664	-8.5	57	4077	1590486636
42.02916	-72.775993	4000	1219	476	257	295.8	-1536	-7.8	58	4077	1590486642
42.033005	-72.76757	3875	1181	477.8	258	296.9	-1152	-5.9	58	4077	1590486648
42.036858	-72.759384	3775	1151	476	257	295.8	-704	-3.6	57	4077	1590486654
42.040813	-72.751274	3725	1135	476	257	295.8	-64	-0.3	56	4077	1590486660
42.044769	-72.743286	3725	1135	476	257	295.8	0	0	56	4077	1590486667
42.049053	-72.734665	3725	1135	476	257	295.8	0	0	56	4077	1590486673
42.053059	-72.726494	3725	1135	476	257	295.8	64	0.3	56	4077	1590486679
42.056873	-72.718567	3725	1135	476	257	295.8	0	0	57	4077	1590486685
42.060738	-72.710518	3725	1135	477.8	258	296.9	0	0	57	4077	1590486691
42.064693	-72.702278	3725	1135	474.1	256	294.6	0	0	57	4077	1590486698
42.068699	-72.693916	3725	1135	468.6	253	291.1	-128	-0.7	57	4077	1590486704
42.072647	-72.685669	3675	1120	459.3	248	285.4	-704	-3.6	57	4077	1590486710
42.076427	-72.677757	3600	1097	453.7	245	281.9	-832	-4.2	57	4077	1590486716
42.080009	-72.670151	3525	1074	448.2	242	278.5	-768	-3.9	57	4077	1590486722
42.087158	-72.655212	3375	1029	438.9	237	272.7	-768	-3.9	57	4077	1590486734
42.090912	-72.64753	3275	998	435.2	235	270.4	-1088	-5.5	56	4077	1590486740
42.094582	-72.639938	3150	960	435.2	235	270.4	-1728	-8.8	56	4077	1590486746
42.098145	-72.632614	2975	907	438.9	237	272.7	-1536	-7.8	57	4077	1590486752
42.101891	-72.62487	2850	869	446.3	241	277.3	-960	-4.9	57	4077	1590486758
42.106453	-72.615288	2775	846	448.2	242	278.5	-192	-1	57	4077	1590486766
42.111328	-72.6054	2750	838	450	243	279.6	-64	-0.3	56	4077	1590486774
42.115173	-72.597534	2750	838	450	243	279.6	-64	-0.3	56	4077	1590486781
42.122726	-72.582115	2750	838	451.9	244	280.8	-64	-0.3	57	4077	1590486792
42.126068	-72.573746	2725	831	450	243	279.6	-192	-1	63	4077	1590486798
42.128036	-72.564949	2725	831	451.9	244	280.8	0	0	79	4077	1590486804
42.121353	-72.531677	2725	831	403.7	218	250.9	192	1	128	4077	1590486830
42.117298	-72.525543	2725	831	385.2	208	239.4	0	0	132	4077	1590486836
42.110874	-72.517685	2725	831	361.1	195	224.4	-64	-0.3	143	4077	1590486845
42.105011	-72.514259	2750	838	338.9	183	210.6	128	0.7	162	4077	1590486852
42.083679	-72.517754	2750	838	333.4	180	207.1	-64	-0.3	191	4077	1590486878
42.078918	-72.519188	2750	838	340.8	184	211.7	0	0	192	4077	1590486884
42.071732	-72.5215	2725	831	342.6	185	212.9	-64	-0.3	194	4077	1590486892
42.066193	-72.523811	2725	831	344.5	186	214	-128	-0.7	202	4077	1590486898
42.061714	-72.527649	2725	831	342.6	185	212.9	192	1	217	4077	1590486906
42.057526	-72.5327	2750	838	338.9	183	210.6	0	0	222	4077	1590486912
42.053707	-72.537361	2725	831	340.8	184	211.7	-256	-1.3	222	4077	1590486918
42.048065	-72.54422	2625	800	338.9	183	210.6	-1024	-5.2	222	4077	1590486926
42.044445	-72.548859	2525	770	335.2	181	208.3	-1152	-5.9	223	4077	1590486932
42.040813	-72.553581	2400	732	329.7	178	204.8	-1088	-5.5	224	4077	1590486938
42.037308	-72.558266	2300	701	326	176	202.5	-960	-4.9	224	4077	1590486944
42.0336	-72.563133	2200	671	326	176	202.5	-896	-4.6	224	4077	1590486952
42.026642	-72.572311	2025	617	326	176	202.5	-896	-4.6	224	4077	1590486964
42.023079	-72.577026	1925	587	313	169	194.5	-896	-4.6	224	4077	1590486970
42.019726	-72.581429	1850	564	298.2	161	185.3	-960	-4.9	224	4077	1590486976
42.016747	-72.585396	1750	533	285.2	154	177.2	-960	-4.9	224	4077	1590486982
42.013779	-72.589294	1675	511	272.2	147	169.2	-832	-4.2	224	4077	1590486988
42.007668	-72.597336	1525	465	274.1	148	170.3	-768	-3.9	223	4077	1590487000
42.004597	-72.601295	1425	434	274.1	148	170.3	-768	-3.9	223	4077	1590487006
42.001465	-72.6054	1350	411	277.8	150	172.6	-832	-4.2	225	4077	1590487012
41.998444	-72.60939	1275	389	283.4	153	176.1	-768	-3.9	224	4077	1590487018
41.995377	-72.613388	1175	358	287.1	155	178.4	-832	-4.2	223	4077	1590487024
41.992306	-72.617393	1100	335	285.2	154	177.2	-832	-4.2	224	4077	1590487031
41.986496	-72.625244	925	282	285.2	154	177.2	-960	-4.9	225	4077	1590487042
41.982811	-72.630104	825	251	283.4	153	176.1	-832	-4.2	224	4077	1590487049
41.979782	-72.633934	750	229	281.5	152	174.9	-896	-4.6	223	4077	1590487055
41.976746	-72.637856	675	206	283.4	153	176.1	-896	-4.6	224	4077	1590487061
41.973679	-72.641914	575	175	281.5	152	174.9	-896	-4.6	224	4077	1590487067
41.967449	-72.650093	425	130	281.5	152	174.9	-768	-3.9	224	4077	1590487080
41.964516	-72.653992	325	99	281.5	152	174.9	-768	-3.9	224	4077	1590487086
41.95816	-72.662262	150	46	285.2	154	177.2	-896	-4.6	224	4077	1590487098
41.935825	-72.688759	0	0	50	27	31.1	0	0	47	4077	1590487224
41.935421	-72.685799	0	0	27.8	15	17.3	0	0	135	4077	1590487278
41.935177	-72.685471	0	0	29.6	16	18.4	0	0	135	4077	1590487284
41.934803	-72.684937	0	0	31.5	17	19.6	0	0	135	4077	1590487291
41.934349	-72.684334	0	0	33.3	18	20.7	0	0	135	4077	1590487298
41.933998	-72.683838	0	0	35.2	19	21.9	0	0	135	4077	1590487304
41.933578	-72.683266	0	0	38.9	21	24.2	0	0	135	4077	1590487310
41.932732	-72.682114	0	0	38.9	21	24.2	0	0	135	4077	1590487322
41.932365	-72.681618	0	0	33.3	18	20.7	0	0	135	4077	1590487328
