latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
29.715631	106.651718	0	0	0	0	0	0	0	110	0	1590481183
29.715748	106.651352	0	0	0	0	0	0	0	291	0	1590481189
29.71562	106.651749	0	0	0	0	0	0	0	110	0	1590481198
29.715729	106.651405	0	0	0	0	0	0	0	291	0	1590481254
29.715631	106.651733	0	0	0	0	0	0	0	108	0	1590481263
29.715702	106.651474	0	0	0	0	0	0	0	291	0	1590481300
29.715786	106.651176	0	0	0	0	0	0	0	289	0	1590481307
29.717823	106.652504	0	0	61.1	33	38	0	0	11	0	1590481604
29.718542	106.652718	0	0	63	34	39.1	0	0	16	0	1590481615
29.718983	106.652878	0	0	27.8	15	17.3	0	0	16	0	1590481622
29.719414	106.653015	0	0	61.1	33	38	0	0	16	0	1590481629
29.719786	106.653244	0	0	46.3	25	28.8	0	0	42	0	1590481637
29.719868	106.653564	0	0	46.3	25	28.8	0	0	87	0	1590481644
29.719774	106.654022	0	0	51.9	28	32.2	0	0	106	2161	1590481653
29.719484	106.655128	0	0	63	34	39.1	0	0	106	2161	1590481669
29.730263	106.667	0	0	296.3	160	184.1	0	0	16	2161	1590481913
29.740082	106.67038	1675	511	318.5	172	197.9	2752	14	17	2161	1590481926
29.744738	106.672127	1925	587	322.2	174	200.2	2496	12.7	18	2161	1590481932
29.749208	106.6745	2150	655	329.7	178	204.8	2496	12.7	26	2161	1590481938
29.753357	106.67746	2400	732	331.5	179	206	2688	13.7	32	2161	1590481945
29.758987	106.682632	2750	838	331.5	179	206	2560	13	39	2161	1590481953
29.764572	106.688019	3125	953	329.7	178	204.8	2624	13.3	40	2161	1590481962
29.768921	106.691505	3400	1036	329.7	178	204.8	2624	13.3	34	2161	1590481968
29.77346	106.694801	3675	1120	329.7	178	204.8	2560	13	32	2161	1590481974
29.777344	106.697525	3900	1189	327.8	177	203.7	2496	12.7	31	2161	1590481980
29.781418	106.700325	4150	1265	327.8	177	203.7	2560	13	30	2161	1590481986
29.790359	106.706436	4650	1417	326	176	202.5	2240	11.4	30	2161	1590481999
29.799042	106.712318	4875	1486	353.7	191	219.8	1088	5.5	30	2161	1590482010
29.803907	106.715591	4975	1516	368.5	199	229	1024	5.2	30	2161	1590482016
29.808887	106.718987	5075	1547	388.9	210	241.7	1024	5.2	30	2161	1590482022
29.819733	106.726418	5300	1615	420.4	227	261.2	832	4.2	30	2161	1590482034
29.831085	106.734024	5650	1722	442.6	239	275	2112	10.7	30	2161	1590482046
29.843033	106.742058	5950	1814	468.6	253	291.1	1408	7.2	30	2161	1590482059
29.855484	106.750557	6400	1951	485.2	262	301.5	2560	13	30	2161	1590482071
29.868118	106.759277	6925	2111	490.8	265	305	2816	14.3	31	2161	1590482082
29.880671	106.767937	7425	2263	500	270	310.7	2560	13	30	2161	1590482094
29.893845	106.777023	7950	2423	509.3	275	316.5	2880	14.6	30	2161	1590482107
29.906754	106.787216	8450	2576	516.7	279	321.1	2496	12.7	38	2161	1590482118
29.912046	106.793205	8700	2652	518.6	280	322.2	2688	13.7	46	2161	1590482125
29.917215	106.800674	9025	2751	520.4	281	323.4	3008	15.3	52	2161	1590482131
29.922941	106.811722	9375	2858	522.3	282	324.5	2624	13.3	61	2161	1590482139
29.926897	106.820511	9725	2964	520.4	281	323.4	3136	15.9	62	2161	1590482146
29.932438	106.832428	10150	3094	524.1	283	325.7	2752	14	61	2161	1590482155
29.935976	106.840225	10400	3170	526	284	326.8	2816	14.3	62	2161	1590482161
