latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
56.74498	47.880737	1375	419	203.7	110	126.6	384	2	348	0	1590481231
56.748062	47.879658	1450	442	214.8	116	133.5	576	2.9	349	0	1590481237
56.751572	47.878334	1475	450	220.4	119	136.9	512	2.6	348	0	1590481243
56.755096	47.876961	1475	450	216.7	117	134.6	64	0.3	348	0	1590481250
56.758072	47.875843	1475	450	218.5	118	135.8	64	0.3	347	0	1590481256
56.761642	47.87447	1500	457	222.2	120	138.1	-128	-0.7	348	0	1590481262
56.765053	47.873192	1500	457	231.5	125	143.8	0	0	348	0	1590481268
56.768326	47.871979	1500	457	233.4	126	145	0	0	348	4143	1590481274
56.771805	47.870605	1500	457	238.9	129	148.5	0	0	348	4143	1590481280
56.775467	47.869232	1525	465	240.8	130	149.6	192	1	348	4143	1590481287
56.782654	47.866318	1525	465	242.6	131	150.8	192	1	347	4143	1590481298
56.786362	47.865028	1500	457	242.6	131	150.8	-64	-0.3	349	4143	1590481304
56.790379	47.864063	1525	465	238.9	129	148.5	64	0.3	353	4143	1590481312
56.794098	47.863312	1525	465	237.1	128	147.3	-64	-0.3	353	4143	1590481319
56.800232	47.862453	1525	465	240.8	130	149.6	0	0	358	4143	1590481329
56.815189	47.86451	1525	465	237.1	128	147.3	64	0.3	5	4143	1590481353
56.818962	47.865215	1525	465	238.9	129	148.5	64	0.3	5	4143	1590481359
56.822479	47.865974	1525	465	238.9	129	148.5	64	0.3	6	4143	1590481366
56.825897	47.866367	1525	465	240.8	130	149.6	0	0	3	4143	1590481372
56.829712	47.866661	1525	465	240.8	130	149.6	128	0.7	2	4143	1590481378
56.836792	47.867165	1525	465	238.9	129	148.5	128	0.7	2	4143	1590481390
56.844177	47.867859	1525	465	240.8	130	149.6	128	0.7	3	4143	1590481402
56.847748	47.86829	1525	465	238.9	129	148.5	0	0	3	4143	1590481408
56.854111	47.869064	1450	442	238.9	129	148.5	-896	-4.6	3	4143	1590481418
56.85878	47.869663	1375	419	238.9	129	148.5	-576	-2.9	3	4143	1590481426
56.862396	47.870178	1300	396	238.9	129	148.5	-704	-3.6	4	4143	1590481433
56.86972	47.870949	1125	343	237.1	128	147.3	-704	-3.6	3	4143	1590481445
56.876678	47.871723	1000	305	235.2	127	146.1	-512	-2.6	4	4143	1590481457
56.883865	47.872753	925	282	231.5	125	143.8	-320	-1.6	5	4143	1590481469
56.890793	47.873722	900	274	235.2	127	146.1	-128	-0.7	4	4143	1590481480
56.894283	47.874344	875	267	233.4	126	145	0	0	5	4143	1590481486
56.897919	47.874985	875	267	231.5	125	143.8	-128	-0.7	5	4143	1590481493
