latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
46.940311	28.928581	0	0	38.9	21	24.2	0	0	180	0	1590481270
46.939751	28.928513	0	0	44.4	24	27.6	0	0	185	0	1590481276
46.938194	28.928221	0	0	44.4	24	27.6	0	0	185	0	1590481288
46.937481	28.928146	0	0	44.4	24	27.6	0	0	182	0	1590481294
46.936924	28.928041	0	0	29.6	16	18.4	0	0	188	0	1590481300
46.936562	28.927971	0	0	53.7	29	33.4	0	0	185	0	1590481306
46.936306	28.927813	0	0	37	20	23	0	0	241	0	1590481313
46.936295	28.927431	0	0	22.2	12	13.8	0	0	272	0	1590481425
46.936329	28.926813	0	0	27.8	15	17.3	0	0	275	0	1590481779
46.936386	28.926075	0	0	33.3	18	20.7	0	0	272	0	1590481785
46.936501	28.925337	0	0	29.6	16	18.4	0	0	312	0	1590481791
46.937305	28.925312	0	0	42.6	23	26.5	0	0	5	0	1590481800
46.938015	28.924589	0	0	37	20	23	0	0	270	0	1590481814
46.938595	28.924152	0	0	35.2	19	21.9	0	0	286	0	1590481827
46.938663	28.923431	0	0	33.3	18	20.7	0	0	275	0	1590481835
46.938457	28.922812	0	0	24.1	13	15	0	0	171	0	1590482037
46.938251	28.922607	0	0	18.5	10	11.5	0	0	244	0	1590482048
46.938492	28.922865	0	0	27.8	15	17.3	0	0	28	0	1590482196
46.938599	28.923763	0	0	35.2	19	21.9	0	0	95	0	1590482203
46.938469	28.92417	0	0	0	0	0	0	0	126	0	1590482294
46.938011	28.924461	0	0	29.6	16	18.4	0	0	92	0	1590482326
46.937622	28.92532	0	0	27.8	15	17.3	0	0	185	0	1590482340
46.936409	28.925646	0	0	33.3	18	20.7	0	0	92	0	1590482358
46.93457	28.928886	0	0	40.7	22	25.3	0	0	95	0	1590482394
46.934486	28.929886	0	0	42.6	23	26.5	0	0	95	0	1590482400
46.934162	28.933077	0	0	48.2	26	29.9	0	0	98	0	1590482420
46.93396	28.93483	0	0	42.6	23	26.5	0	0	95	0	1590482430
46.93388	28.935825	0	0	42.6	23	26.5	0	0	95	0	1590482436
46.933792	28.937038	0	0	44.4	24	27.6	0	0	87	0	1590482444
46.934017	28.939482	0	0	46.3	25	28.8	0	0	98	0	1590482460
46.933891	28.94058	0	0	53.7	29	33.4	0	0	98	0	1590482466
46.933685	28.9426	0	0	68.5	37	42.6	0	0	98	0	1590482474
46.933491	28.944288	0	0	79.6	43	49.5	0	0	95	0	1590482480
46.933327	28.946175	0	0	74.1	40	46	0	0	95	0	1590482488
46.933197	28.947706	0	0	64.8	35	40.3	0	0	98	0	1590482494
46.93261	28.948442	0	0	35.2	19	21.9	0	0	196	0	1590482503
46.932346	28.947927	0	0	0	0	0	0	0	254	0	1590482668
46.932339	28.948164	0	0	27.8	15	17.3	0	0	2	0	1590483081
46.93251	28.948393	0	0	48.2	26	29.9	0	0	25	0	1590483087
46.93293	28.948563	0	0	46.3	25	28.8	0	0	354	0	1590483095
46.93317	28.947945	0	0	31.5	17	19.6	0	0	281	0	1590483104
46.933273	28.947018	0	0	44.4	24	27.6	0	0	278	0	1590483110
46.933388	28.945782	0	0	46.3	25	28.8	0	0	278	0	1590483117
46.933571	28.944326	0	0	50	27	31.1	0	0	278	0	1590483126
46.933712	28.943041	0	0	50	27	31.1	0	0	275	0	1590483133
46.933838	28.941545	0	0	48.2	26	29.9	0	0	278	0	1590483140
46.934361	28.936615	0	0	44.4	24	27.6	0	0	275	0	1590483172
46.934555	28.934195	0	0	44.4	24	27.6	0	0	272	0	1590483186
46.935036	28.928516	0	0	46.3	25	28.8	0	0	275	0	1590483220
46.935505	28.92695	0	0	33.3	18	20.7	0	0	334	0	1590483232
46.936008	28.926985	0	0	38.9	21	24.2	0	0	2	0	1590483239
46.935085	28.92783	0	0	3.7	2	2.3	0	0	180	0	1590483247
46.934692	28.933697	0	0	40.7	22	25.3	0	0	115	0	1590483306
46.934467	28.934978	0	0	46.3	25	28.8	0	0	95	0	1590483314
46.934383	28.935858	0	0	46.3	25	28.8	0	0	95	0	1590483320
46.934372	28.937706	0	0	40.7	22	25.3	0	0	78	0	1590483332
46.933884	28.94128	0	0	61.1	33	38	0	0	106	0	1590483352
46.933697	28.943018	0	0	66.7	36	41.4	0	0	98	0	1590483359
46.933353	28.94585	0	0	64.8	35	40.3	0	0	95	0	1590483370
46.933151	28.947742	0	0	57.4	31	35.7	0	0	101	0	1590483378
46.932896	28.948545	0	0	57.4	31	35.7	0	0	185	0	1590483385
46.932323	28.947918	0	0	0	0	0	0	0	230	0	1590483554
46.932323	28.948147	0	0	3.7	2	2.3	0	0	53	0	1590483997
46.932014	28.948219	0	0	63	34	39.1	0	0	171	0	1590484003
46.931324	28.948183	0	0	31.5	17	19.6	0	0	185	0	1590484011
46.930859	28.94813	0	0	27.8	15	17.3	0	0	185	0	1590484018
46.930401	28.948254	0	0	37	20	23	0	0	126	0	1590484024
46.930206	28.949345	0	0	57.4	31	35.7	0	0	95	0	1590484030
46.930115	28.950436	0	0	53.7	29	33.4	0	0	98	0	1590484036
46.929161	28.95121	0	0	57.4	31	35.7	0	0	174	0	1590484044
46.928368	28.950806	0	0	51.9	28	32.2	0	0	230	0	1590484050
46.928204	28.949713	0	0	59.3	32	36.8	0	0	267	0	1590484056
46.928192	28.948442	0	0	64.8	35	40.3	0	0	267	0	1590484062
46.928181	28.946743	0	0	74.1	40	46	0	0	267	0	1590484068
46.928135	28.945013	0	0	75.9	41	47.2	0	0	267	0	1590484075
46.928101	28.942486	0	0	75.9	41	47.2	0	0	267	0	1590484084
46.928055	28.940823	0	0	74.1	40	46	0	0	267	0	1590484090
46.92802	28.939098	0	0	72.2	39	44.9	0	0	267	0	1590484097
46.927952	28.935928	0	0	74.1	40	46	0	0	267	0	1590484108
46.927917	28.934195	0	0	74.1	40	46	0	0	267	0	1590484115
46.927856	28.931334	0	0	72.2	39	44.9	0	0	267	0	1590484126
46.927811	28.928799	0	0	70.4	38	43.7	0	0	267	0	1590484134
46.92778	28.927328	0	0	70.4	38	43.7	0	0	267	0	1590484140
46.927734	28.925783	0	0	66.7	36	41.4	0	0	267	0	1590484146
46.927704	28.924202	0	0	66.7	36	41.4	0	0	267	0	1590484153
46.927788	28.923058	0	0	33.3	18	20.7	0	0	267	0	1590484164
46.927788	28.922829	0	0	18.5	10	11.5	0	0	264	0	1590484177
46.92775	28.922478	0	0	31.5	17	19.6	0	0	261	0	1590484235
46.92767	28.921509	0	0	50	27	31.1	0	0	264	0	1590484241
46.927631	28.920204	0	0	59.3	32	36.8	0	0	267	0	1590484248
46.927597	28.918848	0	0	68.5	37	42.6	0	0	267	0	1590484254
46.927563	28.917217	0	0	68.5	37	42.6	0	0	267	0	1590484260
46.927532	28.91547	0	0	74.1	40	46	0	0	267	0	1590484266
46.927494	28.913853	0	0	77.8	42	48.3	0	0	267	0	1590484272
46.927391	28.913286	0	0	72.2	39	44.9	0	0	87	0	1590484327
46.927425	28.914925	0	0	75.9	41	47.2	0	0	87	0	1590484333
46.92746	28.916578	0	0	77.8	42	48.3	0	0	87	0	1590484339
46.927494	28.918358	0	0	75.9	41	47.2	0	0	87	0	1590484345
46.927517	28.920012	0	0	74.1	40	46	0	0	87	0	1590484351
46.927563	28.921732	0	0	72.2	39	44.9	0	0	87	0	1590484357
46.927601	28.923323	0	0	72.2	39	44.9	0	0	87	0	1590484363
46.927631	28.924976	0	0	72.2	39	44.9	0	0	87	0	1590484370
46.92767	28.926579	0	0	72.2	39	44.9	0	0	87	0	1590484376
46.927723	28.929714	0	0	72.2	39	44.9	0	0	87	0	1590484388
46.927757	28.931276	0	0	72.2	39	44.9	0	0	87	0	1590484394
46.927799	28.933041	0	0	72.2	39	44.9	0	0	87	0	1590484400
46.927826	28.934504	0	0	74.1	40	46	0	0	87	0	1590484406
46.927872	28.936203	0	0	74.1	40	46	0	0	87	0	1590484412
46.927914	28.938005	0	0	75.9	41	47.2	0	0	87	0	1590484419
46.927963	28.941216	0	0	77.8	42	48.3	0	0	87	0	1590484429
46.92802	28.94408	0	0	77.8	42	48.3	0	0	87	0	1590484440
46.928066	28.946211	0	0	77.8	42	48.3	0	0	87	0	1590484447
46.928112	28.948093	0	0	77.8	42	48.3	0	0	87	0	1590484453
46.928146	28.94982	0	0	77.8	42	48.3	0	0	87	0	1590484459
46.928204	28.953112	0	0	66.7	36	41.4	0	0	87	0	1590484472
46.928356	28.954044	0	0	61.1	33	38	0	0	357	0	1590484479
46.928356	28.95299	0	0	46.3	25	28.8	0	0	255	0	1590484488
46.928375	28.951498	0	0	50	27	31.1	0	0	300	0	1590484496
46.92915	28.951105	0	0	55.6	30	34.5	0	0	357	0	1590484502
46.929989	28.950829	0	0	48.2	26	29.9	0	0	312	0	1590484509
