latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.26342	120.383186	0	0	0	0	0	0	0	180	0	1590481408
36.26318	120.383057	0	0	5.6	3	3.5	0	0	25	0	1590481485
36.26297	120.382919	0	0	3.7	2	2.3	0	0	19	0	1590481507
36.262596	120.38279	0	0	3.7	2	2.3	0	0	323	0	1590481543
36.262634	120.382309	0	0	11.1	6	6.9	0	0	295	0	1590481810
36.26284	120.381859	0	0	14.8	8	9.2	0	0	300	0	1590481821
36.262985	120.381332	0	0	16.7	9	10.4	0	0	278	0	1590481832
36.262859	120.380714	0	0	18.5	10	11.5	0	0	255	0	1590481842
36.262505	120.379013	0	0	27.8	15	17.3	0	0	255	0	1590481864
36.262203	120.37854	0	0	18.5	10	11.5	0	0	216	0	1590481875
36.261623	120.378624	0	0	20.4	11	12.7	0	0	168	0	1590481886
36.260887	120.37886	0	0	27.8	15	17.3	0	0	165	0	1590481898
36.260078	120.379128	0	0	29.6	16	18.4	0	0	165	0	1590481908
36.25808	120.379753	0	0	38.9	21	24.2	0	0	165	0	1590481930
36.256954	120.380119	0	0	42.6	23	26.5	0	0	165	0	1590481942
36.25573	120.380501	0	0	46.3	25	28.8	0	0	165	0	1590481952
36.251392	120.379616	0	0	20.4	11	12.7	0	0	255	0	1590482152
36.251518	120.379066	0	0	16.7	9	10.4	0	0	306	0	1590482163
36.251804	120.379028	0	0	9.3	5	5.8	0	0	345	0	1590482176
36.25301	120.378654	0	0	42.6	23	26.5	0	0	345	0	1590482210
36.257168	120.377312	151	46	103.7	56	64.4	0	0	346	0	1590482221
36.377502	120.401855	6475	1974	527.8	285	328	3712	18.9	90	2356	1590482390
36.37619	120.411301	6800	2073	537.1	290	333.7	3200	16.3	102	2356	1590482397
36.368454	120.429672	7425	2263	557.5	301	346.4	3072	15.6	125	2356	1590482408
36.363419	120.435905	7700	2347	563	304	349.8	3264	16.6	135	2356	1590482414
36.354134	120.443291	8150	2484	563	304	349.8	3264	16.6	135	2356	1590482422
36.345657	120.446838	8500	2591	566.7	306	352.1	3392	17.2	164	2356	1590482428
36.319263	120.444229	9725	2964	548.2	296	340.6	4352	22.1	195	2356	1590482448
36.305763	120.437035	10400	3170	540.8	292	336	3136	15.9	205	2356	1590482458
36.284134	120.424179	11075	3376	568.6	307	353.3	2048	10.4	204	2356	1590482475
36.267918	120.415649	11475	3498	592.6	320	368.2	1728	8.8	202	2356	1590482487
36.250881	120.407524	11775	3589	622.3	336	386.7	1408	7.2	200	2356	1590482499
36.232723	120.39946	12050	3673	653.8	353	406.2	1216	6.2	199	2356	1590482511
36.177933	120.375854	13050	3978	707.5	382	439.6	3008	15.3	199	2356	1590482544
36.12719	120.354172	14575	4442	713	385	443.1	3008	15.3	199	2356	1590482575
35.873154	120.182716	19700	6005	703.8	380	437.3	0	0	219	2356	1590482736
35.791222	120.09938	19700	6005	703.8	380	437.3	0	0	219	2356	1590482796
