latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
59.153305	10.281007	800	244	185.2	100	115.1	640	3.3	117	0	1590481382
59.151783	10.286984	900	274	177.8	96	110.5	0	0	116	0	1590481389
59.149754	10.295985	1000	305	179.6	97	111.6	0	0	112	0	1590481402
59.148586	10.302788	1200	366	174.1	94	108.2	1408	7.2	112	0	1590481408
59.147732	10.308738	1300	396	170.4	92	105.9	1600	8.1	107	0	1590481418
59.146862	10.315028	1383	422	168.5	91	104.7	1280	6.5	105	3620	1590481424
59.146042	10.321816	1400	427	166.7	90	103.6	0	0	104	3620	1590481432
59.144886	10.332103	1500	457	177.8	96	110.5	0	0	102	3620	1590481444
59.143337	10.342488	1500	457	179.6	97	111.6	0	0	103	3620	1590481456
59.14119	10.352849	1500	457	181.5	98	112.8	0	0	110	3620	1590481472
59.138676	10.363392	1500	457	181.5	98	112.8	0	0	112	3620	1590481480
59.136703	10.3694	1500	457	188.9	102	117.4	0	0	117	3620	1590481492
59.13345	10.3793	1500	457	188.9	102	117.4	0	0	117	3620	1590481500
59.130939	10.385093	1500	457	194.5	105	120.8	0	0	126	3620	1590481512
59.125988	10.394944	1499	457	190.8	103	118.5	0	0	135	3620	1590481528
59.120483	10.405421	1400	427	185.2	100	115.1	-640	-3.3	136	3620	1590481541
59.117336	10.408195	1400	427	185.2	100	115.1	0	0	150	3620	1590481549
59.11554	10.409949	1399	426	185.2	100	115.1	0	0	150	3620	1590481564
59.109684	10.418261	1300	396	185.2	100	115.1	-320	-1.6	150	3620	1590481598
59.096878	10.431516	1300	396	185.2	100	115.1	0	0	150	3620	1590481604
59.093235	10.430789	1300	396	192.6	104	119.7	0	0	177	3620	1590481630
59.075516	10.443962	1300	396	192.6	104	119.7	0	0	177	3620	1590481657
59.072514	10.447084	1300	396	181.5	98	112.8	0	0	157	3620	1590481768
59.077576	10.486439	1400	427	181.5	98	112.8	0	0	157	3620	1590481809
59.100391	10.488082	1300	396	181.5	98	112.8	-128	-0.7	157	3620	1590481820
59.128418	10.479594	1300	396	298.2	161	185.3	0	0	342	3620	1590481840
59.131695	10.478396	1300	396	298.2	161	185.3	0	0	342	3620	1590481852
59.136986	10.478098	1300	396	298.2	161	185.3	0	0	342	3620	1590481869
59.144295	10.477132	1300	396	298.2	161	185.3	0	0	342	3620	1590481881
59.154922	10.47211	1399	426	298.2	161	185.3	0	0	342	3620	1590481897
59.165379	10.467155	1399	426	298.2	161	185.3	0	0	342	3620	1590481912
59.175686	10.462438	1399	426	298.2	161	185.3	0	0	342	3620	1590481928
59.18568	10.458376	1300	396	298.2	161	185.3	-256	-1.3	342	3620	1590481936
59.19421	10.455358	1300	396	288.9	156	179.5	0	0	349	3620	1590481956
59.203972	10.45365	1400	427	288.9	156	179.5	0	0	349	3620	1590481964
59.215286	10.454373	1300	396	251.9	136	156.5	0	0	24	3620	1590481984
59.220234	10.454982	1300	396	238.9	129	148.5	0	0	8	3620	1590481992
59.224331	10.455538	1299	396	231.5	125	143.8	0	0	4	3620	1590482000
59.228825	10.455724	1300	396	227.8	123	141.5	0	0	1	3620	1590482012
59.233482	10.455363	1300	396	224.1	121	139.2	0	0	268	3620	1590482060
59.257278	10.446047	1300	396	224.1	121	139.2	0	0	268	3620	1590482125
59.256588	10.410264	1300	396	311.1	168	193.3	0	0	224	3620	1590482140
59.252426	10.404873	1300	396	281.5	152	174.9	0	0	216	3620	1590482160
59.244862	10.39476	1300	396	281.5	152	174.9	0	0	216	3620	1590482168
59.241806	10.392682	1300	396	309.3	167	192.2	0	0	201	3620	1590482181
59.238903	10.388668	1299	396	309.3	167	192.2	0	0	201	3620	1590482188
59.232826	10.384856	1300	396	259.3	140	161.1	0	0	202	3620	1590482200
59.22718	10.381689	1300	396	259.3	140	161.1	0	0	202	3620	1590482211
59.22184	10.379799	1219	372	244.5	132	151.9	-1344	-6.8	193	3620	1590482217
59.217312	10.378309	1200	366	257.4	139	160	0	0	189	3620	1590482225
59.212852	10.377268	1200	366	242.6	131	150.8	0	0	190	3620	1590482234
59.21027	10.376331	1116	340	240.8	130	149.6	-960	-4.9	188	3620	1590482241
59.206703	10.374717	1100	335	218.5	118	135.8	-64	-0.3	192	3620	1590482260
59.193825	10.368178	1000	305	233.4	126	145	0	0	191	3620	1590482276
59.188816	10.36359	999	304	220.4	119	136.9	0	0	199	3620	1590482297
59.183727	10.356318	900	274	220.4	119	136.9	-320	-1.6	199	3620	1590482306
59.181965	10.350508	900	274	198.2	107	123.1	0	0	229	3620	1590482332
59.177189	10.332967	900	274	198.2	107	123.1	0	0	229	3620	1590482342
59.182129	10.310575	999	304	246.3	133	153.1	0	0	291	3620	1590482366
59.18581	10.295088	999	304	242.6	131	150.8	0	0	310	3620	1590482376
59.189137	10.290549	999	304	225.9	122	140.4	0	0	322	3620	1590482386
59.192673	10.287463	999	304	209.3	113	130	0	0	332	3620	1590482393
59.196651	10.285804	960	293	205.6	111	127.7	-576	-2.9	344	3620	1590482400
59.200645	10.284494	900	274	203.7	110	126.6	0	0	349	3620	1590482408
59.204933	10.284097	900	274	211.1	114	131.2	0	0	355	3620	1590482417
59.218204	10.281096	700	213	214.8	116	133.5	-320	-1.6	89	3620	1590482444
59.220688	10.280529	700	213	214.8	116	133.5	0	0	89	3620	1590482450
59.224522	10.278581	700	213	216.7	117	134.6	0	0	285	3620	1590482456
59.225918	10.277169	600	183	203.7	110	126.6	-1536	-7.8	324	3620	1590482466
