latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
42.787296	141.684067	0	0	20.4	11	12.7	0	0	188	0	1590481708
42.787083	141.684219	0	0	33.3	18	20.7	0	0	174	1706	1590481966
42.786713	141.68428	0	0	40.7	22	25.3	0	0	171	1706	1590481976
42.78511	141.688675	550	168	279.7	151	173.8	2560	13	352	1706	1590482308
42.792355	141.687485	1050	320	274.1	148	170.3	2880	14.6	353	1706	1590482319
42.798431	141.686554	1475	450	272.2	147	169.2	2752	14	353	1706	1590482328
42.804428	141.685623	1850	564	274.1	148	170.3	2304	11.7	353	1706	1590482336
42.81189	141.68486	2225	678	287.1	155	178.4	1984	10.1	1	1706	1590482348
42.816147	141.68576	2400	732	292.6	158	181.8	1920	9.8	13	1706	1590482354
42.820656	141.688644	2650	808	298.2	161	185.3	2496	12.7	32	1706	1590482360
42.824112	141.692719	2900	884	298.2	161	185.3	2624	13.3	44	1706	1590482366
42.826904	141.697769	3175	968	300	162	186.4	2624	13.3	58	1706	1590482372
42.828758	141.703171	3425	1044	301.9	163	187.6	2496	12.7	70	1706	1590482378
42.829826	141.709244	3625	1105	313	169	194.5	1600	8.1	82	1706	1590482384
42.820541	141.733536	4125	1257	381.5	206	237.1	1088	5.5	150	1706	1590482408
42.814838	141.736313	4250	1295	405.6	219	252	1088	5.5	165	1706	1590482415
42.805389	141.738449	4425	1349	438.9	237	272.7	1344	6.8	174	1706	1590482424
42.798359	141.738892	4575	1394	459.3	248	285.4	1408	7.2	178	1706	1590482430
42.791794	141.738922	4725	1440	479.7	259	298.1	1472	7.5	180	1706	1590482436
42.783783	141.738495	4900	1494	496.3	268	308.4	2048	10.4	182	1706	1590482443
42.772614	141.737549	5325	1623	507.4	274	315.3	3456	17.6	183	1706	1590482451
42.752876	141.735962	6325	1928	511.2	276	317.6	3968	20.2	182	1706	1590482467
42.736816	141.735443	7175	2187	511.2	276	317.6	4416	22.4	180	1706	1590482480
42.721436	141.735367	8050	2454	509.3	275	316.5	3968	20.2	180	1706	1590482492
42.706284	141.735428	8750	2667	518.6	280	322.2	3456	17.6	179	1706	1590482504
42.689667	141.735748	9500	2896	526	284	326.8	3584	18.2	178	1706	1590482516
42.673878	141.736145	10200	3109	535.2	289	332.6	3584	18.2	178	1706	1590482527
42.657211	141.736603	10800	3292	550	297	341.8	2048	10.4	178	1706	1590482540
42.640137	141.736984	11100	3383	585.2	316	363.6	1216	6.2	178	1706	1590482552
42.622391	141.737427	11350	3459	618.6	334	384.4	1280	6.5	178	1706	1590482564
42.602554	141.73793	11625	3543	650.1	351	403.9	2048	10.4	178	1706	1590482576
42.582779	141.738617	12175	3711	663	358	412	3264	16.6	178	1706	1590482588
42.531567	141.740494	13800	4206	683.4	369	424.6	2688	13.7	178	1706	1590482619
42.473328	141.742477	15475	4717	701.9	379	436.1	2816	14.3	178	1706	1590482652
42.416119	141.744263	16725	5098	733.4	396	455.7	2944	15	178	1706	1590482684
42.357601	141.746109	18250	5563	746.4	403	463.8	2880	14.6	178	1706	1590482716
42.241699	141.749725	21550	6568	742.7	401	461.5	3072	15.6	178	1706	1590482778
42.127258	141.752975	23700	7224	779.7	421	484.5	2496	12.7	178	1706	1590482838
42.005901	141.756912	25650	7818	820.4	443	509.8	960	4.9	178	1706	1590482900
41.834354	141.753967	28325	8633	826	446	513.2	2112	10.7	193	1706	1590482981
41.822845	141.750168	28525	8694	824.1	445	512.1	2176	11.1	194	1706	1590482988
41.699726	141.712708	30900	9418	820.4	443	509.8	2304	11.7	191	1706	1590483049
41.579361	141.678192	33025	10066	813	439	505.2	1344	6.8	192	1706	1590483110
41.461624	141.645233	36925	11255	705.6	381	438.4	6272	31.9	191	1706	1590483170
41.359222	141.61499	38600	11765	696.4	376	432.7	320	1.6	192	1706	1590483232
41.252701	141.584351	39175	11941	726	392	451.1	384	2	192	1706	1590483294
41.141739	141.552734	39725	12108	751.9	406	467.2	448	2.3	192	1706	1590483355
41.026657	141.520264	40000	12192	764.9	413	475.3	0	0	192	1706	1590483416
40.913086	141.488235	40000	12192	753.8	407	468.4	-64	-0.3	191	1706	1590483477
40.79987	141.456406	40000	12192	740.8	400	460.3	64	0.3	192	1706	1590483540
40.687958	141.424622	40000	12192	764.9	413	475.3	0	0	192	1706	1590483601
40.573151	141.392639	40000	12192	774.1	418	481	0	0	191	1706	1590483662
40.458176	141.360641	40000	12192	770.4	416	478.7	0	0	192	1706	1590483722
40.343857	141.329041	40000	12192	761.2	411	473	0	0	192	1706	1590483784
40.230679	141.297607	40000	12192	757.5	409	470.7	-64	-0.3	191	1706	1590483844
40.117722	141.266418	40000	12192	751.9	406	467.2	0	0	191	1706	1590483906
40.0009	141.234131	40000	12192	757.5	409	470.7	-64	-0.3	191	1706	1590483968
39.887913	141.203186	40000	12192	761.2	411	473	0	0	191	1706	1590484030
39.771114	141.171387	40000	12192	750.1	405	466.1	64	0.3	191	1706	1590484092
39.65918	141.140945	40000	12192	742.7	401	461.5	0	0	191	1706	1590484154
39.549179	141.110962	40000	12192	746.4	403	463.8	64	0.3	191	1706	1590484214
39.437668	141.080811	40000	12192	751.9	406	467.2	64	0.3	191	1706	1590484276
39.323456	141.050003	40000	12192	757.5	409	470.7	64	0.3	191	1706	1590484337
39.210709	141.01973	40000	12192	757.5	409	470.7	-64	-0.3	191	1706	1590484398
39.096909	140.989273	40000	12192	753.8	407	468.4	0	0	191	1706	1590484459
38.985683	140.959534	40000	12192	759.3	410	471.8	0	0	191	1706	1590484520
