latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
54.911762	8.328053	0	0	7.4	4	4.6	128	0.7	153	0	1590482004
54.910042	8.33005	0	0	92.6	50	57.5	448	2.3	144	0	1590482018
54.907944	8.332547	0	0	114.8	62	71.3	960	4.9	146	0	1590482027
54.906509	8.334342	0	0	124.1	67	77.1	832	4.2	142	0	1590482033
54.904953	8.336361	0	0	131.5	71	81.7	704	3.6	144	0	1590482039
54.901337	8.340204	0	0	151.9	82	94.4	576	2.9	155	0	1590482052
54.897766	8.341127	0	0	159.3	86	99	704	3.6	185	7000	1590482061
54.89447	8.339027	50	15	166.7	90	103.6	832	4.2	209	7000	1590482068
54.892399	8.336625	50	15	168.5	91	104.7	128	0.7	214	7000	1590482074
54.889278	8.332214	50	15	168.5	91	104.7	-64	-0.3	221	7000	1590482084
54.887371	8.329468	50	15	172.2	93	107	0	0	219	7000	1590482090
54.885414	8.326721	25	8	174.1	94	108.2	-128	-0.7	218	7000	1590482096
54.882156	8.322225	50	15	174.1	94	108.2	512	2.6	218	7000	1590482105
54.880154	8.319564	75	23	177.8	96	110.5	128	0.7	215	7000	1590482112
54.875732	8.314487	50	15	177.8	96	110.5	-192	-1	210	7000	1590482123
54.872131	8.311318	75	23	177.8	96	110.5	192	1	205	7000	1590482132
54.869774	8.309409	50	15	177.8	96	110.5	64	0.3	204	7000	1590482139
54.864578	8.305422	50	15	179.6	97	111.6	-64	-0.3	203	7000	1590482150
54.862278	8.303666	50	15	177.8	96	110.5	320	1.6	202	7000	1590482156
54.859673	8.302002	50	15	177.8	96	110.5	64	0.3	198	7000	1590482163
54.854691	8.299363	50	15	177.8	96	110.5	-64	-0.3	195	7000	1590482174
54.852036	8.298173	75	23	175.9	95	109.3	256	1.3	194	7000	1590482181
54.846821	8.296176	75	23	175.9	95	109.3	0	0	186	7000	1590482192
54.844208	8.295728	50	15	174.1	94	108.2	64	0.3	184	7000	1590482198
54.84026	8.295094	75	23	177.8	96	110.5	-64	-0.3	185	7000	1590482207
54.837746	8.294761	75	23	179.6	97	111.6	128	0.7	184	7000	1590482213
54.834915	8.294354	50	15	177.8	96	110.5	-384	-2	184	7000	1590482219
54.832439	8.294012	75	23	177.8	96	110.5	192	1	184	7000	1590482225
54.829559	8.293386	75	23	181.5	98	112.8	192	1	188	7000	1590482231
54.826813	8.292578	75	23	183.3	99	113.9	0	0	189	7000	1590482237
54.824337	8.291848	75	23	185.2	100	115.1	64	0.3	189	7000	1590482243
54.821457	8.291123	25	8	174.1	94	108.2	-512	-2.6	186	7000	1590482250
54.818287	8.288852	0	0	146.3	79	90.9	-896	-4.6	227	7000	1590482259
54.817307	8.285439	0	0	142.6	77	88.6	-768	-3.9	248	7000	1590482265
54.816376	8.282884	0	0	124.1	67	77.1	-384	-2	225	7000	1590482271
54.813862	8.28186	0	0	107.4	58	66.7	-256	-1.3	168	7000	1590482280
54.812576	8.283449	0	0	101.9	55	63.3	-64	-0.3	132	7000	1590482286
