latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
27.876408	114.247726	8976	2736	516.7	279	321.1	0	0	54	0	1590482210
27.992477	114.310051	11299	3444	522.3	282	324.5	0	0	20	0	1590482308
28.006578	114.315697	11575	3528	535.2	289	332.6	0	0	19	0	1590482318
28.072079	114.33889	13025	3970	594.5	321	369.4	0	0	7	0	1590482360
28.088747	114.338051	13350	4069	596.3	322	370.6	0	0	355	0	1590482371
28.116848	114.324158	14049	4282	600	324	372.9	0	0	324	0	1590482390
28.12665	114.313751	14350	4374	609.3	329	378.6	0	0	313	0	1590482398
28.13699	114.188408	17224	5250	613	331	380.9	0	0	264	0	1590482470
28.131958	114.132423	18425	5616	629.7	340	391.3	2496	12.7	264	0	1590482503
28.129097	114.101257	19101	5822	611.2	330	379.8	0	0	264	0	1590482522
28.127508	114.083809	19426	5921	611.2	330	379.8	0	0	264	0	1590482532
28.115778	113.958267	19701	6005	613	331	380.9	0	0	264	0	1590482602
28.100647	113.797813	19700	6005	674.1	364	418.9	64	0.3	263	5134	1590482690
28.096115	113.751175	19700	6005	676	365	420	0	0	263	5134	1590482716
28.089897	113.685287	19675	5997	661.2	357	410.8	0	0	264	5134	1590482748
28.083069	113.613953	20049	6111	653.8	353	406.2	0	0	264	5134	1590482788
28.068951	113.46917	21624	6591	644.5	348	400.5	0	0	264	5134	1590482870
28.06332	113.412025	21699	6614	651.9	352	405.1	0	0	264	5134	1590482900
28.053539	113.313148	21699	6614	670.4	362	416.6	0	0	264	5134	1590482951
28.044434	113.220078	21675	6607	718.6	388	446.5	0	0	263	5134	1590482997
28.031982	113.096802	21700	6614	722.3	390	448.8	0	0	263	5134	1590483057
28.025328	113.030952	21699	6614	707.5	382	439.6	0	0	264	5134	1590483090
28.020119	112.973061	21699	6614	713	385	443.1	0	0	267	5134	1590483118
28.021139	112.927658	21699	6614	716.7	387	445.4	0	0	274	5134	1590483140
28.02389	112.887321	21699	6614	716.7	387	445.4	0	0	274	5134	1590483160
28.029009	112.810204	21699	6614	714.9	386	444.2	0	0	274	5134	1590483198
28.03595	112.706795	21699	6614	703.8	380	437.3	0	0	274	5134	1590483250
28.041159	112.581215	21700	6614	701.9	379	436.1	0	0	264	5134	1590483314
28.034969	112.529076	21699	6614	700.1	378	435	0	0	262	5134	1590483340
28.024799	112.446388	21699	6614	709.3	383	440.7	0	0	262	5134	1590483382
28.011469	112.339073	21726	6622	685.2	370	425.8	0	0	262	5134	1590483440
27.993477	112.195755	21699	6614	718.6	388	446.5	0	0	262	5134	1590483508
27.9879	112.151886	21699	6614	716.7	387	445.4	0	0	262	5134	1590483530
27.97575	112.056236	21699	6614	711.2	384	441.9	0	0	262	5134	1590483578
27.193859	108.619492	25600	7803	742.7	401	461.5	0	0	253	0	1590485312
27.181707	108.581688	25600	7803	713	385	443.1	0	0	250	0	1590485332
27.163647	108.525276	25623	7810	722.3	390	448.8	0	0	250	0	1590485360
27.137951	108.444992	25623	7810	733.4	396	455.7	0	0	250	0	1590485400
27.130648	108.422256	25623	7810	731.5	395	454.6	0	0	250	0	1590485412
27.124277	108.402466	25623	7810	733.4	396	455.7	0	0	250	0	1590485422
27.118958	108.38578	25600	7803	735.2	397	456.9	0	0	250	0	1590485430
27.106569	108.346855	25600	7803	735.2	397	456.9	0	0	250	0	1590485450
27.0742	108.245644	25600	7803	744.5	402	462.6	0	0	250	0	1590485500
27.06757	108.224922	25600	7803	746.4	403	463.8	0	0	250	0	1590485511
27.05584	108.1884	25600	7803	748.2	404	464.9	0	0	250	0	1590485528
27.048149	108.164467	25600	7803	748.2	404	464.9	0	0	250	0	1590485540
26.97982	107.95182	25623	7810	748.2	404	464.9	0	0	250	0	1590485650
26.966969	107.912102	25600	7803	748.2	404	464.9	0	0	250	0	1590485670
26.947927	107.853256	25600	7803	748.2	404	464.9	0	0	250	0	1590485700
26.941319	107.832771	25600	7803	746.4	403	463.8	0	0	250	0	1590485710
26.935459	107.814735	25600	7803	742.7	401	461.5	0	0	250	0	1590485720
26.928658	107.793839	25600	7803	744.5	402	462.6	0	0	250	0	1590485730
26.922319	107.7743	25600	7803	744.5	402	462.6	0	0	250	0	1590485740
26.915897	107.754486	25600	7803	746.4	403	463.8	0	0	250	0	1590485751
26.903139	107.715248	25600	7803	746.4	403	463.8	0	0	250	0	1590485770
26.857519	107.575073	25600	7803	751.9	406	467.2	0	0	250	0	1590485840
26.826979	107.477455	25600	7803	737.1	398	458	0	0	251	0	1590485892
26.790951	107.362892	25600	7803	742.7	401	461.5	0	0	251	0	1590485950
26.785089	107.344254	25600	7803	740.8	400	460.3	0	0	251	0	1590485960
26.77969	107.32724	25600	7803	744.5	402	462.6	0	0	251	0	1590485968
26.736528	107.190697	25600	7803	735.2	397	456.9	0	0	251	0	1590486038
26.704178	107.0886	25623	7810	738.9	399	459.2	0	0	251	0	1590486090
26.691519	107.048355	25600	7803	740.8	400	460.3	0	0	251	0	1590486111
26.686428	107.032227	25623	7810	737.1	398	458	0	0	251	0	1590486119
26.67322	106.990097	25600	7803	735.2	397	456.9	0	0	251	0	1590486142
26.66025	106.948952	25623	7810	737.1	398	458	0	0	251	0	1590486162
26.653439	106.927399	25623	7810	742.7	401	461.5	0	0	251	0	1590486172
26.635	106.869186	25600	7803	740.8	400	460.3	0	0	251	0	1590486202
26.60504	106.774361	25600	7803	742.7	401	461.5	0	0	251	0	1590486250
26.576569	106.675949	25600	7803	737.1	398	458	0	0	253	0	1590486300
26.532578	106.52095	25600	7803	740.8	400	460.3	0	0	252	0	1590486378
26.527328	106.502525	25600	7803	738.9	399	459.2	0	0	252	0	1590486388
