latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
45.647861	8.72487	0	0	3.7	2	2.3	0	0	267	0	1590482272
45.647873	8.725154	0	0	3.7	2	2.3	0	0	264	0	1590482295
45.647884	8.725389	0	0	3.7	2	2.3	0	0	250	472	1590482314
45.647892	8.725599	0	0	3.7	2	2.3	0	0	199	472	1590482330
45.647636	8.725754	0	0	20.4	11	12.7	0	0	168	472	1590482496
45.647331	8.72584	0	0	33.3	18	20.7	0	0	168	472	1590482509
45.646923	8.725958	0	0	37	20	23	0	0	168	472	1590482520
45.646717	8.726008	0	0	38.9	21	24.2	0	0	168	472	1590482527
45.646202	8.726159	0	0	44.4	24	27.6	0	0	168	472	1590482539
45.645927	8.726243	0	0	48.2	26	29.9	0	0	168	472	1590482545
45.645622	8.72632	0	0	50	27	31.1	0	0	168	472	1590482551
45.645275	8.72641	0	0	53.7	29	33.4	0	0	168	472	1590482557
45.644806	8.726176	0	0	57.4	31	35.7	0	0	219	472	1590482566
45.644691	8.725531	0	0	55.6	30	34.5	0	0	258	472	1590482574
45.644608	8.724913	0	0	57.4	31	35.7	0	0	258	472	1590482581
45.64452	8.724384	0	0	38.9	21	24.2	0	0	250	472	1590482591
45.644222	8.724267	0	0	38.9	21	24.2	0	0	185	472	1590482599
45.644016	8.724334	0	0	37	20	23	0	0	168	472	1590482606
45.643795	8.72438	0	0	38.9	21	24.2	0	0	168	472	1590482612
45.643433	8.724484	0	0	42.6	23	26.5	0	0	168	472	1590482620
45.643036	8.724586	0	0	44.4	24	27.6	0	0	168	472	1590482629
45.642448	8.724752	0	0	50	27	31.1	0	0	168	472	1590482641
45.642105	8.724853	0	0	51.9	28	32.2	0	0	168	472	1590482647
45.641819	8.724919	0	0	55.6	30	34.5	0	0	168	472	1590482653
45.641026	8.725153	0	0	27.8	15	17.3	0	0	168	472	1590482665
45.640549	8.725325	0	0	29.6	16	18.4	0	0	163	472	1590482672
45.639603	8.725634	0	0	33.3	18	20.7	0	0	168	472	1590482684
45.639072	8.725791	0	0	31.5	17	19.6	0	0	168	472	1590482690
45.63871	8.725891	0	0	46.3	25	28.8	0	0	168	472	1590482696
45.638012	8.72608	0	0	61.1	33	38	0	0	168	472	1590482708
45.637138	8.72632	0	0	31.5	17	19.6	0	0	168	472	1590482718
