latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
32.28336	-106.921143	0	0	0	0	0	0	0	90	0	1590482324
32.283661	-106.921074	0	0	35.2	19	21.9	0	0	309	0	1590482454
32.283794	-106.92128	0	0	38.9	21	24.2	0	0	320	1200	1590482460
32.28484	-106.920792	0	0	53.7	29	33.4	0	0	25	1200	1590482490
32.286373	-106.920792	0	0	29.6	16	18.4	0	0	25	1200	1590482512
32.287754	-106.920784	0	0	37	20	23	0	0	359	1200	1590482528
32.288612	-106.920799	0	0	31.5	17	19.6	0	0	358	1200	1590482536
32.289028	-106.920792	0	0	63	34	39.1	0	0	358	1200	1590482542
32.289379	-106.920815	0	0	53.7	29	33.4	0	0	340	1200	1590482548
32.289658	-106.921021	0	0	59.3	32	36.8	0	0	317	1200	1590482554
32.29018	-106.921638	0	0	31.5	17	19.6	0	0	315	1200	1590482564
32.290844	-106.922424	0	0	38.9	21	24.2	0	0	315	1200	1590482574
32.291599	-106.923317	0	0	42.6	23	26.5	0	0	315	1200	1590482584
32.292423	-106.924286	0	0	42.6	23	26.5	0	0	315	1200	1590482595
32.293694	-106.925774	0	0	40.7	22	25.3	0	0	315	1200	1590482611
32.294426	-106.926636	0	0	38.9	21	24.2	0	0	315	1200	1590482622
32.295162	-106.927505	0	0	38.9	21	24.2	0	0	315	1200	1590482632
32.295883	-106.928345	0	0	38.9	21	24.2	0	0	315	1200	1590482642
32.296581	-106.929176	0	0	37	20	23	0	0	315	1200	1590482652
32.297302	-106.930016	0	0	33.3	18	20.7	0	0	315	1200	1590482663
32.297813	-106.930618	0	0	61.1	33	38	0	0	315	1200	1590482672
32.298077	-106.930878	0	0	57.4	31	35.7	0	0	337	1200	1590482678
32.298328	-106.930855	0	0	55.6	30	34.5	0	0	36	1200	1590482684
32.298664	-106.93045	0	0	48.2	26	29.9	0	0	44	1200	1590482694
32.298912	-106.929916	0	0	44.4	24	27.6	0	0	87	1200	1590482704
32.298855	-106.929604	0	0	48.2	26	29.9	0	0	115	1200	1590482710
32.297569	-106.930336	0	0	3.7	2	2.3	0	0	132	1200	1590482734
32.286072	-106.914574	4625	1410	227.8	123	141.5	1344	6.8	135	1200	1590482782
32.282627	-106.91082	4800	1463	235.2	127	146.1	1216	6.2	139	1200	1590482789
32.279343	-106.908508	4975	1516	235.2	127	146.1	2048	10.4	156	1200	1590482795
32.275692	-106.907677	5125	1562	248.2	134	154.2	1088	5.5	176	1200	1590482802
32.263824	-106.917465	5550	1692	305.6	165	189.9	1216	6.2	242	1200	1590482824
32.261902	-106.925591	5750	1753	314.8	170	195.6	1280	6.5	261	1200	1590482834
32.268814	-106.945587	6550	1996	288.9	156	179.5	1344	6.8	317	1200	1590482858
32.272617	-106.948257	6650	2027	290.8	157	180.7	1152	5.9	332	1200	1590482864
32.280811	-106.953079	6950	2118	290.8	157	180.7	1216	6.2	334	1200	1590482876
32.289097	-106.957565	7200	2195	292.6	158	181.8	1344	6.8	336	1200	1590482889
32.297287	-106.961739	7500	2286	287.1	155	178.4	1536	7.8	337	1200	1590482902
32.305801	-106.96608	7825	2385	281.5	152	174.9	1344	6.8	336	1200	1590482915
32.314133	-106.970474	8075	2461	287.1	155	178.4	896	4.6	335	1200	1590482928
32.320816	-106.97393	8225	2507	294.5	159	183	1024	5.2	336	4233	1590482938
32.329056	-106.978218	8450	2576	296.3	160	184.1	1152	5.9	335	4233	1590482950
32.336334	-106.982338	8675	2644	298.2	161	185.3	1088	5.5	333	4233	1590482960
32.34375	-106.986679	8875	2705	301.9	163	187.6	1088	5.5	333	4233	1590482972
32.352547	-106.99176	9125	2781	303.7	164	188.7	1088	5.5	334	4233	1590482984
32.361485	-106.996803	9350	2850	305.6	165	189.9	1024	5.2	334	4233	1590482997
32.369843	-107.001724	9550	2911	311.1	168	193.3	960	4.9	332	4233	1590483010
32.37854	-107.007332	9825	2995	307.4	166	191	1152	5.9	330	4233	1590483022
32.387043	-107.012947	10025	3056	311.1	168	193.3	1024	5.2	330	4233	1590483035
32.394928	-107.017929	10225	3117	311.1	168	193.3	1152	5.9	333	4233	1590483047
32.403385	-107.022758	10475	3193	309.3	167	192.2	1088	5.5	334	4233	1590483058
32.412788	-107.028137	10675	3254	311.1	168	193.3	832	4.2	334	4233	1590483073
