latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
48.239605	9.852541	4425	1349	0	0	0	0	0	0	0	1590482438
48.244316	9.85604	4475	1364	0	0	0	128	0.7	26	0	1590482482
48.264275	9.870001	4450	1356	0	0	0	0	0	25	4250	1590482547
48.290112	9.888293	4450	1356	0	0	0	0	0	25	4250	1590482568
48.299809	9.895281	4450	1356	0	0	0	0	0	25	4250	1590482588
48.308819	9.901816	4475	1364	0	0	0	64	0.3	25	4250	1590482600
48.315819	9.907234	4450	1356	0	0	0	0	0	33	4250	1590482608
48.317749	9.909286	4450	1356	203.7	110	126.6	0	0	34	4250	1590482666
48.303581	10.078583	3200	975	400	216	248.6	0	0	104	4250	1590482808
48.301483	10.100989	3325	1013	196.3	106	122	0	0	99	4250	1590482835
48.301018	10.10482	3275	998	148.2	80	92.1	0	0	100	4250	1590482841
48.300415	10.111469	3200	975	161.1	87	100.1	0	0	97	4250	1590482849
48.297108	10.122673	3550	1082	181.5	98	112.8	0	0	113	4250	1590482867
48.294407	10.127371	3550	1082	164.8	89	102.4	0	0	130	4250	1590482875
48.278488	10.126864	3275	998	222.2	120	138.1	0	0	188	4250	1590482900
48.274902	10.126214	3125	953	205.6	111	127.7	0	0	187	4250	1590482908
48.269318	10.125275	2950	899	250	135	155.4	0	0	187	4250	1590482918
48.266197	10.124986	2875	876	138.9	75	86.3	0	0	184	4250	1590482924
48.256607	10.123974	2775	846	192.6	104	119.7	0	0	184	4250	1590482940
48.245018	10.123034	2875	876	238.9	129	148.5	0	0	183	4250	1590482963
48.241108	10.12289	2875	876	155.6	84	96.7	0	0	182	4250	1590482969
48.235706	10.122601	2850	869	129.6	70	80.6	0	0	184	4250	1590482983
48.229515	10.122383	2850	869	125.9	68	78.3	0	0	184	4250	1590482993
48.225697	10.121733	2850	869	153.7	83	95.5	0	0	187	4250	1590483000
48.220486	10.120866	2900	884	107.4	58	66.7	0	0	187	4250	1590483010
48.216805	10.117685	2875	876	211.1	114	131.2	0	0	210	4250	1590483019
48.214806	10.113204	2850	869	159.3	86	99	0	0	237	4250	1590483025
48.213409	10.109302	2875	876	146.3	79	90.9	0	0	242	4250	1590483031
48.212616	10.105109	2875	876	164.8	89	102.4	0	0	255	4250	1590483037
48.284569	9.82243	4025	1227	164.8	89	102.4	0	0	294	4250	1590483512
48.251564	9.858854	4450	1356	166.7	90	103.6	-640	-3.3	113	4250	1590483536
48.252876	9.860891	4475	1364	188.9	102	117.4	256	1.3	43	4250	1590483543
48.25486	9.864776	4475	1364	172.2	93	107	0	0	49	4250	1590483582
48.268776	9.880651	4475	1364	172.2	93	107	0	0	49	4250	1590483615
48.285908	9.891187	4475	1364	172.2	93	107	0	0	49	4250	1590483639
48.303085	9.900644	4475	1364	172.2	93	107	320	1.6	49	4250	1590483646
48.309956	9.903989	4450	1356	248.2	134	154.2	-576	-2.9	20	4250	1590483672
48.312889	9.983898	3675	1120	676	365	420	0	0	110	4250	1590483740
48.312984	9.993077	3600	1097	335.2	181	208.3	0	0	88	4250	1590483751
48.309818	10.016278	3375	1029	279.7	151	173.8	0	0	103	4250	1590483777
48.309677	10.020977	3300	1006	83.3	45	51.8	0	0	92	4250	1590483790
48.307907	10.041793	3175	968	177.8	96	110.5	0	0	97	4250	1590483816
48.306976	10.049527	3175	968	188.9	102	117.4	0	0	100	4250	1590483824
48.306187	10.058779	3175	968	207.4	112	128.9	0	0	95	4250	1590483836
48.305721	10.064922	3200	975	137	74	85.2	0	0	96	4250	1590483844
48.304882	10.074101	3175	968	181.5	98	112.8	0	0	96	4250	1590483856
48.304184	10.080317	3200	975	138.9	75	86.3	0	0	99	4250	1590483866
48.303394	10.089569	3200	975	238.9	129	148.5	0	0	96	4250	1590483877
48.302181	10.094484	3250	991	125.9	68	78.3	0	0	110	4250	1590483886
48.301113	10.105904	3350	1021	159.3	86	99	0	0	98	4250	1590483900
48.300415	10.113782	3200	975	135.2	73	84	0	0	95	4250	1590483913
48.295013	10.125275	3250	991	187.1	101	116.2	0	0	125	4250	1590483930
48.292778	10.127805	3175	968	138.9	75	86.3	0	0	143	4250	1590483936
48.287006	10.129178	3450	1052	333.4	180	207.1	0	0	171	4250	1590483942
48.274715	10.12607	3050	930	237.1	128	147.3	0	0	190	4250	1590483962
48.269176	10.125491	2900	884	201.9	109	125.4	0	0	184	4250	1590483972
48.261078	10.124118	2800	853	168.5	91	104.7	0	0	181	4250	1590483986
48.252884	10.123829	2825	861	179.6	97	111.6	0	0	180	4250	1590484001
48.246414	10.123612	2850	869	183.3	99	113.9	0	0	183	4250	1590484013
48.241898	10.123323	2875	876	163	88	101.3	0	0	183	4250	1590484022
48.235985	10.123106	2900	884	225.9	122	140.4	0	0	181	4250	1590484032
48.23082	10.122528	2900	884	172.2	93	107	0	0	185	4250	1590484042
48.223881	10.121878	2875	876	190.8	103	118.5	0	0	183	4250	1590484054
48.2216	10.121371	2875	876	90.7	49	56.4	0	0	189	4250	1590484060
48.218296	10.118697	2875	876	166.7	90	103.6	0	0	209	4250	1590484068
48.214897	10.114577	2875	876	290.8	157	180.7	0	0	219	4250	1590484074
48.212803	10.11212	2850	869	105.6	57	65.6	0	0	219	4250	1590484080
