latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
34.472168	114.036522	5751	1753	437.1	236	271.6	0	0	116	0	1590482482
34.454498	114.05748	6499	1981	448.2	242	278.5	0	0	149	0	1590482502
34.394928	114.068932	8074	2461	487.1	263	302.7	0	0	174	0	1590482549
34.309658	114.047668	11175	3406	507.4	274	315.3	0	0	227	0	1590482614
34.280407	113.995705	12100	3688	518.6	280	322.2	0	0	238	0	1590482652
34.243408	113.927193	13924	4244	581.5	314	361.3	0	0	238	0	1590482694
34.2117	113.867126	16050	4892	588.9	318	365.9	0	0	238	0	1590482732
34.11166	113.506966	19724	6012	611.2	330	379.8	0	0	288	0	1590482930
34.129257	113.438377	19701	6005	624.1	337	387.8	0	0	288	0	1590482966
34.150158	113.358475	19701	6005	638.9	345	397	0	0	287	0	1590483006
34.164368	113.298302	19701	6005	650.1	351	403.9	0	0	284	0	1590483036
34.183548	113.13076	19701	6005	657.5	355	408.5	0	0	274	0	1590483120
34.185028	113.055672	19701	6005	657.5	355	408.5	0	0	271	0	1590483158
34.192337	112.598877	19701	6005	664.9	359	413.1	0	0	271	0	1590483383
34.038109	110.76107	25600	7803	727.8	393	452.3	0	0	204	0	1590484252
34.033539	110.714722	25600	7803	774.1	418	481	0	0	264	0	1590484272
34.016651	110.544601	25600	7803	759.3	410	471.8	0	0	265	0	1590484348
33.99184	110.419632	25600	7803	735.2	397	456.9	64	0.3	254	0	1590484406
33.964371	110.303818	25600	7803	735.2	397	456.9	0	0	162	0	1590484460
33.958649	110.280136	25600	7803	744.5	402	462.6	0	0	255	0	1590484472
33.929371	110.157455	25600	7803	744.5	402	462.6	0	0	150	0	1590484530
33.883606	109.950714	25625	7811	735.2	397	456.9	832	4.2	265	7476	1590484624
33.889332	109.898132	25600	7803	733.4	396	455.7	768	3.9	286	7476	1590484648
33.892914	109.885651	25600	7803	735.2	397	456.9	512	2.6	289	7476	1590484654
33.935486	109.754593	25600	7803	742.7	401	461.5	64	0.3	290	7476	1590484717
33.977921	109.622787	25600	7803	744.5	402	462.6	64	0.3	291	7476	1590484780
34.02084	109.488602	25625	7811	746.4	403	463.8	64	0.3	291	7476	1590484844
34.061295	109.362717	25600	7803	742.7	401	461.5	64	0.3	290	7476	1590484904
34.103237	109.228882	25600	7803	742.7	401	461.5	-64	-0.3	290	7476	1590484967
34.14473	109.097717	25575	7795	737.1	398	458	-64	-0.3	290	7476	1590485031
34.184326	108.973167	25625	7811	733.4	396	455.7	64	0.3	290	7476	1590485091
34.216324	108.888412	25600	7803	742.7	401	461.5	128	0.7	305	7476	1590485133
34.223648	108.878044	25600	7803	742.7	401	461.5	704	3.6	310	7476	1590485140
34.231979	108.868568	25600	7803	746.4	403	463.8	704	3.6	315	7476	1590485146
34.241173	108.858658	25600	7803	753.8	407	468.4	704	3.6	322	7476	1590485152
34.250702	108.852539	25625	7811	759.3	410	471.8	640	3.3	327	7476	1590485158
34.271393	108.841103	25600	7803	776	419	482.2	512	2.6	339	7476	1590485169
34.283157	108.837349	25600	7803	785.2	424	487.9	384	2	345	7476	1590485175
34.292801	108.834747	25600	7803	790.8	427	491.4	-64	-0.3	347	7476	1590485181
34.311977	108.829483	25600	7803	790.8	427	491.4	-128	-0.7	347	7476	1590485190
34.435017	108.795662	25600	7803	790.8	427	491.4	128	0.7	347	7476	1590485254
34.558426	108.76207	25600	7803	790.8	427	491.4	-64	-0.3	347	7476	1590485318
34.679184	108.729744	25600	7803	790.8	427	491.4	64	0.3	347	7476	1590485381
34.788765	108.692093	25600	7803	774.1	418	481	-128	-0.7	336	7476	1590485439
34.892166	108.636681	25600	7803	764.9	413	475.3	0	0	336	7476	1590485496
34.96841	108.595734	26675	8131	781.5	422	485.6	1792	9.1	336	7476	1590485539
35.094639	108.528267	27598	8412	824.1	445	512.1	0	0	337	7476	1590485610
35.129807	108.509789	27598	8412	822.3	444	510.9	0	0	337	7476	1590485630
35.20303	108.469917	27598	8412	827.8	447	514.4	0	0	337	7476	1590485668
35.242901	108.448555	27598	8412	820.4	443	509.8	0	0	337	7476	1590485690
35.278557	108.428879	27900	8504	818.6	442	508.6	0	0	337	7476	1590485709
35.296829	108.419151	28301	8626	814.9	440	506.3	0	0	337	7476	1590485720
35.31097	108.411316	28576	8710	813	439	505.2	0	0	337	7476	1590485728
35.328678	108.402451	28999	8839	809.3	437	502.9	0	0	337	7476	1590485739
35.387051	108.370453	30075	9167	807.5	436	501.7	0	0	337	7476	1590485770
35.404945	108.360435	30098	9174	807.5	436	501.7	0	0	336	7476	1590485780
35.418907	108.35112	30098	9174	805.6	435	500.6	0	0	329	7476	1590485789
35.467709	108.278847	30374	9258	768.6	415	477.6	0	0	302	7476	1590485830
35.47691	108.260078	30823	9395	764.9	413	475.3	0	0	302	7476	1590485840
35.502319	108.208351	32024	9761	746.4	403	463.8	0	0	302	7476	1590485872
