latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
28.549519	77.087959	0	0	37	20	23	0	0	168	0	1590482558
28.54887	77.087845	0	0	40.7	22	25.3	0	0	196	0	1590482565
28.547985	77.087593	0	0	42.6	23	26.5	0	0	194	0	1590482573
28.547321	77.087402	0	0	42.6	23	26.5	0	0	194	0	1590482579
28.546635	77.087212	0	0	42.6	23	26.5	0	0	194	565	1590482586
28.545959	77.087021	0	0	46.3	25	28.8	0	0	194	565	1590482592
28.545298	77.086853	0	0	42.6	23	26.5	0	0	194	565	1590482599
28.54454	77.086716	0	0	51.9	28	32.2	0	0	171	565	1590482610
28.544273	77.087334	0	0	55.6	30	34.5	0	0	104	565	1590482620
28.544151	77.087906	0	0	63	34	39.1	0	0	104	565	1590482628
28.544037	77.088425	0	0	27.8	15	17.3	0	0	104	565	1590482635
28.543865	77.089218	0	0	31.5	17	19.6	0	0	104	565	1590482643
28.543749	77.08976	0	0	35.2	19	21.9	0	0	104	565	1590482649
28.5434	77.091415	0	0	40.7	22	25.3	0	0	104	565	1590482665
28.543098	77.092834	0	0	42.6	23	26.5	0	0	104	565	1590482676
28.542927	77.093597	0	0	44.4	24	27.6	0	0	104	565	1590482683
28.542656	77.094955	0	0	31.5	17	19.6	0	0	101	565	1590482694
28.542549	77.095352	0	0	48.2	26	29.9	0	0	109	565	1590482701
28.542294	77.095612	0	0	38.9	21	24.2	0	0	151	565	1590482710
28.541969	77.095467	0	0	25.9	14	16.1	0	0	199	565	1590482929
28.541771	77.095207	0	0	38.9	21	24.2	0	0	233	565	1590482938
28.541691	77.094933	0	0	44.4	24	27.6	0	0	250	565	1590482945
28.541576	77.094421	0	0	51.9	28	32.2	0	0	255	565	1590482955
28.541348	77.093887	0	0	53.7	29	33.4	0	0	230	565	1590482963
28.541199	77.093468	0	0	40.7	22	25.3	0	0	272	565	1590482975
28.541317	77.092987	0	0	37	20	23	0	0	284	565	1590482981
28.541622	77.091553	0	0	98.2	53	61	0	0	284	565	1590482988
28.543671	77.081871	1150	351	248.2	134	154.2	1280	6.5	283	565	1590483005
28.544632	77.077698	1350	411	253.7	137	157.7	2560	13	284	565	1590483011
28.545599	77.073402	1600	488	253.7	137	157.7	2624	13.3	284	565	1590483017
28.54653	77.069038	1850	564	255.6	138	158.8	2432	12.4	283	565	1590483024
28.548523	77.060272	2250	686	270.4	146	168	1472	7.5	284	565	1590483036
28.549118	77.055626	2400	732	281.5	152	174.9	1280	6.5	276	565	1590483042
28.548439	77.050407	2550	777	298.2	161	185.3	1152	5.9	260	565	1590483048
28.546717	77.045715	2650	808	314.8	170	195.6	832	4.2	243	565	1590483054
28.5429	77.040764	2775	846	337.1	182	209.4	1024	5.2	227	565	1590483060
28.538849	77.037476	2875	876	364.8	197	226.7	1152	5.9	213	565	1590483066
28.53289	77.034088	3000	914	385.2	208	239.4	960	4.9	205	565	1590483072
28.526932	77.031929	3125	953	411.1	222	255.5	1792	9.1	196	565	1590483078
28.521057	77.030426	3300	1006	427.8	231	265.8	1856	9.4	192	565	1590483084
28.515341	77.029236	3450	1052	440.8	238	273.9	1600	8.1	190	565	1590483090
28.508972	77.028053	3600	1097	457.4	247	284.2	1664	8.5	188	565	1590483096
28.501236	77.026787	3750	1143	470.4	254	292.3	1216	6.2	188	565	1590483102
28.490479	77.024933	3950	1204	505.6	273	314.2	1664	8.5	189	565	1590483110
28.482513	77.02314	4200	1280	511.2	276	317.6	3584	18.2	191	565	1590483118
28.475143	77.021294	4600	1402	507.4	274	315.3	4544	23.1	192	565	1590483124
28.467625	77.019226	5025	1532	498.2	269	309.6	4160	21.1	193	565	1590483130
28.453146	77.015076	5725	1745	503.7	272	313	1856	9.4	194	565	1590483141
28.440308	77.011253	5850	1783	511.2	276	317.6	0	0	194	565	1590483151
28.425934	77.006927	6075	1852	513	277	318.8	1664	8.5	195	565	1590483163
28.41069	77.002434	6500	1981	513	277	318.8	2624	13.3	194	565	1590483176
28.39682	76.998474	6850	2088	533.4	288	331.4	1600	8.1	194	565	1590483187
28.38369	76.99472	7150	2179	538.9	291	334.9	1920	9.8	194	565	1590483196
28.369125	76.990494	7475	2278	533.4	288	331.4	1984	10.1	194	565	1590483207
28.353571	76.985779	7900	2408	535.2	289	332.6	1984	10.1	194	565	1590483219
28.337997	76.981201	8325	2537	533.4	288	331.4	2368	12	194	565	1590483231
28.32193	76.976395	8875	2705	546.3	295	339.5	2368	12	194	565	1590483244
28.305725	76.972435	9350	2850	551.9	298	342.9	2432	12.4	190	565	1590483256
28.291239	76.970268	9850	3002	559.3	302	347.5	4032	20.5	186	565	1590483266
28.274414	76.967995	10675	3254	550	297	341.8	2816	14.3	187	565	1590483278
