latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
48.740986	2.18599	400	122	0	0	0	0	0	61	0	1590482802
48.743359	2.189893	400	122	0	0	0	0	0	49	0	1590482813
48.744102	2.192712	725	221	0	0	0	0	0	68	0	1590482819
48.747223	2.19423	1100	335	107.4	58	66.7	0	0	27	0	1590482829
48.750992	2.196326	1100	335	124.1	67	77.1	0	0	22	0	1590482838
48.75388	2.197772	1100	335	109.3	59	67.9	0	0	18	0	1590482848
48.758675	2.20088	1100	335	170.4	92	105.9	0	0	22	0	1590482860
48.761513	2.202325	1100	335	131.5	71	81.7	0	0	18	0	1590482866
48.761513	2.203915	825	251	131.5	71	81.7	0	0	89	0	1590482872
48.766449	2.203409	1100	335	281.5	152	174.9	0	0	357	0	1590482880
48.768684	2.202976	1100	335	100	54	62.1	0	0	353	0	1590482886
48.771523	2.202108	400	122	100	54	62.1	0	0	349	0	1590482893
48.775806	2.20088	400	122	100	54	62.1	0	0	350	0	1590482899
48.782185	2.203771	675	206	100	54	62.1	0	0	67	0	1590482922
48.789864	2.20883	400	122	100	54	62.1	0	0	31	0	1590482934
48.794193	2.210493	1100	335	216.7	117	134.6	0	0	14	0	1590482946
48.797779	2.211938	1100	335	122.2	66	76	0	0	341	0	1590482954
48.806019	2.216275	825	251	122.2	66	76	0	0	69	0	1590482978
48.808113	2.217431	825	251	122.2	66	76	0	0	19	0	1590482985
48.81179	2.21613	800	244	122.2	66	76	0	0	347	0	1590482994
48.82222	2.219527	800	244	122.2	66	76	0	0	44	0	1590483024
48.826408	2.223286	800	244	122.2	66	76	0	0	31	0	1590483036
48.83218	2.225382	800	244	122.2	66	76	0	0	4	0	1590483050
48.839397	2.221479	800	244	122.2	66	76	0	0	332	0	1590483064
