latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
35.774555	120.082436	19700	6005	703.8	380	437.3	64	0.3	219	2356	1590482808
35.687412	119.993729	20300	6187	696.4	376	432.7	1536	7.8	219	2356	1590482873
35.653709	119.95948	20925	6378	603.8	326	375.2	0	0	220	2356	1590482898
35.581467	119.886414	21700	6614	688.9	372	428.1	0	0	219	2356	1590482952
35.490078	119.794037	21699	6614	664.9	359	413.1	0	0	219	2356	1590483020
35.370163	119.671722	21700	6614	707.5	382	439.6	0	0	220	2356	1590483109
35.310802	119.604767	21700	6614	694.5	375	431.5	0	0	233	2356	1590483156
35.303238	119.588928	21700	6614	687.1	371	426.9	64	0.3	241	2356	1590483163
35.299397	119.577942	21700	6614	679.7	367	422.3	128	0.7	248	2356	1590483169
35.295582	119.565323	21700	6614	677.8	366	421.2	0	0	249	2356	1590483176
35.291977	119.553391	21700	6614	676	365	420	-64	-0.3	249	2356	1590483183
35.286457	119.535286	21700	6614	674.1	364	418.9	-64	-0.3	249	2356	1590483191
35.281403	119.519234	21700	6614	674.1	364	418.9	-64	-0.3	247	2356	1590483200
35.123608	119.343079	21699	6614	701.9	379	436.1	0	0	218	2356	1590483320
35.095871	119.31617	21699	6614	703.8	380	437.3	0	0	219	2356	1590483340
35.053841	119.273529	21699	6614	703.8	380	437.3	0	0	220	2356	1590483372
35.039829	119.259171	21699	6614	709.3	383	440.7	0	0	220	2356	1590483382
34.998249	119.21711	21699	6614	711.2	384	441.9	0	0	219	2356	1590483412
34.954929	119.184555	21624	6591	714.9	386	444.2	0	0	209	2356	1590483440
34.877449	119.133286	21125	6439	711.2	384	441.9	0	0	209	2356	1590483487
34.846977	119.112923	20951	6386	718.6	388	446.5	0	0	209	2356	1590483506
34.804138	119.084335	20725	6317	737.1	398	458	0	0	209	2356	1590483530
34.772919	119.063431	20699	6309	733.4	396	455.7	0	0	209	2356	1590483550
34.69775	119.013153	20699	6309	737.1	398	458	0	0	209	2356	1590483596
34.6581	118.986626	20699	6309	740.8	400	460.3	0	0	209	2356	1590483620
34.576157	118.931808	20699	6309	737.1	398	458	0	0	209	2356	1590483672
34.542938	118.909676	20699	6309	738.9	399	459.2	0	0	209	2356	1590483692
34.52747	118.899307	20699	6309	737.1	398	458	0	0	209	2356	1590483702
34.493439	118.876526	20699	6309	740.8	400	460.3	0	0	209	2356	1590483722
34.481827	118.868706	20676	6302	733.4	396	455.7	0	0	209	2356	1590483730
34.272858	118.78418	20699	6309	798.2	431	496	0	0	186	2356	1590483840
34.21294	118.776161	20699	6309	800.1	432	497.1	0	0	186	2356	1590483870
