latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.996277	117.216118	6075	1852	442.6	239	275	3840	19.5	359	0	1590489777
37.011841	117.216118	6875	2096	446.3	241	277.3	3008	15.3	359	0	1590489791
37.027496	117.216118	7500	2286	459.3	248	285.4	2944	15	359	0	1590489804
37.118774	117.103798	14450	4404	498.2	269	309.6	3072	15.6	269	7075	1590489944
37.118729	117.049042	16075	4900	501.9	271	311.9	2624	13.3	270	7075	1590489980
37.118614	116.998184	17625	5372	498.2	269	309.6	3072	15.6	269	7075	1590490012
37.118565	116.947014	18750	5715	514.9	278	319.9	2240	11.4	269	7075	1590490045
37.118225	116.840889	21125	6439	527.8	285	328	2688	13.7	269	7075	1590490109
37.11652	116.820435	21500	6553	538.9	291	334.9	1472	7.5	258	7075	1590490120
37.114563	116.811897	21625	6591	548.2	296	340.6	1152	5.9	252	7075	1590490126
37.111633	116.802902	21700	6614	555.6	300	345.2	960	4.9	247	7075	1590490132
37.107815	116.79261	21725	6622	572.3	309	355.6	320	1.6	244	7075	1590490138
37.103851	116.782448	21725	6622	585.2	316	363.6	-64	-0.3	244	7075	1590490144
37.100365	116.773384	21725	6622	600	324	372.9	-64	-0.3	243	7075	1590490150
37.051941	116.6502	21700	6614	711.2	384	441.9	64	0.3	243	7075	1590490215
37.024384	116.574699	21700	6614	711.2	384	441.9	0	0	253	7075	1590490253
37.022018	116.561302	21700	6614	707.5	382	439.6	0	0	259	7075	1590490260
37.02076	116.541595	21700	6614	703.8	380	437.3	0	0	269	7075	1590490267
37.022507	116.496689	21700	6614	696.4	376	432.7	0	0	273	7075	1590490288
37.022251	116.450661	21700	6614	701.9	379	436.1	0	0	262	7075	1590490309
37.02039	116.438179	21700	6614	701.9	379	436.1	0	0	258	7075	1590490315
37.016418	116.42218	21700	6614	711.2	384	441.9	0	0	249	7075	1590490324
37.008842	116.40152	21700	6614	714.9	386	444.2	64	0.3	244	7075	1590490333
37.00351	116.387871	21700	6614	714.9	386	444.2	0	0	243	7075	1590490339
36.996689	116.370636	21700	6614	714.9	386	444.2	-64	-0.3	243	7075	1590490349
36.946518	116.244057	21700	6614	714.9	386	444.2	64	0.3	243	7075	1590490412
36.900192	116.127945	21700	6614	714.9	386	444.2	0	0	243	7075	1590490470
36.848511	115.999084	21700	6614	718.6	388	446.5	0	0	243	7075	1590490535
36.797821	115.871048	21700	6614	718.6	388	446.5	0	0	243	7075	1590490598
36.748581	115.746574	21700	6614	709.3	383	440.7	0	0	243	7075	1590490661
36.698822	115.621376	21700	6614	701.9	379	436.1	0	0	243	7075	1590490724
36.64975	115.498238	21700	6614	696.4	376	432.7	0	0	243	7075	1590490788
36.601604	115.377953	21700	6614	696.4	376	432.7	-64	-0.3	243	7075	1590490851
36.589645	115.340538	21700	6614	685.2	370	425.8	0	0	256	7075	1590490868
36.58786	115.329269	21700	6614	683.4	369	424.6	0	0	260	7075	1590490875
36.586624	115.316223	21700	6614	681.5	368	423.5	64	0.3	264	7075	1590490881
36.585663	115.303177	21700	6614	681.5	368	423.5	64	0.3	264	7075	1590490887
36.584381	115.284622	21700	6614	681.5	368	423.5	-64	-0.3	265	7075	1590490896
36.578842	115.234566	21700	6614	692.6	374	430.4	-64	-0.3	255	7075	1590490919
36.575455	115.221008	21700	6614	696.4	376	432.7	64	0.3	250	7075	1590490926
36.571297	115.208542	21700	6614	701.9	379	436.1	0	0	245	7075	1590490932
36.566437	115.195938	21700	6614	703.8	380	437.3	0	0	244	7075	1590490938
36.562775	115.186554	21700	6614	701.9	379	436.1	0	0	243	7075	1590490944
36.557968	115.174423	21700	6614	698.2	377	433.8	0	0	243	7075	1590490950
36.507523	115.047455	21700	6614	705.6	381	438.4	-64	-0.3	243	7075	1590491015
36.464401	114.938339	21700	6614	707.5	382	439.6	64	0.3	244	7075	1590491070
36.43927	114.874817	21699	6614	705.6	381	438.4	0	0	243	7075	1590491102
36.410408	114.812386	21699	6614	709.3	383	440.7	0	0	240	7075	1590491134
36.380108	114.748276	21699	6614	709.3	383	440.7	0	0	240	7075	1590491168
36.349518	114.683647	21699	6614	713	385	443.1	0	0	240	7075	1590491200
36.3176	114.620651	22100	6736	713	385	443.1	0	0	237	7075	1590491234
36.228558	114.447731	23599	7193	720.4	389	447.7	0	0	238	7075	1590491326
36.139759	114.275436	23599	7193	727.8	393	452.3	0	0	238	7075	1590491416
36.085419	114.163338	23599	7193	735.2	397	456.9	0	0	239	7075	1590491472
36.02734	114.043747	23599	7193	744.5	402	462.6	0	0	239	7075	1590491532
35.99852	113.984726	23599	7193	744.5	402	462.6	0	0	239	7075	1590491562
35.970428	113.927139	23599	7193	735.2	397	456.9	0	0	239	7075	1590491593
35.941269	113.86763	23599	7193	738.9	399	459.2	0	0	239	7075	1590491623
35.906807	113.79744	23599	7193	748.2	404	464.9	0	0	239	7075	1590491657
35.871849	113.726318	23625	7201	740.8	400	460.3	0	0	239	7075	1590491696
35.83931	113.660225	23599	7193	748.2	404	464.9	0	0	239	0	1590491728
35.804119	113.588867	23599	7193	742.7	401	461.5	0	0	239	0	1590491765
34.368259	110.793625	32100	9784	720.4	389	447.7	64	0.3	238	0	1590493264
34.016327	110.095451	32100	9784	707.5	382	439.6	0	0	238	0	1590493642
33.935486	109.935593	32100	9784	705.6	381	438.4	0	0	239	0	1590493731
33.891586	109.818604	32100	9784	705.6	381	438.4	0	0	248	0	1590493792
33.881184	109.787636	32100	9784	705.6	381	438.4	-64	-0.3	248	0	1590493808
33.779514	109.485054	32125	9792	711.2	384	441.9	0	0	248	0	1590493960
33.768448	109.452248	32100	9784	713	385	443.1	0	0	247	0	1590493976
33.735893	109.356194	32100	9784	711.2	384	441.9	64	0.3	247	0	1590494025
33.43475	109.00074	30600	9327	727.8	393	452.3	0	0	221	0	1590494262
33.406128	108.97229	30276	9228	729.7	394	453.4	0	0	221	0	1590494282
33.378109	108.944435	29974	9136	729.7	394	453.4	0	0	221	0	1590494302
33.36264	108.929047	29774	9075	733.4	396	455.7	0	0	221	0	1590494312
33.318737	108.885544	29275	8923	733.4	396	455.7	0	0	221	0	1590494342
33.305969	108.872917	29124	8877	729.7	394	453.4	0	0	221	0	1590494352
33.289368	108.856461	28950	8824	737.1	398	458	0	0	221	0	1590494362
33.278271	108.845451	28825	8786	735.2	397	456.9	0	0	221	0	1590494370
33.204079	108.772041	27976	8527	744.5	402	462.6	0	0	221	0	1590494420
33.128948	108.697739	27575	8405	753.8	407	468.4	0	0	221	0	1590494470
33.114887	108.683876	27598	8412	750.1	405	466.1	0	0	221	0	1590494482
33.102039	108.671257	27598	8412	753.8	407	468.4	0	0	221	0	1590494490
33.007721	108.578438	27598	8412	776	419	482.2	0	0	221	0	1590494550
32.9459	108.517792	27598	8412	779.7	421	484.5	0	0	221	0	1590494590
32.916279	108.488716	27598	8412	779.7	421	484.5	0	0	221	0	1590494610
32.902626	108.475319	27598	8412	772.3	417	479.9	0	0	221	0	1590494620
32.872589	108.445877	27625	8420	774.1	418	481	0	0	221	0	1590494640
32.856152	108.42984	27625	8420	777.8	420	483.3	0	0	221	0	1590494650
32.826027	108.400406	27625	8420	777.8	420	483.3	0	0	220	0	1590494670
32.796299	108.371391	27651	8428	777.8	420	483.3	0	0	220	0	1590494690
32.734509	108.311127	27625	8420	777.8	420	483.3	0	0	220	0	1590494730
32.689091	108.266907	27598	8412	757.5	409	470.7	0	0	220	0	1590494764
32.59774	108.178223	27598	8412	787.1	425	489.1	0	0	220	0	1590494822
32.568371	108.149689	27598	8412	785.2	424	487.9	0	0	220	0	1590494842
32.53532	108.117661	27598	8412	789	426	490.2	0	0	220	0	1590494861
32.504398	108.0877	27598	8412	789	426	490.2	0	0	220	0	1590494882
32.47504	108.059326	27598	8412	776	419	482.2	0	0	220	0	1590494902
32.428799	108.014656	27598	8412	776	419	482.2	0	0	220	0	1590494932
32.294033	107.884903	27575	8405	779.7	421	484.5	64	0.3	219	7075	1590495021
32.267715	107.859543	27600	8412	781.5	422	485.6	0	0	219	7075	1590495040
32.249859	107.842407	27598	8412	764.9	413	475.3	0	0	220	7075	1590495052
32.204468	107.79953	27598	8412	766.7	414	476.4	0	0	217	7075	1590495082
32.035061	107.704018	27600	8412	794.5	429	493.7	0	0	202	7075	1590495177
31.920031	107.64959	27600	8412	796.4	430	494.8	0	0	202	7075	1590495238
31.810638	107.598007	27100	8260	787.1	425	489.1	-896	-4.6	201	7075	1590495299
31.692764	107.542473	26050	7940	798.2	431	496	-1024	-5.2	201	7075	1590495362
31.575453	107.487434	24175	7369	798.2	431	496	-2176	-11.1	201	7075	1590495425
31.460979	107.433929	21950	6690	761.2	411	473	-2240	-11.4	201	7075	1590495488
31.35214	107.379654	19875	6058	727.8	393	452.3	-1472	-7.5	208	7075	1590495551
31.251938	107.315964	19700	6005	726	392	451.1	64	0.3	208	7075	1590495615
31.157413	107.256058	19225	5860	716.7	387	445.4	-960	-4.9	208	7075	1590495674
31.058304	107.193275	18225	5555	714.9	386	444.2	-1024	-5.2	208	7075	1590495737
30.957321	107.12957	17150	5227	716.7	387	445.4	-1088	-5.5	208	7075	1590495801
30.90477	107.096451	16625	5067	705.6	381	438.4	-960	-4.9	208	7075	1590495835
30.854776	107.064957	16075	4900	694.5	375	431.5	-1088	-5.5	208	7075	1590495868
30.80422	107.03315	15575	4747	692.6	374	430.4	-1024	-5.2	208	7075	1590495900
30.755035	107.002258	15050	4587	703.8	380	437.3	-1088	-5.5	208	7075	1590495933
30.702597	106.969925	14450	4404	705.6	381	438.4	-1024	-5.2	206	7075	1590495966
30.652275	106.944931	13950	4252	696.4	376	432.7	-1024	-5.2	202	7075	1590495998
30.596272	106.917847	13375	4077	688.9	372	428.1	-1024	-5.2	202	7075	1590496032
30.544041	106.892632	12850	3917	687.1	371	426.9	-1024	-5.2	202	7075	1590496065
30.490971	106.867035	12300	3749	676	365	420	-1024	-5.2	202	7075	1590496098
30.440735	106.84285	11825	3604	655.6	354	407.4	-576	-2.9	202	7075	1590496132
30.423702	106.834625	11775	3589	640.8	346	398.2	-128	-0.7	202	7075	1590496142
30.405853	106.82605	11800	3597	626	338	389	128	0.7	202	7075	1590496155
30.38702	106.816994	11800	3597	626	338	389	0	0	202	7075	1590496168
