latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
50.89542	7.108002	450	137	0	0	0	0	0	353	0	1590482868
50.898914	7.107697	525	160	0	0	0	0	0	357	0	1590482876
50.903801	7.106934	625	191	0	0	0	0	0	356	0	1590482888
50.905338	7.105331	650	198	0	0	0	0	0	215	0	1590482897
50.902451	7.05986	650	198	0	0	0	0	0	265	0	1590482910
50.895004	7.002792	575	175	0	0	0	0	0	259	20	1590482929
50.979916	7.089691	600	183	0	0	0	0	0	32	20	1590483051
50.987923	7.088394	600	183	0	0	0	0	0	352	20	1590483068
50.994205	7.086868	550	168	0	0	0	0	0	351	20	1590483081
51.002586	7.085114	525	160	0	0	0	0	0	353	20	1590483098
51.00808	7.084274	575	175	0	0	0	0	0	355	20	1590483109
51.010498	7.084122	600	183	0	0	0	0	0	358	20	1590483115
51.019901	7.084732	650	198	0	0	0	0	0	2	20	1590483136
51.029354	7.089005	650	198	0	0	0	0	0	9	20	1590483151
51.034565	7.084656	675	206	0	0	0	0	0	356	20	1590483162
51.042622	7.086334	675	206	0	0	0	0	0	7	20	1590483182
51.051884	7.084351	700	213	0	0	0	0	0	358	20	1590483205
51.057236	7.08313	725	221	0	0	0	0	0	350	20	1590483215
51.061241	7.080002	725	221	0	0	0	0	0	334	20	1590483221
51.065708	7.078934	750	229	0	0	0	0	0	352	20	1590483232
51.08326	7.085266	725	221	0	0	0	0	0	19	20	1590483257
51.083355	7.072372	725	221	0	0	0	0	0	271	20	1590483267
51.087917	7.071686	700	213	0	0	0	0	0	355	20	1590483279
51.095596	7.069168	675	206	0	0	0	0	0	352	20	1590483293
51.099648	7.067642	700	213	0	0	0	0	0	346	20	1590483304
51.105328	7.065582	725	221	0	0	0	0	0	353	20	1590483315
51.110214	7.063293	725	221	0	0	0	0	0	334	20	1590483325
51.113983	7.061996	750	229	0	0	0	0	0	348	20	1590483334
51.123947	7.061081	750	229	0	0	0	0	0	357	20	1590483351
51.125622	7.061005	750	229	0	0	0	0	0	359	20	1590483361
51.1394	7.060547	725	221	0	0	0	0	0	355	20	1590483383
51.140518	7.060394	725	221	0	0	0	0	0	356	20	1590483392
51.155182	7.061386	725	221	0	0	0	0	0	2	20	1590483417
51.164074	7.061005	725	221	0	0	0	0	0	355	20	1590483436
