latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
52.526424	13.127406	2700	823	1135.3	613	705.4	0	0	3	0	1590483182
52.194157	12.799287	2500	762	388.9	210	241.7	1216	6.2	299	7000	1590483304
52.195301	12.79388	2500	762	418.6	226	260.1	0	0	292	7000	1590483338
52.204628	12.747816	2400	732	418.6	226	260.1	0	0	292	7741	1590483345
52.206142	12.740798	2400	732	450	243	279.6	0	0	289	7741	1590483376
52.215385	12.694548	2200	671	450	243	279.6	-1408	-7.2	289	7741	1590483394
52.219952	12.67186	2100	640	450	243	279.6	-1984	-10.1	289	7741	1590483410
52.22411	12.650526	2100	640	450	243	279.6	0	0	289	7741	1590483417
52.225159	12.644163	2100	640	409.3	221	254.3	0	0	286	7741	1590483429
52.228325	12.628417	2100	640	409.3	221	254.3	0	0	286	7741	1590483440
52.231319	12.613687	2100	640	409.3	221	254.3	0	0	286	7741	1590483453
52.234432	12.59944	2100	640	409.3	221	254.3	0	0	286	7741	1590483472
52.238956	12.576184	2100	640	409.3	221	254.3	0	0	286	7741	1590483590
52.269379	12.44538	4200	1280	409.3	221	254.3	704	3.6	286	7741	1590483626
52.274738	12.434444	4400	1341	409.3	221	254.3	704	3.6	286	7741	1590483638
52.279709	12.429506	4500	1372	409.3	221	254.3	448	2.3	286	7741	1590483644
52.283138	12.429083	4600	1402	326	176	202.5	896	4.6	338	7741	1590483654
52.297832	12.426259	4800	1463	250	135	155.4	512	2.6	349	7741	1590483684
52.304089	12.422458	4900	1494	250	135	155.4	448	2.3	349	7741	1590483690
52.310062	12.423793	4999	1524	268.5	145	166.9	0	0	92	7741	1590483734
52.328472	12.400297	5300	1615	268.5	145	166.9	384	2	92	7741	1590483781
52.358288	12.349481	5800	1768	268.5	145	166.9	320	1.6	92	7741	1590483802
52.365887	12.338121	5800	1768	301.9	163	187.6	0	0	260	7741	1590483830
52.387051	12.307184	6100	1859	294.5	159	183	0	0	314	7741	1590483856
52.395184	12.291825	6100	1859	294.5	159	183	0	0	310	7741	1590483868
52.398586	12.284304	6199	1889	294.5	159	183	512	2.6	307	7741	1590483896
52.411682	12.260623	6200	1890	294.5	159	183	0	0	307	7741	1590483913
52.422832	12.241675	6300	1920	301.9	163	187.6	0	0	313	7741	1590483925
52.427345	12.234576	6400	1951	305.6	165	189.9	0	0	316	7741	1590483969
52.452206	12.196908	6799	2072	301.9	163	187.6	0	0	323	7741	1590483992
