latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-29.305161	122.058739	13775	4199	596.3	322	370.6	2112	10.7	238	0	1590483170
-29.329353	122.01384	14900	4542	603.8	326	375.2	2048	10.4	238	0	1590483202
-29.354166	121.967682	16125	4915	603.8	326	375.2	2112	10.7	238	0	1590483233
-29.378838	121.921799	17075	5204	614.9	332	382.1	1792	9.1	238	0	1590483264
-29.403809	121.875244	18100	5517	620.4	335	385.5	1984	10.1	238	0	1590483294
-29.453974	121.781563	20000	6096	631.5	341	392.4	1664	8.5	238	0	1590483356
-29.505936	121.684303	21750	6629	650.1	351	403.9	1728	8.8	238	0	1590483418
-29.558064	121.586502	23400	7132	663	358	412	1088	5.5	238	0	1590483478
-29.61132	121.486221	24850	7574	679.7	367	422.3	1600	8.1	238	0	1590483540
-29.666344	121.382553	26375	8039	687.1	371	426.9	1408	7.2	238	0	1590483602
-29.721184	121.278885	27725	8451	698.2	377	433.8	1152	5.9	238	0	1590483662
-29.776999	121.173058	29025	8847	709.3	383	440.7	1088	5.5	238	0	1590483724
-29.833191	121.06617	29975	9136	724.1	391	450	0	0	238	0	1590483786
-29.889889	120.958237	29975	9136	722.3	390	448.8	0	0	238	0	1590483846
-29.947428	120.848068	29975	9136	733.4	396	455.7	0	0	239	0	1590483908
-30.005127	120.737427	29975	9136	731.5	395	454.6	0	0	239	0	1590483969
-30.062132	120.627907	29975	9136	713	385	443.1	0	0	239	0	1590484030
-30.116783	120.52282	29975	9136	663	358	412	0	0	239	0	1590484091
-30.172506	120.422462	29975	9136	653.8	353	406.2	0	0	235	0	1590484153
-30.228561	120.328133	29975	9136	646.3	349	401.6	0	0	235	0	1590484214
-30.284092	120.234596	29975	9136	644.5	348	400.5	0	0	235	0	1590484276
-30.340141	120.139999	29975	9136	644.5	348	400.5	0	0	235	0	1590484337
-30.396889	120.044037	29975	9136	644.5	348	400.5	0	0	235	0	1590484399
-30.451727	119.951035	29975	9136	631.5	341	392.4	0	0	235	0	1590484460
-30.504089	119.862129	30000	9144	605.6	327	376.3	0	0	235	0	1590484522
-30.556595	119.772575	30000	9144	609.3	329	378.6	0	0	235	0	1590484582
-30.608826	119.683548	29975	9136	609.3	329	378.6	0	0	235	0	1590484644
-30.662004	119.592445	29975	9136	609.3	329	378.6	0	0	236	0	1590484706
-30.714844	119.5019	29975	9136	613	331	380.9	0	0	236	0	1590484767
-30.769167	119.408424	30000	9144	631.5	341	392.4	0	0	236	0	1590484830
