latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-13.686401	134.347214	31000	9449	766.7	414	476.4	1152	5.9	281	0	1590483197
-13.658334	134.212448	32125	9792	761.2	411	473	1152	5.9	282	6065	1590483267
-13.638977	134.121521	32825	10005	759.3	410	471.8	704	3.6	282	6065	1590483315
-13.603076	133.952637	34025	10371	759.3	410	471.8	320	1.6	282	6065	1590483403
-13.57869	133.838104	34000	10363	757.5	409	470.7	0	0	282	6065	1590483464
-13.552322	133.714981	34000	10363	757.5	409	470.7	0	0	282	6065	1590483528
-13.527557	133.59938	34000	10363	759.3	410	471.8	0	0	282	6065	1590483590
-13.501452	133.478058	34000	10363	759.3	410	471.8	0	0	282	6065	1590483654
-13.476425	133.361755	34000	10363	763	412	474.1	0	0	282	6065	1590483714
-13.451921	133.245224	34000	10363	761.2	411	473	0	0	279	6065	1590483776
-13.439163	133.120682	34000	10363	761.2	411	473	0	0	275	6065	1590483839
-13.428223	133.003418	34000	10363	757.5	409	470.7	0	0	275	6065	1590483900
-13.416046	132.907959	34000	10363	759.3	410	471.8	64	0.3	287	6065	1590483949
-13.411886	132.896698	34000	10363	759.3	410	471.8	64	0.3	292	6065	1590483956
-13.407091	132.885223	34000	10363	761.2	411	473	0	0	293	6065	1590483962
-13.40213	132.873383	34000	10363	761.2	411	473	0	0	293	6065	1590483968
-13.398013	132.863739	34000	10363	761.2	411	473	0	0	293	6065	1590483974
-13.349854	132.753433	34000	10363	763	412	474.1	0	0	294	6065	1590484037
-13.302521	132.644669	34000	10363	763	412	474.1	0	0	293	6065	1590484096
-13.253841	132.532654	34000	10363	766.7	414	476.4	0	0	293	6065	1590484159
-13.205893	132.422409	34000	10363	763	412	474.1	64	0.3	293	6065	1590484221
-13.1586	132.313843	34000	10363	761.2	411	473	0	0	293	6065	1590484281
-13.111313	132.205399	34000	10363	763	412	474.1	-64	-0.3	294	6065	1590484342
