latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
34.383438	108.698898	4951	1509	277.8	150	172.6	0	0	230	0	1590483260
34.343636	108.655304	6025	1836	470.4	254	292.3	1472	7.5	206	0	1590483315
34.33046	108.647804	6325	1928	500	270	310.7	1920	9.8	204	0	1590483326
34.316391	108.640152	6925	2111	514.9	278	319.9	3392	17.2	204	0	1590483338
34.302017	108.632309	7625	2324	514.9	278	319.9	3904	19.8	204	0	1590483350
34.261887	108.610725	9300	2835	538.9	291	334.9	2752	14	204	4037	1590483385
34.247543	108.603607	9800	2987	540.8	292	336	3136	15.9	203	4037	1590483396
34.233215	108.598511	10275	3132	553.7	299	344.1	2880	14.6	194	4037	1590483406
34.224289	108.595703	10550	3216	557.5	301	346.4	2496	12.7	194	4037	1590483412
34.196869	108.587074	11350	3459	577.8	312	359	2496	12.7	194	4037	1590483432
34.179676	108.581604	11825	3604	585.2	316	363.6	2304	11.7	194	4037	1590483444
34.149216	108.571999	12225	3726	629.7	340	391.3	1280	6.5	194	4037	1590483466
34.099731	108.556412	13400	4084	659.3	356	409.7	2560	13	194	4037	1590483497
34.047981	108.540054	15125	4610	653.8	353	406.2	3072	15.6	194	4037	1590483530
33.994308	108.523117	16600	5060	657.5	355	408.5	2816	14.3	194	4037	1590483562
33.940796	108.506248	17725	5403	677.8	366	421.2	1856	9.4	194	4037	1590483595
33.893799	108.491478	18950	5776	674.1	364	418.9	2624	13.3	194	4037	1590483625
33.86467	108.486404	19425	5921	687.1	371	426.9	1536	7.8	184	4037	1590483641
33.853813	108.487244	19625	5982	701.9	379	436.1	2240	11.4	174	4037	1590483647
33.840088	108.489204	19950	6081	707.5	382	439.6	2368	12	172	4037	1590483656
33.828873	108.491058	20175	6149	707.5	382	439.6	2304	11.7	172	4037	1590483662
33.814499	108.493469	20475	6241	707.5	382	439.6	2368	12	172	4037	1590483670
33.698002	108.512878	22175	6759	740.8	400	460.3	1664	8.5	172	4037	1590483735
33.62701	108.507675	23375	7125	720.4	389	447.7	1792	9.1	197	4037	1590483774
33.617092	108.503838	23475	7155	716.7	387	445.4	1344	6.8	198	4037	1590483780
33.508114	108.460678	23600	7193	738.9	399	459.2	-64	-0.3	199	4037	1590483844
33.486923	108.448738	23600	7193	751.9	406	467.2	0	0	208	4037	1590483856
33.47739	108.441452	23600	7193	755.6	408	469.5	64	0.3	213	4037	1590483862
33.468266	108.434105	23600	7193	759.3	410	471.8	0	0	214	4037	1590483869
33.453369	108.422043	23575	7186	764.9	413	475.3	64	0.3	214	4037	1590483877
33.348347	108.334274	23600	7193	785.2	424	487.9	-128	-0.7	220	4037	1590483944
33.339455	108.323853	23600	7193	783.4	423	486.8	-64	-0.3	225	4037	1590483951
33.328079	108.306847	23600	7193	776	419	482.2	-64	-0.3	234	4037	1590483959
33.322605	108.296326	23600	7193	774.1	418	481	0	0	238	4037	1590483965
33.315762	108.278893	23600	7193	770.4	416	478.7	-128	-0.7	245	4037	1590483973
33.306015	108.230385	23600	7193	759.3	410	471.8	0	0	259	4037	1590483996
33.302586	108.209503	23600	7193	757.5	409	470.7	0	0	259	4037	1590484004
33.280846	108.077049	24200	7376	763	412	474.1	2304	11.7	258	4037	1590484064
33.278469	108.062355	24475	7460	766.7	414	476.4	0	0	260	4037	1590484070
33.247471	107.934227	26299	8016	763	412	474.1	0	0	240	4037	1590484130
33.180618	107.859055	27549	8397	774.1	418	481	0	0	221	4037	1590484180
33.148819	107.827568	27598	8412	776	419	482.2	0	0	221	4037	1590484201
33.13353	107.812462	27598	8412	776	419	482.2	0	0	58	4037	1590484211
33.118839	107.797958	27598	8412	763	412	474.1	0	0	221	4037	1590484222
33.076618	107.756989	27598	8412	755.6	408	469.5	0	0	218	4037	1590484252
33.05772	107.742859	27598	8412	763	412	474.1	0	0	210	4037	1590484262
33.039749	107.732986	27598	8412	764.9	413	475.3	0	0	203	4037	1590484272
32.959438	107.713753	27598	8412	776	419	482.2	0	0	190	4037	1590484312
32.944107	107.71067	27598	8412	768.6	415	477.6	0	0	190	4037	1590484322
32.889858	107.700005	27625	8420	779.7	421	484.5	0	0	190	4037	1590484348
32.84816	107.691826	27598	8412	777.8	420	483.3	0	0	189	4037	1590484370
32.769287	107.676453	27598	8412	781.5	422	485.6	0	0	189	4037	1590484410
32.65556	107.639053	27598	8412	781.5	422	485.6	0	0	137	4037	1590484471
32.513992	107.532051	27600	8412	783.4	423	486.8	0	0	205	4037	1590484557
32.473709	107.509789	27600	8412	787.1	425	489.1	0	0	205	4037	1590484580
32.45837	107.501328	27598	8412	755.6	408	469.5	0	0	206	4037	1590484590
32.438759	107.490509	27598	8412	761.2	411	473	0	0	206	4037	1590484600
32.42239	107.481544	27598	8412	761.2	411	473	0	0	58	4037	1590484610
32.3465	107.439796	27598	8412	837.1	452	520.2	0	0	205	4037	1590484650
32.332249	107.43222	27598	8412	827.8	447	514.4	0	0	205	4037	1590484660
