latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
52.169453	5.042638	300	91	185.2	100	115.1	0	0	274	0	1590494536
52.169697	5.034929	300	91	177.8	96	110.5	0	0	295	0	1590494548
52.166962	5.031251	300	91	187.1	101	116.2	0	0	244	0	1590494560
52.163197	5.024864	300	91	187.1	101	116.2	0	0	244	0	1590494572
52.160275	5.018224	400	122	187.1	101	116.2	1664	8.5	244	7000	1590494585
52.157207	5.012039	400	122	187.1	101	116.2	0	0	244	7000	1590494616
52.147388	5.011916	300	91	187.1	101	116.2	0	0	244	7000	1590494624
52.144886	5.016033	300	91	244.5	132	151.9	0	0	158	7000	1590494632
52.142563	5.018209	200	61	198.2	107	123.1	-704	-3.6	152	7000	1590494648
52.136101	5.024754	100	30	198.2	107	123.1	0	0	152	7000	1590494725
52.14127	5.031672	99	30	198.2	107	123.1	0	0	152	7000	1590494781
52.123672	5.014696	100	30	274.1	148	170.3	-704	-3.6	177	7000	1590494817
52.118084	5.00378	200	61	274.1	148	170.3	0	0	177	7000	1590494840
52.115005	4.995336	200	61	194.5	105	120.8	0	0	235	7000	1590494878
52.111027	4.98222	200	61	194.5	105	120.8	0	0	235	7000	1590494934
52.110275	4.950908	300	91	194.5	105	120.8	64	0.3	235	7000	1590494971
52.120285	4.928777	200	61	194.5	105	120.8	0	0	235	7000	1590495056
52.133598	4.937495	300	91	194.5	105	120.8	0	0	235	7000	1590495087
52.136066	4.937449	200	61	194.5	105	120.8	-256	-1.3	235	7000	1590495131
52.144951	4.951056	200	61	213	115	132.3	0	0	102	7000	1590495221
52.152428	4.932587	200	61	213	115	132.3	448	2.3	102	7000	1590495255
52.154102	4.922216	300	91	213	115	132.3	256	1.3	102	7000	1590495339
52.153538	4.882311	300	91	213	115	132.3	0	0	102	7000	1590495392
52.146149	4.846832	300	91	213	115	132.3	0	0	102	7000	1590495483
52.130356	4.809554	1475	450	213	115	132.3	8768	44.5	102	7000	1590495538
52.129509	4.797143	400	122	213	115	132.3	-1472	-7.5	102	7000	1590495574
52.125328	4.800372	300	91	213	115	132.3	-1728	-8.8	102	7000	1590495634
52.124413	4.796702	300	91	213	115	132.3	640	3.3	102	7000	1590495656
52.120964	4.79921	300	91	146.3	79	90.9	0	0	151	7000	1590495670
52.117546	4.798304	300	91	113	61	70.2	0	0	188	7000	1590495694
52.115891	4.795109	300	91	113	61	70.2	0	0	188	7000	1590495703
52.115379	4.792095	199	61	103.7	56	64.4	-704	-3.6	238	7000	1590495730
52.116673	4.786257	200	61	103.7	56	64.4	0	0	238	7000	1590495752
52.123749	4.788122	300	91	135.2	73	84	0	0	70	7000	1590495808
52.127136	4.801113	200	61	135.2	73	84	-64	-0.3	70	7000	1590495817
52.127895	4.810555	200	61	190.8	103	118.5	0	0	79	7000	1590495826
52.127594	4.818226	200	61	194.5	105	120.8	0	0	89	7000	1590495855
52.125984	4.832156	200	61	194.5	105	120.8	0	0	89	7000	1590495883
52.120075	4.853822	300	91	194.5	105	120.8	0	0	89	7000	1590495951
52.108974	4.886066	400	122	194.5	105	120.8	64	0.3	89	7000	1590495999
52.091824	4.931453	400	122	238.9	129	148.5	0	0	116	7000	1590496020
52.091103	4.934667	400	122	238.9	129	148.5	0	0	116	7000	1590496035
52.088963	4.94735	400	122	238.9	129	148.5	0	0	116	7000	1590496091
52.085514	4.980812	500	152	238.9	129	148.5	64	0.3	116	7000	1590496134
52.087864	5.011396	400	122	238.9	129	148.5	-128	-0.7	116	7000	1590496180
52.091076	5.043269	400	122	238.9	129	148.5	0	0	116	7000	1590496192
52.082653	5.059224	399	122	238.9	129	148.5	0	0	116	7000	1590496200
52.08609	5.061611	400	122	327.8	177	203.7	0	0	41	7000	1590496208
52.091682	5.072246	399	122	322.2	174	200.2	0	0	49	7000	1590496216
52.093254	5.075845	400	122	205.6	111	127.7	0	0	59	7000	1590496226
52.094627	5.081142	400	122	188.9	102	117.4	0	0	65	7000	1590496236
52.095818	5.086332	499	152	179.6	97	111.6	1600	8.1	68	7000	1590496260
52.09729	5.102769	500	152	179.6	97	111.6	0	0	68	7000	1590496266
52.097515	5.104764	499	152	174.1	94	108.2	0	0	75	7000	1590496355
52.091923	5.157996	600	183	174.1	94	108.2	64	0.3	75	7000	1590496391
52.083855	5.199358	600	183	174.1	94	108.2	0	0	122	7000	1590496420
52.085762	5.2065	500	152	174.1	94	108.2	0	0	66	7000	1590496431
52.087021	5.212228	600	183	174.1	94	108.2	0	0	71	7000	1590496441
52.088554	5.217486	600	183	174.1	94	108.2	0	0	64	7000	1590496450
52.090652	5.226275	600	183	174.1	94	108.2	0	0	67	7000	1590496466
52.087811	5.245109	600	183	174.1	94	108.2	0	0	103	7000	1590496488
52.087673	5.250288	600	183	174.1	94	108.2	0	0	92	7000	1590496498
52.088184	5.256722	600	183	174.1	94	108.2	0	0	82	7000	1590496509
52.086739	5.271162	600	183	174.1	94	108.2	0	0	99	7000	1590496529
52.087624	5.280029	400	122	174.1	94	108.2	0	0	74	7000	1590496542
52.090046	5.287092	400	122	174.1	94	108.2	0	0	56	7000	1590496556
52.095074	5.29494	1100	335	192.6	104	119.7	0	0	30	7000	1590496572
52.100101	5.298863	1100	335	129.6	70	80.6	0	0	27	7000	1590496585
52.101776	5.299569	1100	335	57.4	31	35.7	0	0	14	7000	1590496594
52.105919	5.299177	400	122	57.4	31	35.7	0	0	357	7000	1590496601
52.10997	5.297529	400	122	57.4	31	35.7	0	0	346	7000	1590496614
52.112251	5.29643	400	122	57.4	31	35.7	0	0	344	7000	1590496622
52.112995	5.2918	400	122	57.4	31	35.7	0	0	285	7000	1590496630
52.110577	5.286621	400	122	57.4	31	35.7	0	0	207	7000	1590496643
52.108528	5.285758	400	122	57.4	31	35.7	0	0	195	7000	1590496652
52.105175	5.289446	600	183	57.4	31	35.7	0	0	141	7000	1590496660
52.10648	5.29902	600	183	57.4	31	35.7	0	0	77	7000	1590496666
52.113182	5.297058	600	183	57.4	31	35.7	0	0	325	7000	1590496691
52.117512	5.287014	600	183	57.4	31	35.7	0	0	304	7000	1590496706
52.119186	5.277283	700	213	57.4	31	35.7	0	0	286	7000	1590496726
52.120258	5.271162	700	213	57.4	31	35.7	0	0	286	7000	1590496736
52.12254	5.262137	600	183	57.4	31	35.7	0	0	285	7000	1590496751
52.127754	5.248561	600	183	57.4	31	35.7	0	0	301	7000	1590496778
52.130779	5.24244	600	183	57.4	31	35.7	0	0	318	7000	1590496793
52.133293	5.236712	600	183	57.4	31	35.7	0	0	315	7000	1590496800
